time,LA Lakers,pts.away,score,pts.home,Memphis
7:32.0,Defensive rebound by R. Hibbert,,66-79,,
7:14.0,D. Russell misses 2-pt shot from 6 ft (block by M. Barnes),,66-79,,
7:14.0,Offensive rebound by Team,,66-79,,
7:12.0,Turnover by K. Bryant (lost ball; steal by P. Hairston),,66-79,,
7:06.0,,,66-81,2,M. Barnes makes 2-pt shot from 8 ft (assist by P. Hairston)
6:50.0,J. Clarkson makes 2-pt shot from 2 ft,2,68-81,,
6:32.0,,,68-81,,P. Hairston misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by D. Russell,,68-81,,
6:25.0,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell),3,71-81,,
6:11.0,,,71-83,2,M. Conley makes 2-pt shot from 3 ft
5:51.0,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell),3,74-83,,
5:34.0,,,74-83,,Turnover by Z. Randolph (lost ball; steal by R. Hibbert)
5:26.0,J. Clarkson misses 3-pt shot from 26 ft,,74-83,,
5:24.0,,,74-83,,Defensive rebound by Z. Randolph
5:13.0,,,74-86,3,P. Hairston makes 3-pt shot from 24 ft (assist by M. Conley)
4:55.0,D. Russell misses 3-pt shot from 23 ft,,74-86,,
4:55.0,,,74-86,,Defensive rebound by J. Green
4:51.0,Technical foul by D. Russell,,74-86,,
4:51.0,,,74-86,,Memphis full timeout
4:51.0,L. Williams enters the game for D. Russell,,74-86,,
4:51.0,,,74-86,,B. Wright enters the game for J. Green
4:51.0,,,74-86,,M. Barnes misses technical free throw
4:51.0,,,74-86,,Offensive rebound by Team
4:40.0,,,74-86,,Turnover by M. Conley (lost ball; steal by R. Hibbert)
4:32.0,Offensive charge foul by J. Clarkson,,74-86,,
4:32.0,Turnover by J. Clarkson (offensive foul),,74-86,,
4:22.0,Personal foul by R. Hibbert,,74-86,,
4:13.0,,,74-86,,Z. Randolph misses 2-pt shot from 2 ft (block by R. Hibbert)
4:11.0,Defensive rebound by J. Randle,,74-86,,
4:05.0,J. Randle misses 2-pt shot from 2 ft (block by B. Wright),,74-86,,
4:03.0,,,74-86,,Defensive rebound by Z. Randolph
3:56.0,,,74-86,,P. Hairston misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by R. Hibbert,,74-86,,
3:42.0,,,74-86,,Personal foul by M. Conley
3:42.0,T. Black enters the game for R. Hibbert,,74-86,,
3:42.0,L. Nance enters the game for J. Randle,,74-86,,
3:42.0,,,74-86,,M. Chalmers enters the game for P. Hairston
3:42.0,,,74-86,,V. Carter enters the game for M. Barnes
3:31.0,L. Williams misses 2-pt shot from 8 ft,,74-86,,
3:30.0,,,74-86,,Defensive rebound by B. Wright
3:21.0,Personal foul by T. Black,,74-86,,
3:21.0,N. Young enters the game for K. Bryant,,74-86,,
3:09.0,,,74-88,2,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Chalmers)
3:01.0,Shooting foul by Z. Randolph (drawn by L. Williams),,74-88,,
3:01.0,L. Williams makes free throw 1 of 2,1,75-88,,
3:01.0,L. Williams makes free throw 2 of 2,1,76-88,,
2:49.0,,,76-90,2,M. Chalmers makes 2-pt shot from 2 ft
2:29.0,J. Clarkson misses 3-pt shot from 24 ft,,76-90,,
2:28.0,,,76-90,,Defensive rebound by M. Conley
2:14.0,,,76-93,3,M. Conley makes 3-pt shot from 25 ft (assist by Z. Randolph)
2:14.0,LA Lakers full timeout,,76-93,,
2:04.0,L. Williams makes 2-pt shot from 17 ft,2,78-93,,
1:43.0,,,78-95,2,B. Wright makes 2-pt shot at rim (assist by M. Conley)
1:22.0,N. Young misses 3-pt shot from 24 ft,,78-95,,
1:21.0,Offensive rebound by T. Black,,78-95,,
1:17.0,T. Black misses 2-pt shot from 9 ft,,78-95,,
1:17.0,Offensive rebound by T. Black,,78-95,,
1:13.0,L. Williams makes 3-pt shot from 24 ft (assist by T. Black),3,81-95,,
0:54.0,,,81-95,,Z. Randolph misses 2-pt shot from 15 ft
0:53.0,Defensive rebound by L. Williams,,81-95,,
0:47.0,L. Williams misses 3-pt shot from 23 ft,,81-95,,
