time,LA Lakers,pts.away,score,pts.home,San Antonio
3:08.0,,,81-102,,Defensive rebound by R. Butler
2:48.0,,,81-104,2,B. Diaw makes 2-pt shot from 2 ft
2:30.0,Turnover by R. Kelly (bad pass),,81-104,,
2:30.0,,,81-104,,San Antonio full timeout
2:30.0,M. Huertas enters the game for D. Russell,,81-104,,
2:09.0,,,81-104,,B. Diaw misses 2-pt shot from 6 ft
2:08.0,,,81-104,,Offensive rebound by B. Marjanovic
2:08.0,,,81-106,2,B. Marjanovic makes 2-pt shot from 1 ft
1:56.0,B. Bass makes 2-pt shot at rim (assist by R. Kelly),2,83-106,,
1:36.0,,,83-106,,Shooting foul by A. Brown (drawn by B. Diaw)
1:36.0,,,83-107,1,B. Diaw makes free throw 1 of 2
1:36.0,,,83-107,,B. Diaw misses free throw 2 of 2
1:35.0,Defensive rebound by R. Kelly,,83-107,,
1:20.0,R. Kelly makes 2-pt shot from 16 ft (assist by M. Huertas),2,85-107,,
0:59.0,,,85-107,,Turnover by B. Diaw (bad pass)
0:55.0,Turnover by R. Kelly (bad pass),,85-107,,
0:37.0,,,85-109,2,R. Butler makes 2-pt shot from 11 ft (assist by B. Diaw)
0:25.0,A. Brown misses 2-pt shot at rim,,85-109,,
0:24.0,Offensive rebound by B. Bass,,85-109,,
0:24.0,B. Bass makes 2-pt shot from 1 ft,2,87-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
