time,Orlando,pts.away,score,pts.home,Golden State
8:09.0,,,92-98,,Defensive rebound by S. Livingston
8:04.0,,,92-98,,Shooting foul by E. Fournier (drawn by S. Livingston)
8:04.0,,,92-99,1,S. Livingston makes free throw 1 of 2
8:04.0,,,92-100,1,S. Livingston makes free throw 2 of 2
7:49.0,E. Ilyasova misses 2-pt shot from 3 ft (block by S. Livingston),,92-100,,
7:48.0,,,92-100,,Defensive rebound by S. Curry
7:42.0,,,92-100,,Turnover by S. Curry (bad pass; steal by E. Ilyasova)
7:41.0,,,92-100,,Personal foul by D. Green (drawn by E. Ilyasova)
7:25.0,E. Ilyasova misses 2-pt shot from 3 ft (block by D. Green),,92-100,,
7:24.0,,,92-100,,Defensive rebound by S. Curry
7:16.0,,,92-102,2,S. Livingston makes 2-pt shot from 3 ft
6:59.0,V. Oladipo makes 2-pt shot from 17 ft,2,94-102,,
6:48.0,,,94-102,,H. Barnes misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by V. Oladipo,,94-102,,
6:44.0,,,94-102,,Personal foul by S. Curry (drawn by V. Oladipo)
6:44.0,A. Gordon enters the game for E. Ilyasova,,94-102,,
6:44.0,,,94-102,,B. Rush enters the game for S. Livingston
6:32.0,A. Gordon makes 2-pt shot from 12 ft (assist by E. Fournier),2,96-102,,
6:17.0,,,96-102,,D. Green misses 2-pt shot from 4 ft
6:17.0,,,96-102,,Offensive rebound by D. Green
6:17.0,Personal foul by E. Fournier (drawn by D. Green),,96-102,,
6:07.0,,,96-102,,Turnover by D. Green (bad pass)
6:07.0,,,96-102,,A. Bogut enters the game for H. Barnes
5:53.0,Turnover by B. Jennings (traveling),,96-102,,
5:32.0,,,96-104,2,S. Curry makes 2-pt shot from 6 ft (assist by A. Bogut)
5:27.0,,,96-104,,Personal foul by K. Thompson (drawn by B. Jennings)
5:15.0,V. Oladipo misses 2-pt shot from 16 ft,,96-104,,
5:14.0,,,96-104,,Defensive rebound by B. Rush
5:00.0,,,96-104,,Turnover by D. Green (bad pass; steal by A. Gordon)
4:57.0,,,96-104,,Personal foul by B. Rush (drawn by A. Gordon)
4:57.0,A. Gordon makes free throw 1 of 2,1,97-104,,
4:57.0,A. Gordon makes free throw 2 of 2,1,98-104,,
4:37.0,,,98-106,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
4:13.0,B. Jennings makes 2-pt shot from 8 ft (assist by V. Oladipo),2,100-106,,
3:58.0,,,100-109,3,S. Curry makes 3-pt shot from 28 ft
3:47.0,B. Jennings makes 2-pt shot from 20 ft,2,102-109,,
3:46.0,,,102-109,,Golden State full timeout
3:46.0,,,102-109,,S. Livingston enters the game for B. Rush
3:36.0,,,102-109,,K. Thompson misses 2-pt shot from 10 ft
3:34.0,,,102-109,,Offensive rebound by K. Thompson
3:31.0,,,102-111,2,K. Thompson makes 2-pt shot from 5 ft
3:20.0,B. Jennings misses 3-pt shot from 25 ft,,102-111,,
3:19.0,,,102-111,,Defensive rebound by S. Curry
3:05.0,,,102-111,,S. Curry misses 3-pt shot from 25 ft
3:03.0,,,102-111,,Offensive rebound by A. Bogut
2:52.0,,,102-111,,S. Curry misses 2-pt shot from 3 ft
2:51.0,Defensive rebound by V. Oladipo,,102-111,,
2:40.0,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo),2,104-111,,
2:26.0,,,104-111,,K. Thompson misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by A. Gordon,,104-111,,
2:17.0,C. Watson misses 2-pt shot from 14 ft,,104-111,,
2:16.0,,,104-111,,Defensive rebound by A. Bogut
2:02.0,,,104-111,,Turnover by A. Bogut (lost ball)
1:58.0,Shooting foul by S. Curry (drawn by B. Jennings),,104-111,,
1:58.0,B. Jennings misses free throw 1 of 2,,104-111,,
1:58.0,Offensive rebound by Team,,104-111,,
1:58.0,B. Jennings makes free throw 2 of 2,1,105-111,,
1:48.0,,,105-111,,Turnover by D. Green (bad pass; steal by C. Watson)
1:43.0,V. Oladipo makes 2-pt shot from 1 ft (assist by C. Watson),2,107-111,,
1:26.0,,,107-111,,S. Curry misses 2-pt shot from 3 ft
1:26.0,,,107-111,,Offensive rebound by D. Green
1:24.0,,,107-111,,D. Green misses 2-pt shot from 1 ft
1:22.0,Defensive rebound by A. Gordon,,107-111,,
1:13.0,Shooting foul by A. Bogut (drawn by V. Oladipo),,107-111,,
1:13.0,V. Oladipo makes free throw 1 of 2,1,108-111,,
1:13.0,V. Oladipo makes free throw 2 of 2,1,109-111,,
1:13.0,,,109-111,,Golden State full timeout
0:53.0,,,109-114,3,K. Thompson makes 3-pt shot from 22 ft
0:53.0,Orlando full timeout,,109-114,,
0:49.0,Turnover by V. Oladipo (lost ball; steal by A. Bogut),,109-114,,
0:44.0,,,109-116,2,S. Curry makes 2-pt shot from 1 ft
0:40.0,,,109-116,,Personal foul by A. Bogut (drawn by E. Fournier)
0:40.0,,,109-116,,H. Barnes enters the game for A. Bogut
0:40.0,E. Fournier makes free throw 1 of 2,1,110-116,,
0:40.0,E. Fournier makes free throw 2 of 2,1,111-116,,
0:34.0,Personal foul by E. Fournier (drawn by S. Curry),,111-116,,
0:33.0,Personal foul by C. Watson (drawn by S. Curry),,111-116,,
0:33.0,,,111-117,1,S. Curry makes free throw 1 of 2
0:33.0,,,111-118,1,S. Curry makes free throw 2 of 2
0:33.0,Orlando full timeout,,111-118,,
0:25.0,E. Fournier misses 3-pt shot from 26 ft,,111-118,,
0:25.0,,,111-118,,Defensive rebound by S. Curry
0:10.0,Personal foul by B. Jennings (drawn by S. Livingston),,111-118,,
0:10.0,,,111-119,1,S. Livingston makes free throw 1 of 2
0:10.0,,,111-119,,S. Livingston misses free throw 2 of 2
0:09.0,Defensive rebound by A. Gordon,,111-119,,
0:03.0,A. Gordon makes 2-pt shot from 1 ft,2,113-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
