time,Brooklyn,pts.away,score,pts.home,Portland
1:44.0,T. Young misses 2-pt shot from 20 ft,,101-104,,
1:43.0,,,101-104,,Defensive rebound by D. Lillard
1:25.0,,,101-107,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
1:25.0,Brooklyn full timeout,,101-107,,
1:25.0,,,101-107,,M. Harkless enters the game for A. Crabbe
1:16.0,J. Johnson misses 3-pt shot from 24 ft,,101-107,,
1:14.0,Offensive rebound by B. Lopez,,101-107,,
1:14.0,B. Lopez misses 2-pt shot at rim,,101-107,,
1:14.0,Offensive rebound by B. Lopez,,101-107,,
1:14.0,B. Lopez makes 2-pt shot at rim,2,103-107,,
1:14.0,Shooting foul by M. Plumlee (drawn by B. Lopez),,103-107,,
1:14.0,,,103-107,,A. Crabbe enters the game for M. Harkless
1:14.0,B. Lopez makes free throw 1 of 1,1,104-107,,
0:56.0,,,104-107,,Shooting foul by M. Brown (drawn by M. Plumlee)
0:56.0,,,104-108,1,M. Plumlee makes free throw 1 of 2
0:56.0,,,104-108,,M. Harkless enters the game for A. Crabbe
0:56.0,,,104-108,,M. Plumlee misses free throw 2 of 2
0:56.0,Defensive rebound by J. Johnson,,104-108,,
0:46.0,D. Sloan misses 3-pt shot from 22 ft,,104-108,,
0:45.0,,,104-108,,Defensive rebound by M. Plumlee
0:26.0,,,104-108,,Shooting foul by T. Young (drawn by D. Lillard)
0:26.0,,,104-109,1,D. Lillard makes free throw 1 of 2
0:26.0,,,104-110,1,D. Lillard makes free throw 2 of 2
0:26.0,Brooklyn full timeout,,104-110,,
0:22.0,J. Johnson misses 2-pt shot from 6 ft,,104-110,,
0:21.0,,,104-110,,Defensive rebound by M. Plumlee
0:17.0,Personal take foul by J. Johnson (drawn by D. Lillard),,104-110,,
0:17.0,,,104-111,1,D. Lillard makes free throw 1 of 2
0:17.0,,,104-112,1,D. Lillard makes free throw 2 of 2
0:07.0,T. Young misses 2-pt shot from 17 ft,,104-112,,
0:06.0,,,104-112,,Defensive rebound by M. Plumlee
0:00.0,End of 4th quarter,,,,End of 4th quarter
