time,Boston,pts.away,score,pts.home,Cleveland
2:12.0,,,63-69,,I. Shumpert misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by A. Bradley,,63-69,,
2:04.0,A. Bradley misses 3-pt shot from 24 ft,,63-69,,
2:03.0,,,63-69,,Defensive rebound by L. James
2:00.0,,,63-69,,Cleveland full timeout
2:00.0,,,63-69,,T. Thompson enters the game for K. Love
1:42.0,,,63-69,,L. James misses 2-pt shot from 2 ft (block by E. Turner)
1:41.0,Defensive rebound by T. Zeller,,63-69,,
1:34.0,M. Smart misses 3-pt shot from 26 ft,,63-69,,
1:33.0,,,63-69,,Defensive rebound by I. Shumpert
1:23.0,,,63-69,,Turnover by R. Jefferson (traveling)
1:12.0,,,63-69,,Personal foul by K. Irving (drawn by M. Smart)
1:04.0,M. Smart misses 2-pt shot from 7 ft,,63-69,,
1:03.0,,,63-69,,Defensive rebound by T. Thompson
0:53.0,,,63-69,,Shooting foul by T. Zeller (drawn by L. James)
0:53.0,,,63-70,1,L. James makes free throw 1 of 2
0:53.0,,,63-71,1,L. James makes free throw 2 of 2
0:45.0,Turnover by A. Bradley (lost ball; steal by I. Shumpert),,63-71,,
0:37.0,,,63-71,,Offensive foul by L. James
0:37.0,,,63-71,,Turnover by L. James (offensive foul)
0:31.0,E. Turner misses 2-pt shot from 17 ft,,63-71,,
0:30.0,,,63-71,,Defensive rebound by I. Shumpert
0:11.0,,,63-71,,L. James misses 2-pt shot from 1 ft
0:10.0,,,63-71,,Offensive rebound by L. James
0:10.0,,,63-71,,L. James misses 2-pt shot from 1 ft
0:07.0,,,63-71,,Offensive rebound by L. James
0:07.0,,,63-73,2,L. James makes 2-pt shot at rim
0:02.0,E. Turner makes 2-pt shot from 1 ft,2,65-73,,
0:00.0,,,65-73,,I. Shumpert misses 3-pt shot from 52 ft
0:00.0,,,65-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,65-75,2,R. Jefferson makes 2-pt shot from 6 ft (assist by K. Irving)
11:29.0,I. Thomas makes 2-pt shot from 15 ft (assist by M. Smart),2,67-75,,
11:19.0,,,67-75,,Shooting foul by E. Turner (drawn by R. Jefferson)
11:19.0,,,67-75,,R. Jefferson misses free throw 1 of 2
11:19.0,,,67-75,,Offensive rebound by Team
11:19.0,,,67-76,1,R. Jefferson makes free throw 2 of 2
11:11.0,Shooting foul by I. Shumpert (drawn by I. Thomas),,67-76,,
11:11.0,I. Thomas makes free throw 1 of 3,1,68-76,,
11:11.0,I. Thomas makes free throw 2 of 3,1,69-76,,
11:11.0,,,69-76,,J. Smith enters the game for I. Shumpert
11:11.0,I. Thomas makes free throw 3 of 3,1,70-76,,
10:58.0,,,70-76,,K. Irving misses 2-pt shot from 15 ft
10:58.0,Defensive rebound by J. Jerebko,,70-76,,
10:48.0,T. Zeller makes 2-pt shot from 1 ft,2,72-76,,
10:37.0,,,72-76,,K. Irving misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by E. Turner,,72-76,,
10:28.0,E. Turner makes 2-pt shot at rim,2,74-76,,
10:28.0,,,74-76,,Cleveland full timeout
10:22.0,,,74-76,,Offensive foul by K. Irving
10:22.0,,,74-76,,Turnover by K. Irving (offensive foul)
10:03.0,I. Thomas makes 3-pt shot from 24 ft (assist by T. Zeller),3,77-76,,
9:53.0,,,77-76,,Shooting foul by M. Smart (drawn by L. James)
9:53.0,,,77-77,1,L. James makes free throw 1 of 2
9:53.0,,,77-78,1,L. James makes free throw 2 of 2
9:41.0,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner),2,79-78,,
9:14.0,,,79-78,,K. Irving misses 2-pt shot from 5 ft
9:13.0,Defensive rebound by E. Turner,,79-78,,
9:04.0,Turnover by T. Zeller (3 sec),,79-78,,
9:04.0,,,79-78,,T. Mozgov enters the game for T. Thompson
8:47.0,,,79-80,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
8:30.0,E. Turner misses 2-pt shot from 16 ft,,79-80,,
8:29.0,,,79-80,,Defensive rebound by T. Mozgov
8:10.0,,,79-80,,Shooting foul by J. Jerebko (drawn by L. James)
8:10.0,,,79-81,1,L. James makes free throw 1 of 2
8:10.0,J. Crowder enters the game for J. Jerebko,,79-81,,
8:10.0,,,79-81,,L. James misses free throw 2 of 2
8:10.0,Defensive rebound by Team,,79-81,,
7:53.0,M. Smart misses 3-pt shot from 24 ft,,79-81,,
7:53.0,,,79-81,,Defensive rebound by L. James
7:49.0,,,79-81,,Offensive foul by L. James
7:49.0,,,79-81,,Turnover by L. James (offensive foul)
7:35.0,E. Turner misses 2-pt shot from 13 ft,,79-81,,
7:35.0,Offensive rebound by Team,,79-81,,
7:35.0,,,79-81,,Loose ball foul by T. Mozgov (drawn by T. Zeller)
7:31.0,I. Thomas misses 2-pt shot from 11 ft,,79-81,,
7:31.0,,,79-81,,Defensive rebound by Team
7:31.0,Loose ball foul by T. Zeller (drawn by T. Mozgov),,79-81,,
7:31.0,,,79-81,,I. Shumpert enters the game for K. Irving
7:09.0,,,79-81,,J. Smith misses 2-pt shot from 16 ft
7:08.0,Defensive rebound by E. Turner,,79-81,,
7:06.0,,,79-81,,Violation by T. Mozgov (def goaltending)
7:06.0,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner),2,81-81,,
6:48.0,Loose ball foul by J. Crowder (drawn by T. Mozgov),,81-81,,
6:48.0,,,81-81,,T. Mozgov misses free throw 1 of 2
6:48.0,,,81-81,,Offensive rebound by Team
6:48.0,,,81-81,,T. Mozgov misses free throw 2 of 2
