time,Philadelphia,pts.away,score,pts.home,Washington
6:11.0,,,93-97,,G. Temple misses 3-pt shot from 25 ft
6:10.0,,,93-97,,Offensive rebound by O. Porter
6:04.0,,,93-99,2,M. Gortat makes 2-pt shot at rim (assist by O. Porter)
6:04.0,,,93-99,,Shooting foul by N. Noel (drawn by M. Gortat)
6:04.0,C. Landry enters the game for J. Grant,,93-99,,
6:04.0,,,93-100,1,M. Gortat makes free throw 1 of 1
5:49.0,I. Canaan misses 2-pt shot from 7 ft,,93-100,,
5:48.0,,,93-100,,Defensive rebound by M. Gortat
5:43.0,,,93-100,,Shooting foul by R. Covington (drawn by M. Morris)
5:43.0,N. Stauskas enters the game for R. Covington,,93-100,,
5:43.0,,,93-101,1,M. Morris makes free throw 1 of 2
5:43.0,,,93-102,1,M. Morris makes free throw 2 of 2
5:43.0,Philadelphia full timeout,,93-102,,
5:32.0,N. Stauskas makes 2-pt shot at rim (assist by I. Smith),2,95-102,,
5:32.0,Shooting foul by M. Morris (drawn by N. Stauskas),,95-102,,
5:32.0,N. Stauskas makes free throw 1 of 1,1,96-102,,
5:16.0,,,96-102,,J. Wall misses 2-pt shot from 16 ft
5:15.0,Defensive rebound by N. Stauskas,,96-102,,
5:01.0,N. Stauskas misses 2-pt shot from 2 ft (block by O. Porter),,96-102,,
5:01.0,Offensive rebound by Team,,96-102,,
4:52.0,N. Stauskas misses 2-pt shot from 19 ft,,96-102,,
4:50.0,,,96-102,,Defensive rebound by M. Gortat
4:44.0,,,96-104,2,J. Wall makes 2-pt shot at rim
4:35.0,I. Smith makes 2-pt shot from 1 ft,2,98-104,,
4:14.0,,,98-106,2,M. Gortat makes 2-pt shot at rim (assist by M. Morris)
4:01.0,I. Canaan misses 3-pt shot from 24 ft,,98-106,,
4:00.0,,,98-106,,Defensive rebound by M. Morris
3:54.0,,,98-106,,B. Beal enters the game for O. Porter
3:40.0,,,98-106,,J. Wall misses 2-pt shot from 21 ft
3:39.0,Defensive rebound by N. Noel,,98-106,,
3:33.0,I. Smith makes 2-pt shot from 8 ft,2,100-106,,
3:15.0,,,100-106,,B. Beal misses 2-pt shot from 2 ft
3:14.0,Defensive rebound by C. Landry,,100-106,,
3:08.0,I. Smith misses 2-pt shot at rim,,100-106,,
3:06.0,,,100-106,,Defensive rebound by B. Beal
2:52.0,,,100-108,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
2:51.0,Philadelphia full timeout,,100-108,,
2:51.0,J. Grant enters the game for C. Landry,,100-108,,
2:51.0,,,100-108,,Violation by Team (delay of game)
2:38.0,Turnover by I. Smith (bad pass; steal by J. Wall),,100-108,,
2:15.0,,,100-110,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
2:07.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,102-110,,
1:49.0,,,102-110,,Turnover by B. Beal (bad pass; steal by N. Noel)
1:46.0,N. Noel makes 2-pt shot from 1 ft,2,104-110,,
1:25.0,,,104-110,,Turnover by J. Wall (bad pass)
1:09.0,I. Smith makes 3-pt shot from 26 ft (assist by I. Canaan),3,107-110,,
0:51.0,,,107-112,2,M. Morris makes 2-pt shot from 19 ft (assist by J. Wall)
0:50.0,Philadelphia full timeout,,107-112,,
0:50.0,Violation by Team (delay of game),,107-112,,
0:44.0,N. Stauskas misses 3-pt shot from 28 ft,,107-112,,
0:43.0,,,107-112,,Defensive rebound by J. Wall
0:23.0,,,107-114,2,J. Wall makes 2-pt shot from 16 ft
0:20.0,Shooting foul by G. Temple (drawn by I. Smith),,107-114,,
0:20.0,I. Smith misses free throw 1 of 2,,107-114,,
0:20.0,Offensive rebound by Team,,107-114,,
0:20.0,T. McConnell enters the game for N. Stauskas,,107-114,,
0:20.0,I. Smith makes free throw 2 of 2,1,108-114,,
0:16.0,Personal take foul by N. Noel (drawn by B. Beal),,108-114,,
0:16.0,,,108-115,1,B. Beal makes free throw 1 of 2
0:16.0,N. Stauskas enters the game for T. McConnell,,108-115,,
0:16.0,,,108-116,1,B. Beal makes free throw 2 of 2
0:11.0,I. Canaan misses 3-pt shot from 25 ft,,108-116,,
0:10.0,,,108-116,,Defensive rebound by M. Morris
0:00.0,End of 4th quarter,,,,End of 4th quarter
