time,Brooklyn,pts.away,score,pts.home,Indiana
2:50.0,Brooklyn full timeout,,92-100,,
2:36.0,,,92-102,2,J. Hill makes 2-pt shot at rim (assist by P. George)
2:13.0,J. Johnson misses 2-pt shot from 16 ft,,92-102,,
2:13.0,,,92-102,,Defensive rebound by Team
2:13.0,Loose ball foul by T. Young (drawn by C. Miles),,92-102,,
2:13.0,,,92-103,1,C. Miles makes free throw 1 of 2
2:13.0,,,92-104,1,C. Miles makes free throw 2 of 2
1:59.0,B. Bogdanovic misses 2-pt shot from 19 ft,,92-104,,
1:58.0,,,92-104,,Defensive rebound by P. George
1:36.0,,,92-104,,G. Hill misses 2-pt shot from 18 ft
1:36.0,Defensive rebound by J. Jack,,92-104,,
1:28.0,J. Jack makes 2-pt shot from 18 ft,2,94-104,,
1:04.0,,,94-104,,C. Miles misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by B. Lopez,,94-104,,
0:54.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack),3,97-104,,
0:39.0,,,97-104,,M. Ellis misses 2-pt shot from 18 ft
0:37.0,,,97-104,,Offensive rebound by J. Hill
0:17.0,,,97-104,,Turnover by P. George (lost ball; steal by J. Johnson)
0:12.0,J. Jack misses 3-pt shot from 27 ft,,97-104,,
0:11.0,,,97-104,,Defensive rebound by G. Hill
0:00.0,End of 4th quarter,,,,End of 4th quarter
