time,Cleveland,pts.away,score,pts.home,Phoenix
3:18.0,,,74-73,,Turnover by P. Tucker (bad pass)
3:18.0,Shooting foul by P. Tucker (drawn by L. James),,74-73,,
3:18.0,L. James makes free throw 1 of 2,1,75-73,,
3:18.0,L. James misses free throw 2 of 2,,75-73,,
3:17.0,,,75-73,,Defensive rebound by T. Chandler
2:52.0,,,75-73,,R. Price misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by T. Mozgov,,75-73,,
2:40.0,,,75-73,,Personal foul by T. Warren (drawn by J. Smith)
2:40.0,Cleveland full timeout,,75-73,,
2:40.0,K. Irving enters the game for L. James,,75-73,,
2:40.0,R. Jefferson enters the game for M. Dellavedova,,75-73,,
2:40.0,,,75-73,,A. Len enters the game for T. Chandler
2:40.0,J. Smith makes free throw 1 of 2,1,76-73,,
2:40.0,J. Smith makes free throw 2 of 2,1,77-73,,
2:28.0,,,77-73,,Turnover by A. Len (bad pass; steal by J. Smith)
2:10.0,K. Irving makes 2-pt shot from 2 ft,2,79-73,,
2:07.0,,,79-73,,Turnover by M. Teletovic (inbound)
2:07.0,I. Shumpert enters the game for J. Smith,,79-73,,
2:07.0,,,79-73,,B. Knight enters the game for M. Teletovic
2:07.0,,,79-73,,D. Booker enters the game for P. Tucker
1:56.0,T. Mozgov misses 2-pt shot from 15 ft,,79-73,,
1:54.0,,,79-73,,Defensive rebound by D. Booker
1:47.0,,,79-73,,B. Knight misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by J. Jones,,79-73,,
1:37.0,K. Irving misses 3-pt shot from 25 ft,,79-73,,
1:35.0,,,79-73,,Defensive rebound by R. Price
1:16.0,,,79-73,,R. Price misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by R. Jefferson,,79-73,,
0:50.0,K. Irving misses 3-pt shot from 30 ft,,79-73,,
0:48.0,,,79-73,,Defensive rebound by T. Warren
0:26.0,,,79-73,,Turnover by D. Booker (bad pass; steal by J. Jones)
0:05.0,Shooting foul by B. Knight (drawn by K. Irving),,79-73,,
0:05.0,K. Irving makes free throw 1 of 2,1,80-73,,
0:05.0,K. Irving makes free throw 2 of 2,1,81-73,,
