time,Dallas,pts.away,score,pts.home,Milwaukee
6:13.0,,,81-89,,Offensive rebound by Team
6:10.0,,,81-89,,M. Carter-Williams misses 2-pt shot from 4 ft
6:08.0,Defensive rebound by D. Nowitzki,,81-89,,
5:57.0,R. Felton misses 2-pt shot from 17 ft,,81-89,,
5:55.0,,,81-89,,Defensive rebound by M. Carter-Williams
5:45.0,,,81-89,,J. Parker misses 2-pt shot from 15 ft
5:44.0,Defensive rebound by Z. Pachulia,,81-89,,
5:30.0,D. Nowitzki makes 3-pt shot from 23 ft (assist by D. Williams),3,84-89,,
5:00.0,,,84-89,,J. Henson misses 2-pt shot from 6 ft
4:59.0,Defensive rebound by D. Nowitzki,,84-89,,
4:52.0,D. Nowitzki misses 3-pt shot from 25 ft,,84-89,,
4:50.0,,,84-89,,Defensive rebound by M. Carter-Williams
4:35.0,,,84-89,,Shooting foul by W. Matthews (drawn by K. Middleton)
4:35.0,,,84-90,1,K. Middleton makes free throw 1 of 2
4:35.0,,,84-90,,G. Antetokounmpo enters the game for J. Parker
4:35.0,,,84-90,,K. Middleton misses free throw 2 of 2
4:34.0,Defensive rebound by Z. Pachulia,,84-90,,
4:20.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams),3,87-90,,
4:17.0,,,87-90,,Milwaukee full timeout
3:55.0,,,87-93,3,O. Mayo makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
3:34.0,R. Felton makes 3-pt shot from 26 ft (assist by D. Williams),3,90-93,,
3:11.0,,,90-93,,G. Antetokounmpo misses 2-pt shot from 5 ft
3:10.0,Defensive rebound by Z. Pachulia,,90-93,,
2:51.0,R. Felton makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,93-93,,
2:32.0,,,93-93,,M. Carter-Williams misses 3-pt shot from 27 ft
2:32.0,Defensive rebound by Team,,93-93,,
2:32.0,,,93-93,,Loose ball foul by G. Antetokounmpo (drawn by D. Nowitzki)
2:32.0,,,93-93,,G. Monroe enters the game for J. Henson
2:19.0,D. Nowitzki misses 3-pt shot from 24 ft,,93-93,,
2:18.0,,,93-93,,Defensive rebound by G. Monroe
2:03.0,,,93-93,,K. Middleton misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by D. Williams,,93-93,,
1:48.0,Turnover by R. Felton (lost ball; steal by M. Carter-Williams),,93-93,,
1:34.0,,,93-93,,Turnover by O. Mayo (bad pass; steal by W. Matthews)
1:30.0,R. Felton misses 2-pt shot from 1 ft (block by M. Carter-Williams),,93-93,,
1:29.0,,,93-93,,Defensive rebound by O. Mayo
1:25.0,,,93-93,,Shooting foul by Z. Pachulia (drawn by G. Antetokounmpo)
1:25.0,,,93-93,,G. Antetokounmpo misses free throw 1 of 2
1:25.0,,,93-93,,Offensive rebound by Team
1:25.0,,,93-93,,G. Antetokounmpo misses free throw 2 of 2
1:23.0,,,93-93,,Offensive rebound by G. Monroe
1:10.0,,,93-93,,Shooting foul by R. Felton (drawn by K. Middleton)
1:10.0,,,93-93,,K. Middleton misses free throw 1 of 2
1:10.0,,,93-93,,Offensive rebound by Team
1:10.0,,,93-94,1,K. Middleton makes free throw 2 of 2
0:54.0,R. Felton misses 3-pt shot from 24 ft,,93-94,,
0:53.0,Offensive rebound by Z. Pachulia,,93-94,,
0:48.0,Dallas full timeout,,93-94,,
0:48.0,,,93-94,,J. Henson enters the game for G. Monroe
0:43.0,,,93-94,,Personal foul by G. Antetokounmpo (drawn by D. Nowitzki)
0:38.0,Shooting foul by K. Middleton (drawn by D. Nowitzki),,93-94,,
0:38.0,D. Nowitzki makes free throw 1 of 2,1,94-94,,
0:38.0,,,94-94,,Milwaukee full timeout
0:38.0,,,94-94,,G. Monroe enters the game for J. Henson
0:38.0,D. Nowitzki makes free throw 2 of 2,1,95-94,,
0:32.0,,,95-94,,Offensive foul by G. Antetokounmpo
0:32.0,,,95-94,,Turnover by G. Antetokounmpo (offensive foul)
0:32.0,,,95-94,,J. Henson enters the game for G. Monroe
0:14.0,Turnover by D. Nowitzki (bad pass; steal by J. Henson),,95-94,,
0:10.0,,,95-96,2,K. Middleton makes 2-pt shot from 6 ft
0:09.0,Dallas full timeout,,95-96,,
0:00.0,D. Williams misses 2-pt shot from 14 ft,,95-96,,
0:00.0,Offensive rebound by Team,,95-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
