time,Oklahoma City,pts.away,score,pts.home,Philadelphia
4:44.0,,,100-86,,Turnover by I. Smith (lost ball; steal by A. Roberson)
4:44.0,Oklahoma City full timeout,,100-86,,
4:44.0,D. Waiters enters the game for A. Roberson,,100-86,,
4:32.0,K. Durant misses 2-pt shot at rim,,100-86,,
4:31.0,,,100-86,,Defensive rebound by J. Grant
4:26.0,,,100-86,,N. Stauskas misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by R. Westbrook,,100-86,,
4:18.0,E. Kanter misses 2-pt shot at rim,,100-86,,
4:16.0,Offensive rebound by Team,,100-86,,
4:16.0,S. Adams enters the game for E. Kanter,,100-86,,
4:15.0,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,102-86,,
3:59.0,,,102-86,,N. Stauskas misses 2-pt shot from 1 ft
3:57.0,,,102-86,,Offensive rebound by N. Noel
3:56.0,,,102-86,,N. Noel misses 2-pt shot from 1 ft (block by R. Westbrook)
3:55.0,Defensive rebound by S. Adams,,102-86,,
3:50.0,R. Westbrook makes 3-pt shot from 25 ft (assist by R. Foye),3,105-86,,
3:49.0,,,105-86,,Philadelphia full timeout
3:40.0,,,105-86,,Offensive foul by J. Grant
3:40.0,,,105-86,,Turnover by J. Grant (offensive foul)
3:25.0,K. Durant misses 2-pt shot from 16 ft,,105-86,,
3:23.0,,,105-86,,Defensive rebound by J. Grant
3:13.0,,,105-86,,I. Canaan misses 3-pt shot from 26 ft
3:11.0,Defensive rebound by K. Durant,,105-86,,
2:57.0,D. Waiters makes 2-pt shot from 20 ft,2,107-86,,
2:43.0,,,107-86,,Shooting foul by K. Durant (drawn by J. Grant)
2:43.0,,,107-87,1,J. Grant makes free throw 1 of 2
2:43.0,C. Payne enters the game for K. Durant,,107-87,,
2:43.0,A. Roberson enters the game for R. Westbrook,,107-87,,
2:43.0,,,107-87,,T. McConnell enters the game for N. Noel
2:43.0,,,107-87,,S. Weems enters the game for I. Canaan
2:43.0,,,107-87,,C. Landry enters the game for I. Smith
2:43.0,M. McGary enters the game for R. Foye,,107-87,,
2:43.0,,,107-88,1,J. Grant makes free throw 2 of 2
2:31.0,D. Waiters misses 2-pt shot from 20 ft,,107-88,,
2:29.0,,,107-88,,Defensive rebound by S. Weems
2:07.0,,,107-90,2,T. McConnell makes 2-pt shot from 15 ft
1:54.0,C. Payne makes 2-pt shot from 16 ft,2,109-90,,
1:54.0,,,109-90,,Philadelphia full timeout
1:54.0,N. Collison enters the game for S. Adams,,109-90,,
1:44.0,,,109-90,,Shooting foul by M. McGary (drawn by J. Grant)
1:44.0,,,109-91,1,J. Grant makes free throw 1 of 2
1:44.0,,,109-91,,J. Grant misses free throw 2 of 2
1:43.0,Defensive rebound by M. McGary,,109-91,,
1:27.0,D. Waiters misses 2-pt shot from 19 ft,,109-91,,
1:26.0,,,109-91,,Defensive rebound by S. Weems
1:12.0,,,109-93,2,C. Landry makes 2-pt shot at rim (assist by N. Stauskas)
0:51.0,C. Payne misses 3-pt shot from 25 ft,,109-93,,
0:49.0,,,109-93,,Defensive rebound by J. Grant
0:34.0,,,109-95,2,T. McConnell makes 2-pt shot from 13 ft (assist by J. Grant)
0:12.0,M. McGary makes 2-pt shot from 17 ft,2,111-95,,
0:03.0,,,111-97,2,N. Stauskas makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
