time,Portland,pts.away,score,pts.home,Charlotte
3:28.0,,,88-98,,Violation by Team (delay of game)
3:28.0,Portland full timeout,,88-98,,
3:16.0,E. Davis makes 2-pt shot from 2 ft (assist by C. McCollum),2,90-98,,
3:07.0,,,90-98,,Offensive foul by A. Jefferson
3:07.0,,,90-98,,Turnover by A. Jefferson (offensive foul)
3:07.0,A. Crabbe enters the game for M. Harkless,,90-98,,
2:59.0,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard),2,92-98,,
2:41.0,,,92-98,,Shooting foul by E. Davis (drawn by K. Walker)
2:41.0,,,92-99,1,K. Walker makes free throw 1 of 2
2:41.0,,,92-99,,J. Lin enters the game for J. Lamb
2:41.0,,,92-100,1,K. Walker makes free throw 2 of 2
2:30.0,A. Aminu misses 3-pt shot from 24 ft,,92-100,,
2:27.0,Offensive rebound by D. Lillard,,92-100,,
2:19.0,,,92-100,,Personal foul by M. Williams (drawn by A. Aminu)
2:18.0,Offensive foul by E. Davis,,92-100,,
2:18.0,Turnover by E. Davis (offensive foul),,92-100,,
2:18.0,M. Plumlee enters the game for E. Davis,,92-100,,
2:00.0,,,92-102,2,A. Jefferson makes 2-pt shot from 19 ft (assist by K. Walker)
1:43.0,C. McCollum misses 2-pt shot from 18 ft,,92-102,,
1:42.0,,,92-102,,Defensive rebound by N. Batum
1:34.0,Personal foul by A. Aminu (drawn by N. Batum),,92-102,,
1:34.0,,,92-103,1,N. Batum makes free throw 1 of 2
1:34.0,,,92-104,1,N. Batum makes free throw 2 of 2
1:34.0,Portland full timeout,,92-104,,
1:28.0,C. McCollum misses 2-pt shot from 7 ft,,92-104,,
1:27.0,,,92-104,,Defensive rebound by N. Batum
1:08.0,,,92-106,2,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Lin)
1:08.0,Portland full timeout,,92-106,,
1:08.0,P. Connaughton enters the game for A. Aminu,,92-106,,
1:08.0,N. Vonleh enters the game for M. Plumlee,,92-106,,
1:08.0,T. Frazier enters the game for C. McCollum,,92-106,,
1:08.0,C. Alexander enters the game for D. Lillard,,92-106,,
0:53.0,C. Alexander makes 2-pt shot at rim (assist by T. Frazier),2,94-106,,
0:39.0,,,94-106,,N. Batum misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by Team,,94-106,,
0:28.0,T. Frazier misses 2-pt shot from 1 ft,,94-106,,
0:27.0,,,94-106,,Defensive rebound by K. Walker
0:03.0,,,94-106,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
