time,Milwaukee,pts.away,score,pts.home,Houston
4:35.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,84-93,,
4:34.0,,,84-93,,Defensive rebound by T. Jones
4:26.0,,,84-96,3,J. Harden makes 3-pt shot from 25 ft (assist by J. Terry)
4:26.0,Milwaukee full timeout,,84-96,,
4:14.0,Turnover by M. Carter-Williams (bad pass; steal by C. Brewer),,84-96,,
4:09.0,,,84-96,,T. Ariza misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by G. Monroe,,84-96,,
3:58.0,G. Antetokounmpo makes 2-pt shot at rim,2,86-96,,
3:33.0,,,86-96,,J. Terry misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by J. Parker,,86-96,,
3:27.0,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton),2,88-96,,
3:27.0,Shooting foul by J. Terry (drawn by M. Carter-Williams),,88-96,,
3:27.0,M. Carter-Williams misses free throw 1 of 1,,88-96,,
3:27.0,,,88-96,,Defensive rebound by T. Ariza
3:16.0,,,88-96,,Houston full timeout
3:07.0,,,88-96,,T. Jones misses 2-pt shot from 3 ft
3:06.0,Defensive rebound by G. Antetokounmpo,,88-96,,
2:57.0,J. Parker misses 2-pt shot from 8 ft,,88-96,,
2:55.0,,,88-96,,Defensive rebound by Team
2:38.0,,,88-99,3,J. Terry makes 3-pt shot from 23 ft (assist by C. Brewer)
2:19.0,M. Carter-Williams makes 2-pt shot from 9 ft (assist by G. Antetokounmpo),2,90-99,,
1:58.0,,,90-99,,Shooting foul by G. Antetokounmpo (drawn by J. Harden)
1:58.0,,,90-100,1,J. Harden makes free throw 1 of 2
1:58.0,,,90-100,,C. Capela enters the game for J. Terry
1:58.0,,,90-100,,J. Harden misses free throw 2 of 2
1:58.0,Defensive rebound by G. Monroe,,90-100,,
1:45.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,92-100,,
1:45.0,Shooting foul by C. Capela (drawn by G. Monroe),,92-100,,
1:45.0,,,92-100,,J. Terry enters the game for C. Capela
1:45.0,G. Monroe misses free throw 1 of 1,,92-100,,
1:45.0,,,92-100,,Defensive rebound by T. Jones
1:19.0,,,92-100,,Turnover by C. Brewer (offensive goaltending)
1:19.0,,,92-100,,J. Smith enters the game for J. Terry
1:12.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,94-100,,
0:48.0,,,94-100,,Turnover by Team (shot clock)
0:39.0,Shooting foul by J. Harden (drawn by G. Monroe),,94-100,,
0:39.0,G. Monroe makes free throw 1 of 2,1,95-100,,
0:39.0,,,95-100,,J. Terry enters the game for J. Smith
0:39.0,G. Monroe misses free throw 2 of 2,,95-100,,
0:39.0,,,95-100,,Defensive rebound by J. Harden
0:17.0,,,95-100,,T. Jones misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
0:17.0,,,95-100,,Offensive rebound by Team
0:17.0,,,95-100,,Houston full timeout
0:17.0,J. Henson enters the game for G. Monroe,,95-100,,
0:15.0,,,95-100,,J. Terry misses 3-pt shot from 23 ft
0:14.0,Defensive rebound by G. Antetokounmpo,,95-100,,
0:14.0,Milwaukee full timeout,,95-100,,
0:14.0,,,95-100,,J. Smith enters the game for J. Terry
0:14.0,G. Monroe enters the game for M. Carter-Williams,,95-100,,
0:14.0,J. Bayless enters the game for J. Henson,,95-100,,
0:10.0,K. Middleton misses 3-pt shot from 25 ft,,95-100,,
0:09.0,Offensive rebound by J. Bayless,,95-100,,
0:07.0,K. Middleton makes 3-pt shot from 26 ft (assist by J. Bayless),3,98-100,,
0:07.0,,,98-100,,Houston full timeout
0:07.0,,,98-100,,J. Terry enters the game for J. Smith
0:07.0,J. Henson enters the game for J. Parker,,98-100,,
0:07.0,M. Carter-Williams enters the game for G. Monroe,,98-100,,
0:04.0,Personal foul by J. Henson (drawn by T. Ariza),,98-100,,
0:04.0,,,98-101,1,T. Ariza makes free throw 1 of 2
0:04.0,G. Monroe enters the game for J. Bayless,,98-101,,
0:04.0,,,98-101,,J. Smith enters the game for J. Terry
0:04.0,,,98-102,1,T. Ariza makes free throw 2 of 2
0:04.0,Milwaukee full timeout,,98-102,,
0:04.0,J. Bayless enters the game for J. Henson,,98-102,,
0:00.0,J. Bayless misses 3-pt shot from 23 ft,,98-102,,
0:00.0,Offensive rebound by Team,,98-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
