time,New Orleans,pts.away,score,pts.home,Detroit
5:49.0,,,88-85,,T. Harris misses 2-pt shot from 1 ft (block by A. Gee)
5:49.0,,,88-85,,Offensive rebound by Team
5:49.0,,,88-85,,Detroit full timeout
5:36.0,,,88-87,2,R. Jackson makes 2-pt shot at rim (assist by T. Harris)
5:25.0,Shooting foul by A. Drummond (drawn by A. Davis),,88-87,,
5:25.0,A. Davis makes free throw 1 of 2,1,89-87,,
5:25.0,N. Cole enters the game for T. Douglas,,89-87,,
5:25.0,A. Davis makes free throw 2 of 2,1,90-87,,
5:09.0,,,90-87,,T. Harris misses 2-pt shot from 7 ft
5:09.0,Defensive rebound by A. Davis,,90-87,,
4:58.0,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday),2,92-87,,
4:45.0,,,92-87,,Shooting foul by A. Gee (drawn by A. Drummond)
4:45.0,,,92-87,,A. Drummond misses free throw 1 of 2
4:45.0,,,92-87,,Offensive rebound by Team
4:45.0,,,92-87,,A. Drummond misses free throw 2 of 2
4:45.0,Defensive rebound by J. Holiday,,92-87,,
4:25.0,J. Holiday misses 2-pt shot at rim,,92-87,,
4:25.0,Offensive rebound by Team,,92-87,,
4:25.0,Turnover by J. Holiday (traveling),,92-87,,
4:11.0,,,92-87,,M. Morris misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by A. Davis,,92-87,,
4:04.0,New Orleans full timeout,,92-87,,
3:54.0,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday),2,94-87,,
3:28.0,,,94-90,3,R. Jackson makes 3-pt shot from 25 ft
3:10.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,96-90,,
2:50.0,,,96-90,,T. Harris misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by J. Holiday,,96-90,,
2:38.0,A. Davis makes 3-pt shot from 23 ft (assist by J. Holiday),3,99-90,,
2:38.0,,,99-90,,Detroit full timeout
2:18.0,,,99-90,,R. Jackson misses 2-pt shot from 5 ft
2:18.0,,,99-90,,Offensive rebound by A. Drummond
2:18.0,,,99-92,2,A. Drummond makes 2-pt shot at rim
2:18.0,,,99-92,,Shooting foul by A. Gee (drawn by A. Drummond)
2:18.0,,,99-93,1,A. Drummond makes free throw 1 of 1
1:58.0,A. Davis makes 2-pt shot from 13 ft,2,101-93,,
1:50.0,,,101-96,3,R. Jackson makes 3-pt shot from 25 ft
1:39.0,Shooting foul by K. Caldwell-Pope (drawn by J. Holiday),,101-96,,
1:39.0,J. Holiday makes free throw 1 of 2,1,102-96,,
1:39.0,J. Holiday makes free throw 2 of 2,1,103-96,,
1:29.0,Personal foul by A. Gee (drawn by A. Drummond),,103-96,,
1:29.0,D. Cunningham enters the game for R. Anderson,,103-96,,
1:24.0,,,103-98,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
1:11.0,,,103-98,,Personal foul by R. Jackson (drawn by A. Davis)
1:11.0,A. Davis makes free throw 1 of 2,1,104-98,,
1:11.0,A. Davis makes free throw 2 of 2,1,105-98,,
0:59.0,,,105-101,3,T. Harris makes 3-pt shot from 22 ft (assist by R. Jackson)
0:52.0,Turnover by J. Holiday (lost ball; steal by K. Caldwell-Pope),,105-101,,
0:46.0,,,105-101,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by J. Holiday,,105-101,,
0:42.0,,,105-101,,Personal foul by K. Caldwell-Pope (drawn by J. Holiday)
0:42.0,J. Holiday makes free throw 1 of 2,1,106-101,,
0:42.0,J. Holiday makes free throw 2 of 2,1,107-101,,
0:42.0,,,107-101,,Detroit full timeout
0:38.0,,,107-101,,R. Jackson misses 3-pt shot from 31 ft
0:38.0,,,107-101,,Offensive rebound by A. Drummond
0:38.0,Personal foul by A. Gee (drawn by A. Drummond),,107-101,,
0:38.0,,,107-101,,A. Drummond misses free throw 1 of 2
0:38.0,,,107-101,,Offensive rebound by Team
0:38.0,R. Anderson enters the game for D. Cunningham,,107-101,,
0:38.0,T. Douglas enters the game for A. Gee,,107-101,,
0:38.0,,,107-101,,A. Drummond misses free throw 2 of 2
0:38.0,Defensive rebound by A. Davis,,107-101,,
0:26.0,New Orleans full timeout,,107-101,,
0:26.0,,,107-101,,Personal foul by T. Harris (drawn by R. Anderson)
0:26.0,R. Anderson makes free throw 1 of 2,1,108-101,,
0:26.0,R. Anderson makes free throw 2 of 2,1,109-101,,
0:18.0,,,109-104,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by R. Jackson)
0:16.0,,,109-104,,Personal foul by T. Harris (drawn by J. Holiday)
0:16.0,J. Holiday makes free throw 1 of 2,1,110-104,,
0:16.0,D. Cunningham enters the game for R. Anderson,,110-104,,
0:16.0,J. Holiday makes free throw 2 of 2,1,111-104,,
0:06.0,,,111-104,,K. Caldwell-Pope misses 3-pt shot from 27 ft
0:06.0,,,111-104,,Offensive rebound by A. Drummond
0:05.0,,,111-104,,A. Drummond misses 2-pt shot at rim
0:04.0,,,111-104,,Offensive rebound by Team
0:01.0,,,111-106,2,R. Jackson makes 2-pt shot from 16 ft (assist by T. Harris)
0:00.0,End of 4th quarter,,,,End of 4th quarter
