time,Brooklyn,pts.away,score,pts.home,Orlando
1:19.0,J. Jack misses 2-pt shot from 8 ft,,93-92,,
1:17.0,Offensive rebound by J. Johnson,,93-92,,
1:06.0,Jump ball: A. Gordon vs. J. Jack (T. Harris gains possession),,,,Jump ball: A. Gordon vs. J. Jack (T. Harris gains possession)
1:06.0,Turnover by J. Jack (lost ball; steal by A. Gordon),,93-92,,
0:45.0,,,93-94,2,T. Harris makes 2-pt shot at rim (assist by N. Vucevic)
0:23.0,J. Jack misses 2-pt shot from 19 ft,,93-94,,
0:21.0,,,93-94,,Defensive rebound by T. Harris
0:17.0,Personal foul by J. Jack (drawn by V. Oladipo),,93-94,,
0:17.0,,,93-95,1,V. Oladipo makes free throw 1 of 2
0:17.0,,,93-96,1,V. Oladipo makes free throw 2 of 2
0:17.0,Brooklyn full timeout,,93-96,,
0:17.0,W. Ellington enters the game for T. Young,,93-96,,
0:16.0,Offensive foul by B. Lopez,,93-96,,
0:16.0,Turnover by B. Lopez (offensive foul),,93-96,,
0:16.0,,,93-96,,Orlando full timeout
0:16.0,T. Young enters the game for B. Lopez,,93-96,,
0:16.0,S. Larkin enters the game for W. Ellington,,93-96,,
0:16.0,Personal foul by B. Bogdanovic (drawn by A. Gordon),,93-96,,
0:16.0,,,93-97,1,A. Gordon makes free throw 1 of 2
0:16.0,B. Lopez enters the game for S. Larkin,,93-97,,
0:16.0,,,93-98,1,A. Gordon makes free throw 2 of 2
0:16.0,Brooklyn full timeout,,93-98,,
0:16.0,W. Ellington enters the game for B. Bogdanovic,,93-98,,
0:13.0,J. Jack misses 3-pt shot from 27 ft,,93-98,,
0:12.0,,,93-98,,Defensive rebound by N. Vucevic
0:11.0,Personal foul by W. Ellington (drawn by N. Vucevic),,93-98,,
0:11.0,,,93-99,1,N. Vucevic makes free throw 1 of 2
0:11.0,,,93-100,1,N. Vucevic makes free throw 2 of 2
0:05.0,J. Jack misses 3-pt shot from 25 ft,,93-100,,
0:03.0,,,93-100,,Defensive rebound by A. Gordon
0:00.0,End of 4th quarter,,,,End of 4th quarter
