time,Miami,pts.away,score,pts.home,Denver
1:16.0,,,95-95,,D. Arthur misses 2-pt shot from 20 ft
1:14.0,Defensive rebound by C. Bosh,,95-95,,
0:56.0,C. Bosh makes 2-pt shot from 15 ft,2,97-95,,
0:37.0,,,97-95,,W. Barton misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by T. Johnson,,97-95,,
0:31.0,Miami full timeout,,97-95,,
0:18.0,C. Bosh misses 2-pt shot from 18 ft,,97-95,,
0:18.0,,,97-95,,Defensive rebound by J. Nelson
0:18.0,,,97-95,,Denver full timeout
0:09.0,,,97-95,,D. Gallinari misses 3-pt shot from 23 ft
0:08.0,Defensive rebound by H. Whiteside,,97-95,,
0:08.0,,,97-95,,Loose ball foul by W. Barton (drawn by H. Whiteside)
0:08.0,J. Winslow enters the game for H. Whiteside,,97-95,,
0:07.0,,,97-95,,Personal take foul by D. Gallinari (drawn by C. Bosh)
0:07.0,C. Bosh misses free throw 1 of 2,,97-95,,
0:07.0,Offensive rebound by Team,,97-95,,
0:07.0,C. Bosh makes free throw 2 of 2,1,98-95,,
0:01.0,,,98-95,,J. Nelson misses 2-pt shot from 22 ft
0:00.0,,,98-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
