time,Minnesota,pts.away,score,pts.home,Detroit
4:32.0,N. Bjelica makes 3-pt shot from 23 ft (assist by T. Jones),3,82-104,,
4:09.0,,,82-106,2,R. Jackson makes 2-pt shot from 4 ft (assist by M. Morris)
4:09.0,,,82-106,,Shooting foul by T. Jones (drawn by R. Jackson)
4:09.0,,,82-107,1,R. Jackson makes free throw 1 of 1
3:48.0,S. Muhammad misses 2-pt shot from 7 ft,,82-107,,
3:48.0,,,82-107,,Defensive rebound by A. Drummond
3:41.0,,,82-109,2,R. Jackson makes 2-pt shot at rim
3:35.0,S. Muhammad makes 2-pt shot at rim (assist by T. Jones),2,84-109,,
3:23.0,,,84-109,,Turnover by A. Drummond (bad pass)
3:23.0,D. Rudez enters the game for G. Dieng,,84-109,,
3:23.0,,,84-109,,B. Jennings enters the game for A. Drummond
3:23.0,,,84-109,,D. Hilliard enters the game for K. Caldwell-Pope
3:23.0,,,84-109,,S. Johnson enters the game for R. Jackson
3:23.0,,,84-109,,J. Anthony enters the game for A. Tolliver
3:18.0,Turnover by T. Jones (bad pass; steal by D. Hilliard),,84-109,,
3:13.0,Personal foul by Z. LaVine (drawn by D. Hilliard),,84-109,,
3:13.0,,,84-110,1,D. Hilliard makes free throw 1 of 2
3:13.0,,,84-110,,R. Bullock enters the game for M. Morris
3:13.0,,,84-111,1,D. Hilliard makes free throw 2 of 2
3:05.0,D. Rudez misses 3-pt shot from 26 ft,,84-111,,
3:04.0,,,84-111,,Defensive rebound by S. Johnson
2:50.0,,,84-111,,S. Johnson misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by S. Muhammad,,84-111,,
2:41.0,Turnover by Z. LaVine (traveling),,84-111,,
2:26.0,,,84-111,,D. Hilliard misses 2-pt shot from 21 ft
2:26.0,Defensive rebound by S. Muhammad,,84-111,,
2:19.0,T. Jones makes 3-pt shot from 26 ft,3,87-111,,
1:58.0,,,87-111,,B. Jennings misses 3-pt shot from 31 ft
1:57.0,,,87-111,,Offensive rebound by Team
1:56.0,,,87-111,,Turnover by Team (shot clock)
1:36.0,D. Rudez makes 3-pt shot from 27 ft (assist by T. Jones),3,90-111,,
1:24.0,,,90-111,,S. Johnson misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by Team,,90-111,,
1:24.0,,,90-111,,Loose ball foul by J. Anthony (drawn by N. Bjelica)
1:08.0,D. Rudez misses 2-pt shot from 4 ft (block by J. Anthony),,90-111,,
1:07.0,,,90-111,,Defensive rebound by B. Jennings
0:59.0,,,90-111,,B. Jennings misses 3-pt shot from 27 ft
0:58.0,Defensive rebound by T. Jones,,90-111,,
0:47.0,S. Muhammad misses 3-pt shot from 23 ft,,90-111,,
0:47.0,,,90-111,,Defensive rebound by B. Jennings
0:43.0,,,90-113,2,B. Jennings makes 2-pt shot at rim (assist by S. Johnson)
0:43.0,,,90-113,,Shooting foul by Z. LaVine (drawn by B. Jennings)
0:43.0,,,90-113,,B. Jennings misses free throw 1 of 1
0:39.0,Defensive rebound by N. Bjelica,,90-113,,
0:32.0,T. Jones misses 2-pt shot at rim,,90-113,,
0:30.0,,,90-113,,Defensive rebound by B. Jennings
0:28.0,,,90-113,,Shooting foul by D. Rudez (drawn by D. Hilliard)
0:28.0,,,90-114,1,D. Hilliard makes free throw 1 of 2
0:28.0,,,90-115,1,D. Hilliard makes free throw 2 of 2
0:16.0,Turnover by D. Rudez (bad pass),,90-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
