time,Utah,pts.away,score,pts.home,Orlando
5:15.0,,,73-94,,E. Fournier misses 2-pt shot from 16 ft
5:13.0,Defensive rebound by C. Johnson,,73-94,,
5:08.0,E. Millsap misses 2-pt shot from 2 ft (block by A. Nicholson),,73-94,,
5:06.0,Offensive rebound by J. Withey,,73-94,,
5:06.0,J. Withey misses 2-pt shot from 1 ft,,73-94,,
5:03.0,Offensive rebound by E. Millsap,,73-94,,
5:00.0,R. Neto makes 3-pt shot from 25 ft (assist by E. Millsap),3,76-94,,
4:34.0,,,76-96,2,A. Gordon makes 2-pt shot from 14 ft
4:15.0,T. Lyles makes 2-pt shot at rim (assist by R. Neto),2,78-96,,
4:00.0,,,78-96,,A. Nicholson misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by C. Johnson,,78-96,,
3:54.0,Shooting foul by T. Harris (drawn by E. Millsap),,78-96,,
3:54.0,E. Millsap makes free throw 1 of 2,1,79-96,,
3:54.0,T. Pleiss enters the game for J. Withey,,79-96,,
3:54.0,,,79-96,,M. Hezonja enters the game for T. Harris
3:54.0,,,79-96,,S. Napier enters the game for E. Fournier
3:54.0,,,79-96,,D. Marble enters the game for E. Payton
3:54.0,E. Millsap misses free throw 2 of 2,,79-96,,
3:53.0,,,79-96,,Defensive rebound by A. Gordon
3:40.0,,,79-96,,M. Hezonja misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by C. Johnson,,79-96,,
3:34.0,T. Lyles makes 2-pt shot at rim (assist by C. Johnson),2,81-96,,
3:30.0,,,81-96,,Orlando full timeout
3:22.0,,,81-96,,S. Napier misses 2-pt shot from 22 ft
3:21.0,Defensive rebound by E. Millsap,,81-96,,
3:15.0,Shooting foul by A. Nicholson (drawn by C. Johnson),,81-96,,
3:15.0,C. Johnson misses free throw 1 of 2,,81-96,,
3:15.0,Offensive rebound by Team,,81-96,,
3:15.0,C. Johnson makes free throw 2 of 2,1,82-96,,
3:00.0,,,82-96,,A. Gordon misses 2-pt shot from 8 ft
2:58.0,Defensive rebound by T. Lyles,,82-96,,
2:52.0,Shooting foul by D. Marble (drawn by E. Millsap),,82-96,,
2:52.0,E. Millsap makes free throw 1 of 2,1,83-96,,
2:52.0,,,83-96,,E. Payton enters the game for S. Napier
2:52.0,,,83-96,,T. Harris enters the game for A. Nicholson
2:52.0,,,83-96,,N. Vucevic enters the game for D. Marble
2:52.0,,,83-96,,E. Fournier enters the game for M. Hezonja
2:52.0,J. Ingles enters the game for C. Johnson,,83-96,,
2:52.0,E. Millsap makes free throw 2 of 2,1,84-96,,
2:39.0,,,84-96,,Turnover by T. Harris (bad pass; steal by R. Neto)
2:28.0,E. Millsap makes 3-pt shot from 23 ft (assist by T. Lyles),3,87-96,,
2:14.0,Personal foul by E. Millsap (drawn by E. Fournier),,87-96,,
2:02.0,,,87-96,,E. Fournier misses 3-pt shot from 25 ft
2:01.0,,,87-96,,Offensive rebound by A. Gordon
2:00.0,,,87-96,,A. Gordon misses 2-pt shot at rim (block by T. Lyles)
1:57.0,Defensive rebound by E. Millsap,,87-96,,
1:52.0,Turnover by E. Millsap (bad pass; steal by T. Harris),,87-96,,
1:50.0,Personal foul by J. Ingles (drawn by E. Payton),,87-96,,
1:39.0,,,87-96,,Turnover by E. Payton (bad pass; steal by J. Ingles)
1:27.0,T. Pleiss misses 2-pt shot from 2 ft (block by A. Gordon),,87-96,,
1:25.0,,,87-96,,Defensive rebound by E. Payton
1:23.0,,,87-96,,Shooting foul by J. Ingles (drawn by E. Payton)
1:23.0,,,87-96,,E. Payton misses free throw 1 of 2
1:23.0,,,87-96,,Offensive rebound by Team
1:23.0,,,87-97,1,E. Payton makes free throw 2 of 2
1:10.0,J. Ingles makes 3-pt shot from 24 ft (assist by R. Neto),3,90-97,,
1:09.0,Personal take foul by R. Neto (drawn by E. Payton),,90-97,,
1:09.0,,,90-97,,E. Payton misses free throw 1 of 2
1:09.0,,,90-97,,Offensive rebound by Team
1:09.0,,,90-98,1,E. Payton makes free throw 2 of 2
1:08.0,Turnover by T. Lyles (bad pass; steal by E. Payton),,90-98,,
1:06.0,Personal take foul by T. Lyles (drawn by E. Payton),,90-98,,
1:06.0,,,90-99,1,E. Payton makes free throw 1 of 2
1:06.0,,,90-100,1,E. Payton makes free throw 2 of 2
0:55.0,T. Pleiss misses 2-pt shot from 1 ft,,90-100,,
0:53.0,,,90-100,,Defensive rebound by T. Harris
0:38.0,,,90-102,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
0:30.0,J. Ingles makes 3-pt shot from 23 ft (assist by R. Neto),3,93-102,,
0:06.0,,,93-102,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
