time,Orlando,pts.away,score,pts.home,Dallas
6:10.0,,,95-111,,Defensive rebound by J. Barea
5:53.0,,,95-111,,R. Felton misses 2-pt shot from 14 ft
5:51.0,Defensive rebound by E. Ilyasova,,95-111,,
5:47.0,V. Oladipo misses 2-pt shot from 17 ft,,95-111,,
5:46.0,Offensive rebound by D. Marble,,95-111,,
5:42.0,D. Marble misses 2-pt shot from 17 ft,,95-111,,
5:42.0,,,95-111,,Defensive rebound by Z. Pachulia
5:42.0,,,95-111,,Dallas full timeout
5:42.0,,,95-111,,W. Matthews enters the game for D. Nowitzki
5:42.0,,,95-111,,C. Parsons enters the game for R. Felton
5:42.0,C. Watson enters the game for V. Oladipo,,95-111,,
5:29.0,,,95-111,,W. Matthews misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by E. Payton,,95-111,,
5:06.0,Turnover by E. Payton (bad pass; steal by Z. Pachulia),,95-111,,
5:05.0,Personal foul by E. Payton (drawn by C. Parsons),,95-111,,
4:52.0,,,95-111,,Shooting foul by N. Vucevic (drawn by Z. Pachulia)
4:52.0,,,95-112,1,Z. Pachulia makes free throw 1 of 2
4:52.0,B. Jennings enters the game for E. Payton,,95-112,,
4:52.0,D. Dedmon enters the game for N. Vucevic,,95-112,,
4:52.0,,,95-113,1,Z. Pachulia makes free throw 2 of 2
4:35.0,D. Dedmon makes 2-pt shot from 19 ft,2,97-113,,
4:17.0,,,97-115,2,Z. Pachulia makes 2-pt shot at rim (assist by W. Matthews)
3:55.0,C. Watson misses 2-pt shot from 20 ft,,97-115,,
3:54.0,,,97-115,,Defensive rebound by D. Harris
3:36.0,,,97-118,3,D. Harris makes 3-pt shot from 23 ft (assist by J. Barea)
3:35.0,Orlando full timeout,,97-118,,
3:35.0,,,97-118,,J. Anderson enters the game for C. Parsons
3:35.0,,,97-118,,D. Powell enters the game for Z. Pachulia
3:35.0,,,97-118,,S. Mejri enters the game for D. Harris
3:20.0,B. Jennings makes 3-pt shot from 24 ft (assist by C. Watson),3,100-118,,
3:01.0,,,100-118,,D. Powell misses 2-pt shot from 18 ft
3:00.0,,,100-118,,Offensive rebound by S. Mejri
2:57.0,,,100-120,2,S. Mejri makes 2-pt shot at rim (assist by J. Barea)
2:46.0,B. Jennings misses 3-pt shot from 22 ft,,100-120,,
2:46.0,Offensive rebound by E. Ilyasova,,100-120,,
2:46.0,,,100-120,,Violation by S. Mejri (def goaltending)
2:46.0,E. Ilyasova makes 2-pt shot from 7 ft,2,102-120,,
2:26.0,,,102-120,,J. Barea misses 2-pt shot from 20 ft
2:25.0,,,102-120,,Offensive rebound by D. Powell
2:16.0,,,102-120,,J. Anderson misses 2-pt shot from 19 ft (block by D. Dedmon)
2:15.0,,,102-120,,Offensive rebound by D. Powell
2:06.0,,,102-120,,Shooting foul by D. Dedmon (drawn by S. Mejri)
2:06.0,,,102-121,1,S. Mejri makes free throw 1 of 2
2:06.0,,,102-121,,C. Villanueva enters the game for W. Matthews
2:06.0,,,102-121,,S. Mejri misses free throw 2 of 2
2:05.0,Defensive rebound by D. Marble,,102-121,,
1:54.0,Turnover by B. Jennings (bad pass; steal by D. Powell),,102-121,,
1:34.0,,,102-121,,Offensive charge foul by D. Powell
1:34.0,,,102-121,,Turnover by D. Powell (offensive foul)
1:18.0,D. Dedmon makes 2-pt shot from 2 ft (assist by C. Watson),2,104-121,,
1:03.0,,,104-121,,C. Villanueva misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by D. Dedmon,,104-121,,
0:54.0,D. Dedmon makes 2-pt shot at rim (assist by B. Jennings),2,106-121,,
0:36.0,,,106-121,,D. Powell misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by E. Ilyasova,,106-121,,
0:26.0,Turnover by B. Jennings (bad pass; steal by D. Powell),,106-121,,
0:17.0,,,106-121,,C. Villanueva misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by E. Ilyasova,,106-121,,
0:09.0,,,106-121,,Shooting block foul by S. Mejri (drawn by D. Marble)
0:09.0,D. Marble makes free throw 1 of 2,1,107-121,,
0:09.0,D. Marble makes free throw 2 of 2,1,108-121,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
