time,Portland,pts.away,score,pts.home,Phoenix
1:31.0,M. Plumlee misses 2-pt shot from 16 ft,,104-94,,
1:30.0,,,104-94,,Defensive rebound by D. Booker
1:27.0,,,104-94,,Turnover by B. Knight (bad pass; steal by C. McCollum)
1:03.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,106-94,,
0:52.0,,,106-96,2,E. Bledsoe makes 2-pt shot from 1 ft
0:29.0,C. McCollum misses 3-pt shot from 25 ft,,106-96,,
0:28.0,Offensive rebound by A. Aminu,,106-96,,
0:12.0,Turnover by A. Aminu (bad pass; steal by E. Bledsoe),,106-96,,
0:11.0,,,106-96,,Turnover by R. Price (bad pass; steal by A. Aminu)
0:00.0,End of 4th quarter,,,,End of 4th quarter
