time,Cleveland,pts.away,score,pts.home,Orlando
1:46.0,Offensive rebound by Team,,110-73,,
1:46.0,J. Jones makes free throw 2 of 2,1,111-73,,
1:34.0,,,111-73,,Turnover by S. Napier (bad pass; steal by A. Varejao)
1:18.0,Turnover by M. Williams (traveling),,111-73,,
1:05.0,,,111-73,,J. Smith misses 3-pt shot from 26 ft
1:04.0,Defensive rebound by M. Williams,,111-73,,
0:54.0,Turnover by S. Kaun (traveling),,111-73,,
0:36.0,,,111-76,3,A. Gordon makes 3-pt shot from 26 ft (assist by S. Napier)
0:22.0,J. Cunningham misses 2-pt shot from 1 ft (block by J. Smith),,111-76,,
0:20.0,,,111-76,,Defensive rebound by J. Smith
0:16.0,,,111-76,,Turnover by S. Napier (bad pass; steal by S. Kaun)
0:00.0,End of 4th quarter,,,,End of 4th quarter
