time,Washington,pts.away,score,pts.home,LA Clippers
6:03.0,,,87-96,2,B. Griffin makes 2-pt shot from 5 ft (assist by C. Paul)
5:53.0,Shooting foul by B. Griffin (drawn by M. Morris),,87-96,,
5:53.0,Official timeout,,87-96,,
5:53.0,M. Morris makes free throw 1 of 2,1,88-96,,
5:53.0,M. Morris misses free throw 2 of 2,,88-96,,
5:50.0,,,88-96,,Defensive rebound by D. Jordan
5:35.0,Personal foul by N. Hilario,,88-96,,
5:35.0,,,88-96,,J. Redick enters the game for A. Rivers
5:24.0,,,88-96,,C. Paul misses 2-pt shot from 17 ft
5:23.0,Defensive rebound by N. Hilario,,88-96,,
5:07.0,R. Sessions makes 2-pt shot from 19 ft (assist by J. Wall),2,90-96,,
4:48.0,,,90-99,3,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin)
4:32.0,B. Beal misses 3-pt shot from 24 ft,,90-99,,
4:32.0,,,90-99,,Defensive rebound by D. Jordan
4:14.0,Personal foul by B. Beal,,90-99,,
4:14.0,,,90-100,1,C. Paul makes free throw 1 of 2
4:14.0,M. Gortat enters the game for N. Hilario,,90-100,,
4:14.0,O. Porter enters the game for R. Sessions,,90-100,,
4:14.0,,,90-100,,L. Mbah a Moute enters the game for B. Griffin
4:14.0,,,90-101,1,C. Paul makes free throw 2 of 2
4:06.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,92-101,,
3:47.0,,,92-104,3,J. Crawford makes 3-pt shot from 25 ft
3:32.0,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall),2,94-104,,
3:11.0,,,94-104,,Turnover by C. Paul (lost ball; steal by O. Porter)
3:08.0,,,94-104,,Personal take foul by J. Crawford
3:08.0,Washington full timeout,,94-104,,
3:02.0,Turnover by O. Porter (step out of bounds),,94-104,,
3:01.0,Personal take foul by O. Porter,,94-104,,
3:01.0,,,94-104,,D. Jordan misses free throw 1 of 2
3:01.0,,,94-104,,Offensive rebound by Team
3:01.0,,,94-104,,D. Jordan misses free throw 2 of 2
3:00.0,Defensive rebound by O. Porter,,94-104,,
2:50.0,J. Wall makes 3-pt shot from 24 ft,3,97-104,,
2:45.0,Personal take foul by O. Porter,,97-104,,
2:45.0,,,97-104,,D. Jordan misses free throw 1 of 2
2:45.0,,,97-104,,Offensive rebound by Team
2:45.0,,,97-104,,D. Jordan misses free throw 2 of 2
2:44.0,Defensive rebound by M. Morris,,97-104,,
2:31.0,Shooting foul by D. Jordan (drawn by M. Morris),,97-104,,
2:31.0,M. Morris misses free throw 1 of 2,,97-104,,
2:31.0,Offensive rebound by Team,,97-104,,
2:31.0,,,97-104,,B. Griffin enters the game for D. Jordan
2:31.0,,,97-104,,W. Johnson enters the game for L. Mbah a Moute
2:31.0,M. Morris makes free throw 2 of 2,1,98-104,,
2:20.0,,,98-104,,J. Crawford misses 3-pt shot from 24 ft
2:20.0,,,98-104,,Offensive rebound by W. Johnson
2:01.0,,,98-106,2,C. Paul makes 2-pt shot from 13 ft
1:55.0,J. Wall makes 3-pt shot from 24 ft,3,101-106,,
1:29.0,,,101-106,,Shooting foul by M. Morris (drawn by C. Paul)
1:29.0,,,101-107,1,C. Paul makes free throw 1 of 2
1:29.0,,,101-107,,D. Jordan enters the game for B. Griffin
1:29.0,,,101-107,,L. Mbah a Moute enters the game for W. Johnson
1:29.0,,,101-107,,A. Rivers enters the game for J. Crawford
1:29.0,,,101-108,1,C. Paul makes free throw 2 of 2
1:15.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,104-108,,
1:08.0,,,104-108,,LA Clippers full timeout
1:08.0,,,104-108,,J. Crawford enters the game for L. Mbah a Moute
1:08.0,,,104-108,,B. Griffin enters the game for A. Rivers
0:58.0,,,104-110,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
0:58.0,Washington full timeout,,104-110,,
0:58.0,,,104-110,,L. Mbah a Moute enters the game for J. Redick
0:58.0,,,104-110,,A. Rivers enters the game for J. Crawford
0:52.0,O. Porter misses 3-pt shot from 24 ft,,104-110,,
0:51.0,Offensive rebound by B. Beal,,104-110,,
0:47.0,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal),3,107-110,,
0:47.0,,,107-110,,LA Clippers full timeout
0:47.0,,,107-110,,J. Redick enters the game for L. Mbah a Moute
0:47.0,,,107-110,,J. Crawford enters the game for A. Rivers
0:23.0,,,107-113,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Crawford)
0:23.0,Washington full timeout,,107-113,,
0:23.0,,,107-113,,L. Mbah a Moute enters the game for J. Redick
0:23.0,,,107-113,,A. Rivers enters the game for J. Crawford
0:16.0,Turnover by J. Wall (lost ball; steal by D. Jordan),,107-113,,
0:14.0,Personal take foul by M. Gortat,,107-113,,
0:14.0,,,107-113,,C. Paul misses free throw 1 of 2
0:14.0,,,107-113,,Offensive rebound by Team
0:14.0,,,107-114,1,C. Paul makes free throw 2 of 2
0:14.0,Washington full timeout,,107-114,,
0:14.0,,,107-114,,J. Redick enters the game for B. Griffin
0:07.0,B. Beal misses 3-pt shot from 25 ft (block by D. Jordan),,107-114,,
0:01.0,Offensive rebound by B. Beal,,107-114,,
0:01.0,B. Beal misses 3-pt shot from 24 ft,,107-114,,
0:01.0,Offensive rebound by M. Gortat,,107-114,,
0:01.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,109-114,,
0:01.0,,,109-114,,LA Clippers full timeout
0:01.0,,,109-114,,W. Johnson enters the game for L. Mbah a Moute
0:01.0,,,109-114,,J. Crawford enters the game for A. Rivers
0:00.0,End of 4th quarter,,,,End of 4th quarter
