time,Houston,pts.away,score,pts.home,Atlanta
4:11.0,J. Harden misses 2-pt shot at rim,,93-95,,
4:10.0,,,93-95,,Defensive rebound by A. Horford
4:10.0,,,93-95,,T. Sefolosha enters the game for T. Hardaway
3:51.0,,,93-97,2,P. Millsap makes 2-pt shot at rim
3:33.0,M. Beasley misses 2-pt shot from 15 ft,,93-97,,
3:31.0,Offensive rebound by M. Beasley,,93-97,,
3:30.0,M. Beasley makes 2-pt shot at rim,2,95-97,,
3:12.0,,,95-100,3,A. Horford makes 3-pt shot from 22 ft (assist by P. Millsap)
2:43.0,J. Harden misses 3-pt shot from 25 ft,,95-100,,
2:41.0,,,95-100,,Defensive rebound by J. Teague
2:33.0,,,95-100,,T. Sefolosha misses 2-pt shot at rim (block by J. Harden)
2:33.0,Defensive rebound by Team,,95-100,,
2:33.0,Houston full timeout,,95-100,,
2:23.0,Turnover by M. Beasley (lost ball),,95-100,,
2:02.0,,,95-103,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by P. Millsap)
1:49.0,Turnover by J. Harden (lost ball; steal by T. Sefolosha),,95-103,,
1:44.0,,,95-105,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
1:35.0,Turnover by J. Harden (lost ball; steal by T. Sefolosha),,95-105,,
1:33.0,,,95-105,,Shooting foul by J. Harden (drawn by T. Sefolosha)
1:33.0,,,95-105,,T. Sefolosha misses free throw 1 of 2
1:33.0,,,95-105,,Offensive rebound by Team
1:33.0,K. McDaniels enters the game for T. Ariza,,95-105,,
1:33.0,M. Harrell enters the game for D. Howard,,95-105,,
1:33.0,C. Capela enters the game for J. Harden,,95-105,,
1:33.0,C. Brewer enters the game for M. Beasley,,95-105,,
1:33.0,,,95-105,,M. Scott enters the game for A. Horford
1:33.0,,,95-106,1,T. Sefolosha makes free throw 2 of 2
1:21.0,P. Beverley misses 3-pt shot from 24 ft,,95-106,,
1:20.0,,,95-106,,Defensive rebound by Team
1:20.0,,,95-106,,K. Humphries enters the game for P. Millsap
1:20.0,,,95-106,,K. Hinrich enters the game for J. Teague
1:20.0,,,95-106,,T. Hardaway enters the game for K. Korver
1:20.0,,,95-106,,M. Muscala enters the game for T. Sefolosha
0:58.0,,,95-106,,K. Hinrich misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by K. McDaniels,,95-106,,
0:48.0,K. McDaniels misses 2-pt shot from 3 ft,,95-106,,
0:46.0,Offensive rebound by K. McDaniels,,95-106,,
0:37.0,M. Harrell makes 2-pt shot from 7 ft,2,97-106,,
0:17.0,,,97-109,3,M. Scott makes 3-pt shot from 24 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
