time,LA Clippers,pts.away,score,pts.home,Miami
8:18.0,,,81-74,1,B. Udrih makes free throw 2 of 2
7:58.0,J. Crawford misses 2-pt shot from 15 ft,,81-74,,
7:57.0,,,81-74,,Defensive rebound by L. Deng
7:44.0,,,81-76,2,C. Bosh makes 2-pt shot from 16 ft
7:19.0,P. Prigioni misses 3-pt shot from 27 ft,,81-76,,
7:18.0,,,81-76,,Defensive rebound by L. Deng
7:07.0,,,81-76,,G. Green misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by P. Pierce,,81-76,,
6:47.0,J. Crawford misses 3-pt shot from 25 ft,,81-76,,
6:46.0,,,81-76,,Defensive rebound by J. Winslow
6:37.0,,,81-78,2,B. Udrih makes 2-pt shot from 15 ft
6:36.0,LA Clippers full timeout,,81-78,,
6:36.0,,,81-78,,G. Dragic enters the game for B. Udrih
6:36.0,C. Paul enters the game for P. Pierce,,81-78,,
6:36.0,L. Mbah a Moute enters the game for P. Prigioni,,81-78,,
6:36.0,J. Redick enters the game for L. Stephenson,,81-78,,
6:22.0,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul),3,84-78,,
6:02.0,,,84-78,,G. Green misses 2-pt shot at rim
6:00.0,Defensive rebound by D. Jordan,,84-78,,
5:35.0,J. Crawford misses 3-pt shot from 36 ft,,84-78,,
5:34.0,,,84-78,,Defensive rebound by G. Green
5:31.0,,,84-78,,Miami full timeout
5:31.0,,,84-78,,D. Wade enters the game for J. Winslow
5:15.0,,,84-80,2,D. Wade makes 2-pt shot from 6 ft
4:57.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,86-80,,
4:34.0,,,86-83,3,C. Bosh makes 3-pt shot from 24 ft (assist by D. Wade)
4:10.0,Shooting foul by D. Wade (drawn by J. Crawford),,86-83,,
4:10.0,J. Crawford misses free throw 1 of 2,,86-83,,
4:10.0,Offensive rebound by Team,,86-83,,
4:10.0,J. Crawford makes free throw 2 of 2,1,87-83,,
3:51.0,,,87-83,,D. Wade misses 2-pt shot from 12 ft
3:49.0,Defensive rebound by D. Jordan,,87-83,,
3:29.0,C. Paul makes 3-pt shot from 25 ft,3,90-83,,
3:16.0,,,90-85,2,G. Dragic makes 2-pt shot from 19 ft
2:54.0,C. Paul makes 3-pt shot from 24 ft,3,93-85,,
2:27.0,,,93-88,3,G. Dragic makes 3-pt shot from 23 ft (assist by C. Bosh)
2:11.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,95-88,,
2:11.0,,,95-88,,Miami full timeout
2:11.0,Official timeout,,95-88,,
1:57.0,,,95-88,,Turnover by D. Wade (lost ball; steal by L. Mbah a Moute)
1:49.0,J. Crawford makes 3-pt shot from 23 ft (assist by D. Jordan),3,98-88,,
1:40.0,,,98-88,,C. Bosh misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by J. Crawford,,98-88,,
1:23.0,C. Paul misses 3-pt shot from 26 ft,,98-88,,
1:22.0,,,98-88,,Defensive rebound by L. Deng
1:16.0,,,98-88,,G. Dragic misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by L. Mbah a Moute,,98-88,,
0:54.0,C. Paul makes 2-pt shot from 4 ft,2,100-88,,
0:43.0,,,100-91,3,G. Dragic makes 3-pt shot from 25 ft
0:22.0,C. Paul misses 2-pt shot from 19 ft,,100-91,,
0:21.0,,,100-91,,Defensive rebound by G. Dragic
0:16.0,,,100-93,2,D. Wade makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
