time,Boston,pts.away,score,pts.home,LA Lakers
4:36.0,,,95-85,,Shooting foul by M. Smart (drawn by J. Randle)
4:36.0,I. Thomas enters the game for M. Smart,,95-85,,
4:36.0,,,95-86,1,J. Randle makes free throw 1 of 1
4:20.0,Turnover by E. Turner (lost ball),,95-86,,
4:10.0,,,95-86,,J. Clarkson misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by J. Jerebko,,95-86,,
3:53.0,E. Turner makes 2-pt shot from 15 ft (assist by T. Zeller),2,97-86,,
3:40.0,,,97-86,,J. Clarkson misses 2-pt shot from 4 ft (block by J. Jerebko)
3:38.0,Defensive rebound by T. Rozier,,97-86,,
3:29.0,I. Thomas misses 3-pt shot from 24 ft,,97-86,,
3:27.0,,,97-86,,Defensive rebound by J. Randle
3:21.0,,,97-89,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
3:00.0,T. Zeller makes 2-pt shot from 5 ft (assist by E. Turner),2,99-89,,
2:49.0,Personal foul by T. Zeller,,99-89,,
2:49.0,Boston full timeout,,99-89,,
2:49.0,J. Crowder enters the game for T. Rozier,,99-89,,
2:49.0,,,99-90,1,R. Hibbert makes free throw 1 of 2
2:49.0,,,99-91,1,R. Hibbert makes free throw 2 of 2
2:38.0,Offensive foul by J. Crowder,,99-91,,
2:38.0,Turnover by J. Crowder (offensive foul),,99-91,,
2:38.0,A. Johnson enters the game for T. Zeller,,99-91,,
2:38.0,M. Smart enters the game for J. Jerebko,,99-91,,
2:26.0,,,99-93,2,K. Bryant makes 2-pt shot from 20 ft (assist by R. Hibbert)
2:11.0,I. Thomas makes 2-pt shot at rim,2,101-93,,
2:00.0,,,101-93,,D. Russell misses 2-pt shot from 7 ft
1:57.0,Defensive rebound by A. Johnson,,101-93,,
1:45.0,I. Thomas misses 2-pt shot from 6 ft (block by R. Hibbert),,101-93,,
1:45.0,Offensive rebound by Team,,101-93,,
1:37.0,M. Smart makes 3-pt shot from 24 ft (assist by E. Turner),3,104-93,,
1:28.0,,,104-93,,Shooting foul by A. Johnson (drawn by J. Clarkson)
1:28.0,,,104-94,1,J. Clarkson makes free throw 1 of 2
1:28.0,,,104-95,1,J. Clarkson makes free throw 2 of 2
1:14.0,J. Crowder misses 3-pt shot from 24 ft,,104-95,,
1:13.0,,,104-95,,Defensive rebound by R. Hibbert
0:56.0,,,104-97,2,K. Bryant makes 2-pt shot from 6 ft
0:36.0,A. Johnson misses 2-pt shot from 6 ft,,104-97,,
0:33.0,,,104-97,,Defensive rebound by J. Randle
0:28.0,,,104-97,,Shooting foul by A. Johnson (drawn by J. Randle)
0:28.0,,,104-99,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
0:28.0,,,104-100,1,J. Randle makes free throw 1 of 1
0:28.0,Boston full timeout,,104-100,,
0:28.0,,,104-100,,L. Nance enters the game for R. Hibbert
0:28.0,T. Zeller enters the game for A. Johnson,,104-100,,
0:26.0,Shooting foul by J. Clarkson (drawn by E. Turner),,104-100,,
0:26.0,E. Turner makes free throw 1 of 2,1,105-100,,
0:26.0,A. Johnson enters the game for T. Zeller,,105-100,,
0:26.0,E. Turner misses free throw 2 of 2,,105-100,,
0:26.0,,,105-100,,Defensive rebound by J. Randle
0:20.0,,,105-100,,K. Bryant misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by J. Crowder,,105-100,,
0:16.0,,,105-100,,Personal take foul by K. Bryant
0:16.0,J. Jerebko enters the game for E. Turner,,105-100,,
0:16.0,J. Crowder makes free throw 1 of 2,1,106-100,,
0:16.0,J. Crowder makes free throw 2 of 2,1,107-100,,
0:16.0,,,107-100,,LA Lakers full timeout
0:11.0,,,107-100,,K. Bryant misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by J. Jerebko,,107-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
