time,Orlando,pts.away,score,pts.home,New Orleans
4:38.0,,,91-85,,J. Holiday misses 2-pt shot from 13 ft
4:38.0,Defensive rebound by Team,,91-85,,
4:38.0,Official timeout,,91-85,,
4:38.0,,,91-85,,R. Anderson enters the game for D. Cunningham
4:17.0,E. Payton makes 2-pt shot at rim (assist by E. Fournier),2,93-85,,
3:58.0,Shooting block foul by E. Fournier (drawn by J. Holiday),,93-85,,
3:58.0,,,93-85,,J. Holiday misses free throw 1 of 2
3:58.0,,,93-85,,Offensive rebound by Team
3:58.0,,,93-86,1,J. Holiday makes free throw 2 of 2
3:37.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Fournier),2,95-86,,
3:27.0,,,95-86,,Turnover by J. Holiday (lost ball; steal by E. Fournier)
3:23.0,Turnover by V. Oladipo (bad pass; steal by R. Anderson),,95-86,,
3:17.0,Personal foul by E. Payton (drawn by J. Holiday),,95-86,,
3:17.0,,,95-87,1,J. Holiday makes free throw 1 of 2
3:17.0,,,95-87,,J. Holiday misses free throw 2 of 2
3:15.0,Defensive rebound by N. Vucevic,,95-87,,
3:03.0,N. Vucevic misses 2-pt shot from 17 ft,,95-87,,
3:02.0,,,95-87,,Defensive rebound by R. Anderson
2:46.0,,,95-90,3,L. Babbitt makes 3-pt shot from 25 ft
2:30.0,E. Fournier misses 2-pt shot from 18 ft,,95-90,,
2:30.0,Offensive rebound by E. Payton,,95-90,,
2:24.0,E. Payton misses 2-pt shot from 2 ft (block by A. Davis),,95-90,,
2:23.0,,,95-90,,Defensive rebound by A. Davis
2:08.0,,,95-90,,L. Babbitt misses 3-pt shot from 22 ft
2:08.0,Defensive rebound by N. Vucevic,,95-90,,
1:48.0,N. Vucevic makes 2-pt shot from 5 ft,2,97-90,,
1:35.0,,,97-90,,J. Holiday misses 2-pt shot from 4 ft
1:33.0,Defensive rebound by T. Harris,,97-90,,
1:22.0,,,97-90,,Violation by R. Anderson (kicked ball)
1:22.0,,,97-90,,New Orleans full timeout
1:13.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,100-90,,
0:59.0,,,100-92,2,A. Davis makes 2-pt shot at rim (assist by E. Gordon)
0:40.0,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic),3,103-92,,
0:40.0,,,103-92,,New Orleans full timeout
0:34.0,,,103-92,,E. Gordon misses 2-pt shot from 2 ft
0:34.0,,,103-92,,Offensive rebound by E. Gordon
0:34.0,,,103-92,,E. Gordon misses 2-pt shot from 2 ft
0:34.0,,,103-92,,Offensive rebound by Team
0:34.0,Loose ball foul by T. Harris (drawn by R. Anderson),,103-92,,
0:34.0,,,103-93,1,R. Anderson makes free throw 1 of 2
0:34.0,,,103-94,1,R. Anderson makes free throw 2 of 2
0:28.0,,,103-94,,Personal foul by A. Davis (drawn by N. Vucevic)
0:11.0,N. Vucevic misses 2-pt shot from 16 ft,,103-94,,
0:10.0,,,103-94,,Defensive rebound by L. Babbitt
0:04.0,,,103-94,,J. Holiday misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by N. Vucevic,,103-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
