time,Brooklyn,pts.away,score,pts.home,Philadelphia
1:31.0,,,96-94,,Offensive rebound by J. Okafor
1:16.0,,,96-97,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
1:16.0,Brooklyn full timeout,,96-97,,
1:01.0,J. Johnson misses 2-pt shot from 5 ft,,96-97,,
1:00.0,,,96-97,,Defensive rebound by J. Okafor
0:39.0,,,96-97,,T. McConnell misses 2-pt shot from 13 ft
0:37.0,Defensive rebound by T. Young,,96-97,,
0:28.0,Turnover by T. Young (bad pass; steal by T. McConnell),,96-97,,
0:22.0,,,96-99,2,N. Noel makes 2-pt shot at rim (assist by R. Covington)
0:21.0,Brooklyn full timeout,,96-99,,
0:21.0,,,96-99,,J. Grant enters the game for J. Okafor
0:19.0,J. Johnson misses 3-pt shot from 24 ft,,96-99,,
0:17.0,,,96-99,,Defensive rebound by R. Covington
0:14.0,Jump ball: R. Covington vs. B. Lopez (N. Noel gains possession),,,,Jump ball: R. Covington vs. B. Lopez (N. Noel gains possession)
0:10.0,Personal foul by W. Ellington (drawn by R. Covington),,96-99,,
0:10.0,,,96-99,,R. Covington misses free throw 1 of 2
0:10.0,,,96-99,,Offensive rebound by Team
0:10.0,,,96-100,1,R. Covington makes free throw 2 of 2
0:10.0,Brooklyn full timeout,,96-100,,
0:10.0,,,96-100,,I. Canaan enters the game for N. Noel
0:08.0,,,96-100,,Personal foul by I. Canaan (drawn by W. Ellington)
0:08.0,W. Ellington makes free throw 1 of 2,1,97-100,,
0:08.0,,,97-100,,N. Noel enters the game for I. Canaan
0:08.0,,,97-100,,J. Okafor enters the game for H. Thompson
0:08.0,S. Larkin enters the game for J. Johnson,,97-100,,
0:08.0,W. Ellington makes free throw 2 of 2,1,98-100,,
0:08.0,,,98-100,,Philadelphia full timeout
0:08.0,,,98-100,,I. Canaan enters the game for N. Noel
0:08.0,,,98-100,,N. Stauskas enters the game for J. Grant
0:08.0,M. Brown enters the game for B. Lopez,,98-100,,
0:08.0,Personal foul by D. Sloan (drawn by N. Stauskas),,98-100,,
0:08.0,,,98-100,,N. Stauskas misses free throw 1 of 2
0:08.0,,,98-100,,Offensive rebound by Team
0:08.0,,,98-100,,J. Grant enters the game for J. Okafor
0:08.0,J. Johnson enters the game for M. Brown,,98-100,,
0:08.0,B. Lopez enters the game for D. Sloan,,98-100,,
0:08.0,,,98-101,1,N. Stauskas makes free throw 2 of 2
0:06.0,Turnover by S. Larkin (lost ball; steal by T. McConnell),,98-101,,
0:05.0,Personal foul by S. Larkin (drawn by R. Covington),,98-101,,
0:05.0,,,98-102,1,R. Covington makes free throw 1 of 2
0:05.0,,,98-103,1,R. Covington makes free throw 2 of 2
0:01.0,S. Larkin misses 3-pt shot from 28 ft,,98-103,,
0:00.0,Offensive rebound by Team,,98-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
