time,Portland,pts.away,score,pts.home,Indiana
4:17.0,A. Crabbe enters the game for E. Davis,,109-92,,
4:05.0,,,109-94,2,G. Robinson makes 2-pt shot from 18 ft
4:00.0,Turnover by N. Vonleh (bad pass),,109-94,,
3:59.0,,,109-96,2,G. Robinson makes 2-pt shot from 2 ft (assist by C. Budinger)
3:59.0,,,109-96,,Shooting foul by N. Vonleh (drawn by G. Robinson)
3:59.0,,,109-96,,G. Robinson misses free throw 1 of 1
3:59.0,Defensive rebound by A. Crabbe,,109-96,,
3:36.0,D. Lillard misses 2-pt shot from 5 ft (block by L. Allen),,109-96,,
3:35.0,,,109-96,,Defensive rebound by J. Young
3:30.0,,,109-96,,J. Young misses 2-pt shot at rim
3:29.0,,,109-96,,Offensive rebound by L. Allen
3:29.0,C. McCollum enters the game for G. Henderson,,109-96,,
3:29.0,Jump ball: L. Allen vs. N. Vonleh (C. Budinger gains possession),,,,Jump ball: L. Allen vs. N. Vonleh (C. Budinger gains possession)
3:20.0,,,109-96,,J. Young misses 2-pt shot from 12 ft
3:19.0,Defensive rebound by A. Aminu,,109-96,,
3:03.0,N. Vonleh misses 2-pt shot from 19 ft,,109-96,,
3:00.0,,,109-96,,Defensive rebound by G. Robinson
2:59.0,Personal foul by A. Aminu (drawn by G. Robinson),,109-96,,
2:59.0,Official timeout,,109-96,,
2:59.0,E. Davis enters the game for N. Vonleh,,109-96,,
2:43.0,,,109-98,2,R. Stuckey makes 2-pt shot from 19 ft (assist by L. Allen)
2:24.0,C. McCollum misses 2-pt shot from 12 ft,,109-98,,
2:23.0,,,109-98,,Defensive rebound by C. Budinger
2:17.0,,,109-98,,Turnover by J. Young (lost ball)
2:06.0,,,109-98,,S. Hill enters the game for R. Stuckey
2:00.0,D. Lillard misses 3-pt shot from 28 ft,,109-98,,
1:59.0,,,109-98,,Defensive rebound by G. Robinson
1:40.0,,,109-98,,G. Robinson misses 2-pt shot from 18 ft
1:39.0,Defensive rebound by D. Lillard,,109-98,,
1:22.0,,,109-98,,Personal foul by L. Allen (drawn by D. Lillard)
1:10.0,C. McCollum misses 2-pt shot from 12 ft,,109-98,,
1:10.0,,,109-98,,Defensive rebound by L. Allen
1:02.0,,,109-100,2,J. Young makes 2-pt shot from 21 ft
0:41.0,D. Lillard makes 2-pt shot at rim,2,111-100,,
0:34.0,,,111-102,2,L. Allen makes 2-pt shot from 12 ft (assist by J. Young)
0:09.0,C. McCollum misses 2-pt shot from 18 ft,,111-102,,
0:07.0,Offensive rebound by A. Aminu,,111-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
