time,Sacramento,pts.away,score,pts.home,Boston
5:26.0,R. Rondo misses 2-pt shot from 1 ft,,97-110,,
5:25.0,,,97-110,,Defensive rebound by J. Crowder
5:23.0,,,97-110,,Turnover by J. Crowder (lost ball)
5:16.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by E. Turner),,97-110,,
5:15.0,,,97-110,,Defensive rebound by E. Turner
4:53.0,,,97-110,,E. Turner misses 2-pt shot from 7 ft
4:52.0,Defensive rebound by M. Belinelli,,97-110,,
4:31.0,D. Cousins makes 2-pt shot from 9 ft,2,99-110,,
4:14.0,,,99-112,2,T. Zeller makes 2-pt shot from 1 ft (assist by A. Bradley)
4:14.0,,,99-112,,Shooting foul by D. Cousins (drawn by T. Zeller)
4:14.0,O. Casspi enters the game for W. Cauley-Stein,,99-112,,
4:14.0,,,99-113,1,T. Zeller makes free throw 1 of 1
4:00.0,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins),3,102-113,,
3:38.0,,,102-113,,E. Turner misses 2-pt shot from 13 ft
3:37.0,Defensive rebound by D. Collison,,102-113,,
3:26.0,M. Belinelli makes 2-pt shot from 17 ft (assist by R. Rondo),2,104-113,,
3:04.0,Personal foul by R. Rondo (drawn by T. Zeller),,104-113,,
3:04.0,,,104-114,1,T. Zeller makes free throw 1 of 2
3:04.0,,,104-114,,M. Smart enters the game for E. Turner
3:04.0,,,104-115,1,T. Zeller makes free throw 2 of 2
2:56.0,D. Cousins misses 3-pt shot from 24 ft,,104-115,,
2:54.0,,,104-115,,Defensive rebound by J. Crowder
2:53.0,,,104-115,,Turnover by J. Crowder (traveling)
2:53.0,Sacramento full timeout,,104-115,,
2:53.0,,,104-115,,J. Sullinger enters the game for T. Zeller
2:38.0,O. Casspi misses 3-pt shot from 25 ft,,104-115,,
2:37.0,Offensive rebound by R. Rondo,,104-115,,
2:32.0,D. Cousins makes 3-pt shot from 24 ft (assist by M. Belinelli),3,107-115,,
2:14.0,,,107-115,,J. Crowder misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by D. Cousins,,107-115,,
2:02.0,R. Rondo makes 2-pt shot from 18 ft (assist by D. Collison),2,109-115,,
1:50.0,,,109-117,2,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart)
1:40.0,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo),3,112-117,,
1:22.0,,,112-120,3,I. Thomas makes 3-pt shot from 25 ft
1:13.0,D. Cousins misses 3-pt shot from 25 ft,,112-120,,
1:12.0,,,112-120,,Defensive rebound by M. Smart
1:08.0,,,112-122,2,I. Thomas makes 2-pt shot from 2 ft
0:50.0,O. Casspi makes 3-pt shot from 23 ft (assist by M. Belinelli),3,115-122,,
0:39.0,,,115-124,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
0:28.0,D. Cousins makes 2-pt shot from 1 ft,2,117-124,,
0:27.0,Personal take foul by M. Belinelli (drawn by I. Thomas),,117-124,,
0:27.0,,,117-125,1,I. Thomas makes free throw 1 of 2
0:27.0,,,117-126,1,I. Thomas makes free throw 2 of 2
0:27.0,Sacramento full timeout,,117-126,,
0:27.0,,,117-126,,E. Turner enters the game for J. Sullinger
0:24.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,119-126,,
0:14.0,,,119-126,,Shooting foul by O. Casspi (drawn by E. Turner)
0:14.0,,,119-127,1,E. Turner makes free throw 1 of 2
0:14.0,,,119-128,1,E. Turner makes free throw 2 of 2
0:07.0,O. Casspi misses 3-pt shot from 24 ft,,119-128,,
0:06.0,,,119-128,,Defensive rebound by M. Smart
0:00.0,End of 4th quarter,,,,End of 4th quarter
