time,Detroit,pts.away,score,pts.home,Oklahoma City
10:51.0,,,73-78,,D. Waiters misses 2-pt shot from 3 ft (block by A. Tolliver)
10:51.0,,,73-78,,Offensive rebound by Team
10:44.0,,,73-78,,Shooting foul by S. Blake (drawn by D. Augustin)
10:44.0,,,73-80,2,D. Augustin makes 2-pt shot from 2 ft
10:44.0,,,73-81,1,D. Augustin makes free throw 1 of 1
10:35.0,,,73-81,,Personal foul by A. Roberson (drawn by M. Morris)
10:35.0,,,73-81,,Technical foul by D. Waiters
10:35.0,Technical foul by S. Johnson,,73-81,,
10:22.0,Shooting foul by A. Roberson (drawn by M. Morris),,73-81,,
10:22.0,M. Morris makes free throw 1 of 2,1,74-81,,
10:22.0,M. Morris makes free throw 2 of 2,1,75-81,,
10:02.0,,,75-84,3,D. Augustin makes 3-pt shot from 24 ft
9:46.0,S. Blake misses 3-pt shot from 24 ft,,75-84,,
9:45.0,,,75-84,,Defensive rebound by A. Roberson
9:36.0,,,75-86,2,S. Ibaka makes 2-pt shot from 15 ft (assist by D. Augustin)
9:36.0,Detroit full timeout,,75-86,,
9:36.0,A. Drummond enters the game for S. Blake,,75-86,,
9:36.0,R. Jackson enters the game for A. Baynes,,75-86,,
9:06.0,R. Jackson makes 3-pt shot from 24 ft (assist by A. Drummond),3,78-86,,
8:52.0,,,78-86,,D. Augustin misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by S. Johnson,,78-86,,
8:44.0,S. Johnson misses 2-pt shot at rim (block by S. Ibaka),,78-86,,
8:43.0,,,78-86,,Defensive rebound by D. Augustin
8:40.0,,,78-86,,Shooting foul by R. Jackson (drawn by E. Kanter)
8:40.0,,,78-87,1,E. Kanter makes free throw 1 of 2
8:40.0,K. Caldwell-Pope enters the game for S. Johnson,,78-87,,
8:40.0,,,78-87,,E. Kanter misses free throw 2 of 2
8:39.0,Defensive rebound by A. Tolliver,,78-87,,
8:17.0,R. Jackson misses 2-pt shot from 16 ft,,78-87,,
8:16.0,,,78-87,,Defensive rebound by A. Roberson
8:06.0,,,78-89,2,S. Ibaka makes 2-pt shot from 5 ft (assist by D. Waiters)
7:41.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,80-89,,
7:17.0,,,80-89,,S. Ibaka misses 2-pt shot from 16 ft
7:17.0,,,80-89,,Offensive rebound by E. Kanter
7:13.0,,,80-91,2,E. Kanter makes 2-pt shot at rim
