time,San Antonio,pts.away,score,pts.home,Atlanta
2:30.0,J. Simmons makes free throw 2 of 2,1,101-74,,
2:20.0,,,101-76,2,S. Mack makes 2-pt shot from 9 ft
1:57.0,Turnover by K. Anderson (traveling),,101-76,,
1:45.0,,,101-76,,E. Tavares misses 2-pt shot from 5 ft
1:43.0,Defensive rebound by J. Simmons,,101-76,,
1:23.0,K. Anderson makes 2-pt shot from 13 ft,2,103-76,,
1:16.0,,,103-76,,S. Mack misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by M. Bonner,,103-76,,
0:58.0,K. Anderson misses 2-pt shot from 19 ft,,103-76,,
0:55.0,,,103-76,,Defensive rebound by M. Muscala
0:40.0,,,103-76,,J. Holiday misses 3-pt shot from 23 ft
0:39.0,Defensive rebound by P. Mills,,103-76,,
0:15.0,R. Butler misses 3-pt shot from 23 ft,,103-76,,
0:14.0,,,103-76,,Defensive rebound by M. Muscala
0:09.0,,,103-78,2,S. Mack makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
