time,New Orleans,pts.away,score,pts.home,Toronto
1:31.0,,,61-69,2,P. Patterson makes 2-pt shot from 1 ft
1:08.0,I. Smith misses 2-pt shot from 18 ft,,61-69,,
1:08.0,,,61-69,,Defensive rebound by B. Biyombo
0:44.0,,,61-69,,P. Patterson misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by I. Smith,,61-69,,
0:36.0,I. Smith misses 2-pt shot from 4 ft,,61-69,,
0:35.0,,,61-69,,Defensive rebound by B. Biyombo
0:26.0,,,61-72,3,P. Patterson makes 3-pt shot from 27 ft (assist by D. DeRozan)
0:07.0,,,61-72,,Personal foul by C. Joseph (drawn by I. Smith)
0:07.0,L. Babbitt enters the game for A. Gee,,61-72,,
0:01.0,I. Smith misses 2-pt shot from 17 ft,,61-72,,
0:01.0,Offensive rebound by Team,,61-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,61-74,2,P. Patterson makes 2-pt shot from 9 ft
11:22.0,I. Smith misses 3-pt shot from 25 ft,,61-74,,
11:21.0,,,61-74,,Defensive rebound by B. Biyombo
11:10.0,,,61-74,,D. Carroll misses 2-pt shot from 7 ft
11:09.0,Defensive rebound by A. Ajinca,,61-74,,
10:53.0,T. Douglas misses 2-pt shot from 9 ft,,61-74,,
10:52.0,Offensive rebound by A. Ajinca,,61-74,,
10:49.0,Turnover by A. Ajinca (lost ball; steal by N. Powell),,61-74,,
10:39.0,,,61-74,,Shooting foul by A. Ajinca (drawn by C. Joseph)
10:39.0,,,61-75,1,C. Joseph makes free throw 1 of 2
10:39.0,,,61-76,1,C. Joseph makes free throw 2 of 2
10:26.0,A. Ajinca makes 2-pt shot from 19 ft (assist by I. Smith),2,63-76,,
10:14.0,Personal foul by I. Smith (drawn by C. Joseph),,63-76,,
10:03.0,,,63-76,,Turnover by D. Carroll (bad pass; steal by T. Douglas)
9:57.0,T. Douglas misses 2-pt shot from 8 ft,,63-76,,
9:56.0,,,63-76,,Defensive rebound by B. Biyombo
9:44.0,,,63-76,,P. Patterson misses 3-pt shot from 23 ft
9:44.0,,,63-76,,Offensive rebound by D. Carroll
9:43.0,,,63-78,2,D. Carroll makes 2-pt shot from 2 ft
9:43.0,,,63-78,,Shooting foul by A. Ajinca (drawn by D. Carroll)
9:43.0,,,63-78,,D. Carroll misses free throw 1 of 1
9:42.0,Defensive rebound by A. Ajinca,,63-78,,
9:34.0,,,63-78,,Personal foul by N. Powell (drawn by T. Douglas)
9:34.0,J. Holiday enters the game for I. Smith,,63-78,,
9:34.0,R. Anderson enters the game for L. Babbitt,,63-78,,
9:28.0,J. Holiday misses 2-pt shot from 19 ft,,63-78,,
9:27.0,,,63-78,,Defensive rebound by N. Powell
9:10.0,,,63-78,,N. Powell misses 2-pt shot from 3 ft
9:09.0,Defensive rebound by R. Anderson,,63-78,,
8:59.0,T. Douglas misses 2-pt shot from 11 ft,,63-78,,
8:59.0,Offensive rebound by A. Ajinca,,63-78,,
8:50.0,Shooting foul by D. Carroll (drawn by J. Holiday),,63-78,,
8:50.0,Official timeout,,63-78,,
8:50.0,,,63-78,,D. DeRozan enters the game for N. Powell
8:50.0,E. Gordon enters the game for T. Douglas,,63-78,,
8:50.0,J. Holiday misses free throw 1 of 2,,63-78,,
8:50.0,Offensive rebound by Team,,63-78,,
8:50.0,J. Holiday makes free throw 2 of 2,1,64-78,,
8:36.0,,,64-80,2,D. DeRozan makes 2-pt shot from 18 ft
8:18.0,E. Gordon misses 3-pt shot from 27 ft,,64-80,,
8:17.0,Offensive rebound by E. Gordon,,64-80,,
8:06.0,J. Holiday makes 2-pt shot from 3 ft,2,66-80,,
7:49.0,,,66-83,3,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph)
7:36.0,D. Cunningham misses 3-pt shot from 24 ft,,66-83,,
7:35.0,,,66-83,,Defensive rebound by B. Biyombo
7:19.0,,,66-86,3,C. Joseph makes 3-pt shot from 26 ft (assist by D. DeRozan)
7:08.0,J. Holiday misses 3-pt shot from 26 ft,,66-86,,
7:08.0,,,66-86,,Defensive rebound by B. Biyombo
6:57.0,,,66-86,,Toronto full timeout
6:46.0,,,66-88,2,C. Joseph makes 2-pt shot from 12 ft
6:26.0,D. Cunningham misses 2-pt shot from 13 ft,,66-88,,
6:26.0,Offensive rebound by Team,,66-88,,
6:26.0,,,66-88,,Loose ball foul by P. Patterson (drawn by D. Cunningham)
6:21.0,Shooting foul by D. Carroll (drawn by E. Gordon),,66-88,,
6:21.0,E. Gordon misses free throw 1 of 2,,66-88,,
6:21.0,Offensive rebound by Team,,66-88,,
6:21.0,,,66-88,,K. Lowry enters the game for D. Carroll
6:21.0,E. Gordon makes free throw 2 of 2,1,67-88,,
6:03.0,,,67-91,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:49.0,Turnover by R. Anderson (bad pass; steal by K. Lowry),,67-91,,
5:38.0,,,67-91,,Turnover by B. Biyombo (bad pass; steal by J. Holiday)
5:30.0,E. Gordon makes 3-pt shot from 26 ft (assist by J. Holiday),3,70-91,,
5:03.0,,,70-93,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
4:52.0,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday),3,73-93,,
4:32.0,,,73-93,,K. Lowry misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by E. Gordon,,73-93,,
4:19.0,J. Holiday makes 2-pt shot from 2 ft,2,75-93,,
4:01.0,,,75-95,2,D. DeRozan makes 2-pt shot from 8 ft
3:49.0,R. Anderson misses 3-pt shot from 28 ft,,75-95,,
3:49.0,Offensive rebound by Team,,75-95,,
3:46.0,I. Smith enters the game for J. Holiday,,75-95,,
3:46.0,,,75-95,,J. Valanciunas enters the game for B. Biyombo
3:46.0,Turnover by D. Cunningham (bad pass; steal by K. Lowry),,75-95,,
3:44.0,,,75-95,,Shooting foul by E. Gordon (drawn by K. Lowry)
3:44.0,,,75-96,1,K. Lowry makes free throw 1 of 2
3:44.0,,,75-97,1,K. Lowry makes free throw 2 of 2
3:31.0,E. Gordon misses 3-pt shot from 23 ft,,75-97,,
3:30.0,,,75-97,,Defensive rebound by C. Joseph
3:21.0,,,75-97,,Shooting foul by A. Ajinca (drawn by D. DeRozan)
