time,Atlanta,pts.away,score,pts.home,New Orleans
3:37.0,,,108-108,1,A. Davis makes free throw 2 of 2
3:26.0,K. Korver makes 3-pt shot from 24 ft (assist by K. Bazemore),3,111-108,,
3:08.0,,,111-108,,Turnover by J. Holiday (bad pass; steal by K. Korver)
3:03.0,J. Teague makes 2-pt shot from 1 ft,2,113-108,,
2:54.0,,,113-108,,New Orleans full timeout
2:39.0,,,113-108,,I. Smith misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by K. Korver,,113-108,,
2:22.0,J. Teague misses 2-pt shot from 2 ft (block by E. Gordon),,113-108,,
2:22.0,Offensive rebound by J. Teague,,113-108,,
2:22.0,Shooting foul by A. Davis (drawn by J. Teague),,113-108,,
2:22.0,J. Teague makes free throw 1 of 2,1,114-108,,
2:22.0,J. Teague makes free throw 2 of 2,1,115-108,,
2:03.0,,,115-108,,A. Davis misses 2-pt shot from 8 ft
2:02.0,Defensive rebound by P. Millsap,,115-108,,
1:44.0,Turnover by J. Teague (bad pass),,115-108,,
1:44.0,,,115-108,,New Orleans full timeout
1:34.0,,,115-110,2,I. Smith makes 2-pt shot from 2 ft
1:15.0,Shooting foul by E. Gordon (drawn by P. Millsap),,115-110,,
1:15.0,P. Millsap makes free throw 1 of 2,1,116-110,,
1:15.0,P. Millsap makes free throw 2 of 2,1,117-110,,
1:08.0,,,117-113,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Anderson)
0:51.0,J. Teague misses 2-pt shot from 1 ft (block by R. Anderson),,117-113,,
0:51.0,,,117-113,,Defensive rebound by Team
0:51.0,,,117-113,,L. Babbitt enters the game for I. Smith
0:36.0,,,117-113,,E. Gordon misses 3-pt shot from 27 ft
0:35.0,Defensive rebound by A. Horford,,117-113,,
0:29.0,,,117-113,,Personal take foul by L. Babbitt (drawn by J. Teague)
0:29.0,J. Teague makes free throw 1 of 2,1,118-113,,
0:29.0,J. Teague makes free throw 2 of 2,1,119-113,,
0:29.0,,,119-113,,New Orleans full timeout
0:29.0,,,119-113,,Turnover by L. Babbitt (bad pass; steal by P. Millsap)
0:28.0,,,119-113,,Personal take foul by R. Anderson (drawn by P. Millsap)
0:28.0,P. Millsap misses free throw 1 of 2,,119-113,,
0:28.0,Offensive rebound by Team,,119-113,,
0:28.0,J. Holiday enters the game for K. Korver,,119-113,,
0:28.0,P. Millsap makes free throw 2 of 2,1,120-113,,
0:22.0,,,120-115,2,L. Babbitt makes 2-pt shot at rim
0:22.0,,,120-115,,Personal take foul by L. Babbitt (drawn by J. Teague)
0:22.0,J. Teague makes free throw 1 of 2,1,121-115,,
0:22.0,M. Scott enters the game for P. Millsap,,121-115,,
0:22.0,L. Patterson enters the game for A. Horford,,121-115,,
0:22.0,J. Teague misses free throw 2 of 2,,121-115,,
0:21.0,,,121-115,,Defensive rebound by R. Anderson
0:16.0,,,121-115,,Turnover by J. Holiday (bad pass; steal by K. Bazemore)
0:00.0,End of 4th quarter,,,,End of 4th quarter
