time,Chicago,pts.away,score,pts.home,Atlanta
6:22.0,Defensive rebound by D. McDermott,,94-106,,
6:06.0,P. Gasol misses 2-pt shot from 7 ft (block by A. Horford),,94-106,,
6:03.0,,,94-106,,Defensive rebound by A. Horford
5:42.0,,,94-108,2,J. Teague makes 2-pt shot from 1 ft
5:19.0,D. Rose misses 2-pt shot from 6 ft,,94-108,,
5:18.0,Offensive rebound by D. Rose,,94-108,,
5:17.0,D. Rose misses 2-pt shot from 8 ft,,94-108,,
5:16.0,,,94-108,,Defensive rebound by P. Millsap
5:09.0,,,94-108,,J. Teague misses 2-pt shot from 1 ft
5:06.0,Defensive rebound by N. Mirotic,,94-108,,
4:54.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,96-108,,
4:35.0,,,96-110,2,P. Millsap makes 2-pt shot from 6 ft (assist by J. Teague)
4:35.0,,,96-110,,Shooting foul by N. Mirotic (drawn by P. Millsap)
4:35.0,,,96-110,,D. Schroder enters the game for K. Korver
4:35.0,,,96-111,1,P. Millsap makes free throw 1 of 1
4:22.0,N. Mirotic misses 2-pt shot from 7 ft (block by P. Millsap),,96-111,,
4:20.0,,,96-111,,Defensive rebound by A. Horford
4:17.0,,,96-111,,Turnover by J. Teague (traveling)
4:09.0,D. Rose makes 2-pt shot from 16 ft,2,98-111,,
3:53.0,,,98-114,3,A. Horford makes 3-pt shot from 25 ft (assist by J. Teague)
3:39.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Rose),3,101-114,,
3:28.0,,,101-116,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
3:12.0,Turnover by P. Gasol (bad pass; steal by D. Schroder),,101-116,,
3:08.0,,,101-118,2,D. Schroder makes 2-pt shot at rim
3:05.0,Chicago full timeout,,101-118,,
3:05.0,T. Snell enters the game for N. Mirotic,,101-118,,
3:05.0,B. Portis enters the game for P. Gasol,,101-118,,
3:05.0,E. Moore enters the game for J. Butler,,101-118,,
3:05.0,C. Bairstow enters the game for D. Rose,,101-118,,
3:05.0,,,101-118,,M. Scott enters the game for A. Horford
2:49.0,D. McDermott misses 2-pt shot from 11 ft,,101-118,,
2:45.0,,,101-118,,Defensive rebound by P. Millsap
2:38.0,Violation by C. Bairstow (kicked ball),,101-118,,
2:38.0,,,101-118,,M. Muscala enters the game for P. Millsap
2:38.0,,,101-118,,J. Holiday enters the game for J. Teague
2:38.0,,,101-118,,T. Hardaway enters the game for K. Bazemore
2:38.0,,,101-118,,S. Mack enters the game for D. Schroder
2:33.0,,,101-118,,Turnover by T. Hardaway (bad pass; steal by C. Bairstow)
2:21.0,T. Snell makes 2-pt shot from 5 ft,2,103-118,,
2:04.0,,,103-118,,J. Holiday misses 2-pt shot from 5 ft (block by B. Portis)
2:02.0,Defensive rebound by C. Bairstow,,103-118,,
1:56.0,E. Moore misses 2-pt shot from 9 ft (block by M. Scott),,103-118,,
1:53.0,,,103-118,,Defensive rebound by M. Scott
1:52.0,,,103-118,,Shooting foul by T. Snell (drawn by J. Holiday)
1:52.0,,,103-118,,J. Holiday misses free throw 1 of 2
1:52.0,,,103-118,,Offensive rebound by Team
1:52.0,,,103-118,,J. Holiday misses free throw 2 of 2
1:51.0,Defensive rebound by B. Portis,,103-118,,
1:36.0,B. Portis misses 2-pt shot from 14 ft,,103-118,,
1:33.0,,,103-118,,Defensive rebound by M. Muscala
1:24.0,,,103-118,,S. Mack misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by D. McDermott,,103-118,,
1:11.0,C. Bairstow makes 2-pt shot from 15 ft (assist by T. Snell),2,105-118,,
0:53.0,,,105-118,,Turnover by S. Mack (bad pass)
0:44.0,Turnover by B. Portis (bad pass; steal by T. Hardaway),,105-118,,
0:44.0,Personal foul by D. McDermott (drawn by M. Muscala),,105-118,,
0:44.0,,,105-119,1,M. Muscala makes free throw 1 of 2
0:44.0,,,105-120,1,M. Muscala makes free throw 2 of 2
0:38.0,,,105-120,,Violation by M. Muscala (kicked ball)
0:36.0,Turnover by D. McDermott (bad pass; steal by J. Holiday),,105-120,,
0:12.0,,,105-120,,S. Mack misses 2-pt shot from 9 ft
0:10.0,Defensive rebound by D. McDermott,,105-120,,
0:01.0,E. Moore misses 2-pt shot from 17 ft,,105-120,,
0:00.0,Offensive rebound by B. Portis,,105-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
