time,Portland,pts.away,score,pts.home,Sacramento
5:47.0,T. Frazier misses 2-pt shot from 3 ft (block by D. Cousins),,87-85,,
5:45.0,Offensive rebound by M. Harkless,,87-85,,
5:33.0,T. Frazier misses 3-pt shot from 26 ft,,87-85,,
5:32.0,,,87-85,,Defensive rebound by R. Gay
5:08.0,,,87-85,,Turnover by D. Cousins (lost ball; steal by M. Harkless)
4:57.0,Offensive foul by G. Henderson,,87-85,,
4:57.0,Turnover by G. Henderson (offensive foul),,87-85,,
4:57.0,A. Crabbe enters the game for G. Henderson,,87-85,,
4:41.0,,,87-85,,Turnover by R. Rondo (bad pass)
4:22.0,M. Leonard makes 2-pt shot from 19 ft (assist by C. McCollum),2,89-85,,
4:04.0,,,89-85,,D. Cousins misses 2-pt shot from 4 ft
4:03.0,,,89-85,,Offensive rebound by D. Cousins
4:03.0,,,89-87,2,D. Cousins makes 2-pt shot from 4 ft
3:42.0,C. McCollum misses 2-pt shot from 19 ft,,89-87,,
3:41.0,,,89-87,,Defensive rebound by R. Gay
3:22.0,,,89-87,,Turnover by D. Cousins (bad pass; steal by T. Frazier)
3:07.0,M. Harkless misses 3-pt shot from 24 ft,,89-87,,
3:07.0,,,89-87,,Defensive rebound by R. Gay
2:57.0,,,89-87,,D. Cousins misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by Team,,89-87,,
2:57.0,Portland full timeout,,89-87,,
2:42.0,C. McCollum misses 2-pt shot from 9 ft,,89-87,,
2:41.0,Offensive rebound by C. McCollum,,89-87,,
2:40.0,C. McCollum makes 2-pt shot from 2 ft,2,91-87,,
2:21.0,,,91-87,,D. Cousins misses 2-pt shot from 19 ft
2:20.0,Defensive rebound by A. Crabbe,,91-87,,
2:02.0,Turnover by T. Frazier (lost ball; steal by D. Collison),,91-87,,
1:51.0,,,91-87,,D. Cousins misses 2-pt shot from 3 ft
1:50.0,Defensive rebound by T. Frazier,,91-87,,
1:27.0,C. McCollum makes 2-pt shot from 15 ft,2,93-87,,
1:27.0,,,93-87,,Sacramento full timeout
1:27.0,,,93-87,,M. Belinelli enters the game for R. Gay
1:15.0,,,93-87,,R. Rondo misses 3-pt shot from 24 ft
1:14.0,,,93-87,,Offensive rebound by Team
1:07.0,,,93-87,,Shooting foul by T. Frazier (drawn by D. Cousins)
1:07.0,,,93-88,1,D. Cousins makes free throw 1 of 2
1:07.0,,,93-88,,R. Gay enters the game for M. Belinelli
1:07.0,,,93-89,1,D. Cousins makes free throw 2 of 2
0:51.0,A. Crabbe misses 3-pt shot from 25 ft,,93-89,,
0:50.0,Offensive rebound by A. Crabbe,,93-89,,
0:31.0,C. McCollum makes 2-pt shot from 20 ft,2,95-89,,
0:31.0,,,95-89,,Sacramento full timeout
0:28.0,,,95-89,,D. Cousins misses 3-pt shot from 26 ft
0:25.0,,,95-89,,Offensive rebound by O. Casspi
0:24.0,,,95-92,3,D. Cousins makes 3-pt shot from 25 ft (assist by O. Casspi)
0:24.0,Portland full timeout,,95-92,,
0:24.0,M. Plumlee enters the game for M. Harkless,,95-92,,
0:24.0,Portland full timeout,,95-92,,
0:24.0,,,95-92,,Personal take foul by O. Casspi (drawn by A. Crabbe)
0:20.0,,,95-92,,Personal take foul by D. Collison (drawn by C. McCollum)
0:20.0,C. McCollum misses free throw 1 of 2,,95-92,,
0:20.0,Offensive rebound by Team,,95-92,,
0:20.0,M. Harkless enters the game for M. Plumlee,,95-92,,
0:20.0,C. McCollum makes free throw 2 of 2,1,96-92,,
0:13.0,,,96-92,,D. Cousins misses 3-pt shot from 26 ft
0:13.0,Defensive rebound by M. Leonard,,96-92,,
0:13.0,,,96-92,,Personal take foul by R. Rondo (drawn by M. Leonard)
0:13.0,M. Leonard makes free throw 1 of 2,1,97-92,,
0:13.0,M. Leonard makes free throw 2 of 2,1,98-92,,
0:04.0,,,98-92,,D. Collison misses 3-pt shot from 24 ft
0:02.0,,,98-92,,Offensive rebound by R. Gay
0:01.0,,,98-92,,R. Gay misses 2-pt shot from 1 ft
0:00.0,,,98-92,,Offensive rebound by R. Gay
0:00.0,,,98-92,,R. Gay misses 2-pt shot from 1 ft
0:00.0,,,98-92,,Offensive rebound by R. Gay
0:00.0,,,98-94,2,R. Gay makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
