time,Golden State,pts.away,score,pts.home,New York
1:01.0,,,80-65,,D. Williams enters the game for K. Porzingis
1:01.0,L. Barbosa enters the game for K. Thompson,,80-65,,
0:45.0,,,80-65,,J. Grant misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by D. Green,,80-65,,
0:26.0,L. Barbosa makes 2-pt shot from 19 ft (assist by D. Green),2,82-65,,
0:04.0,,,82-65,,Turnover by C. Anthony (bad pass; steal by D. Green)
0:00.0,L. Barbosa misses 2-pt shot from 5 ft,,82-65,,
0:00.0,Offensive rebound by Team,,82-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,S. Livingston makes 2-pt shot at rim,2,84-65,,
11:17.0,,,84-65,,A. Afflalo misses 3-pt shot from 24 ft
11:16.0,,,84-65,,Offensive rebound by D. Williams
11:11.0,,,84-65,,Turnover by L. Amundson (bad pass; steal by S. Livingston)
11:07.0,Shooting foul by L. Amundson (drawn by L. Barbosa),,84-65,,
11:07.0,L. Barbosa makes free throw 1 of 2,1,85-65,,
11:07.0,L. Barbosa makes free throw 2 of 2,1,86-65,,
10:56.0,,,86-67,2,S. Vujacic makes 2-pt shot from 22 ft (assist by D. Williams)
10:43.0,A. Iguodala makes 3-pt shot from 26 ft (assist by H. Barnes),3,89-67,,
10:23.0,,,89-67,,D. Williams misses 2-pt shot from 16 ft
10:22.0,,,89-67,,Offensive rebound by L. Amundson
10:08.0,,,89-69,2,D. Williams makes 2-pt shot from 2 ft (assist by L. Amundson)
9:57.0,H. Barnes misses 2-pt shot from 9 ft,,89-69,,
9:56.0,,,89-69,,Defensive rebound by J. Grant
9:41.0,,,89-69,,L. Amundson misses 2-pt shot from 5 ft (block by B. Rush)
9:40.0,Defensive rebound by A. Iguodala,,89-69,,
9:29.0,H. Barnes misses 3-pt shot from 25 ft,,89-69,,
9:28.0,,,89-69,,Defensive rebound by D. Williams
9:16.0,,,89-72,3,S. Vujacic makes 3-pt shot from 24 ft (assist by A. Afflalo)
9:08.0,Turnover by S. Livingston (lost ball),,89-72,,
8:55.0,,,89-72,,D. Williams misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by Team,,89-72,,
8:54.0,Official timeout,,89-72,,
8:54.0,,,89-72,,C. Anthony enters the game for L. Amundson
8:54.0,S. Curry enters the game for S. Livingston,,89-72,,
8:37.0,H. Barnes misses 2-pt shot from 8 ft,,89-72,,
8:36.0,,,89-72,,Defensive rebound by C. Anthony
8:28.0,,,89-72,,J. Grant misses 2-pt shot from 1 ft
8:27.0,,,89-72,,Offensive rebound by D. Williams
8:26.0,,,89-74,2,D. Williams makes 2-pt shot from 2 ft
8:14.0,Offensive foul by A. Iguodala,,89-74,,
8:14.0,Turnover by A. Iguodala (offensive foul),,89-74,,
