time,Dallas,pts.away,score,pts.home,Philadelphia
6:27.0,,,79-78,,Turnover by N. Noel (traveling)
6:13.0,Turnover by J. Evans (lost ball; steal by J. Grant),,79-78,,
6:05.0,,,79-78,,Shooting foul by D. Nowitzki (drawn by N. Noel)
6:05.0,,,79-78,,N. Noel misses free throw 1 of 2
6:05.0,,,79-78,,Offensive rebound by Team
6:05.0,D. Powell enters the game for J. Evans,,79-78,,
6:05.0,,,79-79,1,N. Noel makes free throw 2 of 2
5:50.0,R. Felton misses 2-pt shot from 4 ft,,79-79,,
5:48.0,Offensive rebound by D. Powell,,79-79,,
5:46.0,D. Nowitzki misses 3-pt shot from 25 ft,,79-79,,
5:44.0,,,79-79,,Defensive rebound by T. McConnell
5:37.0,,,79-79,,T. McConnell misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by W. Matthews,,79-79,,
5:22.0,W. Matthews misses 3-pt shot from 22 ft,,79-79,,
5:19.0,,,79-79,,Defensive rebound by T. McConnell
5:12.0,,,79-81,2,N. Noel makes 2-pt shot at rim (assist by H. Thompson)
5:00.0,Turnover by W. Matthews (offensive foul),,79-81,,
5:00.0,Offensive foul by W. Matthews,,79-81,,
5:00.0,Official timeout,,79-81,,
4:43.0,,,79-81,,Turnover by T. McConnell (bad pass; steal by W. Matthews)
4:39.0,W. Matthews makes 2-pt shot at rim,2,81-81,,
4:23.0,,,81-81,,Shooting foul by D. Nowitzki (drawn by N. Noel)
4:23.0,,,81-81,,N. Noel misses free throw 1 of 2
4:23.0,,,81-81,,Offensive rebound by Team
4:23.0,,,81-82,1,N. Noel makes free throw 2 of 2
4:15.0,,,81-82,,Personal foul by J. Grant (drawn by D. Nowitzki)
4:15.0,,,81-82,,J. Okafor enters the game for I. Canaan
3:59.0,R. Felton misses 3-pt shot from 26 ft,,81-82,,
3:56.0,,,81-82,,Defensive rebound by N. Noel
3:45.0,,,81-82,,Offensive charge foul by J. Grant
3:45.0,,,81-82,,Turnover by J. Grant (offensive foul)
3:23.0,Shooting foul by T. McConnell (drawn by D. Nowitzki),,81-82,,
3:23.0,D. Nowitzki makes free throw 1 of 2,1,82-82,,
3:23.0,Z. Pachulia enters the game for D. Powell,,82-82,,
3:23.0,D. Nowitzki makes free throw 2 of 2,1,83-82,,
3:23.0,,,83-82,,Philadelphia full timeout
3:23.0,,,83-82,,I. Canaan enters the game for J. Grant
2:59.0,,,83-82,,J. Okafor misses 2-pt shot from 6 ft
2:56.0,Defensive rebound by Z. Pachulia,,83-82,,
2:41.0,D. Williams makes 2-pt shot from 15 ft,2,85-82,,
2:29.0,,,85-82,,Turnover by H. Thompson (bad pass; steal by D. Williams)
2:20.0,,,85-82,,Personal foul by H. Thompson (drawn by D. Nowitzki)
2:20.0,D. Nowitzki makes free throw 1 of 2,1,86-82,,
2:20.0,D. Nowitzki makes free throw 2 of 2,1,87-82,,
2:00.0,,,87-84,2,J. Okafor makes 2-pt shot at rim (assist by T. McConnell)
1:47.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,90-84,,
1:47.0,,,90-84,,Philadelphia full timeout
1:47.0,D. Powell enters the game for D. Nowitzki,,90-84,,
1:27.0,,,90-84,,I. Canaan misses 2-pt shot from 14 ft
1:25.0,Defensive rebound by R. Felton,,90-84,,
1:10.0,R. Felton misses 2-pt shot from 17 ft,,90-84,,
1:08.0,,,90-84,,Defensive rebound by N. Noel
0:54.0,,,90-86,2,J. Okafor makes 2-pt shot from 3 ft
0:54.0,Dallas full timeout,,90-86,,
0:54.0,,,90-86,,J. Sampson enters the game for I. Canaan
0:54.0,D. Nowitzki enters the game for D. Powell,,90-86,,
0:54.0,,,90-86,,J. Grant enters the game for J. Okafor
0:54.0,J. Barea enters the game for Z. Pachulia,,90-86,,
0:32.0,W. Matthews misses 3-pt shot from 25 ft,,90-86,,
0:30.0,,,90-86,,Defensive rebound by N. Noel
0:23.0,,,90-86,,J. Grant misses 2-pt shot from 1 ft
0:22.0,Defensive rebound by D. Williams,,90-86,,
0:22.0,,,90-86,,Personal foul by J. Sampson (drawn by D. Williams)
0:22.0,D. Williams makes free throw 1 of 2,1,91-86,,
0:22.0,,,91-86,,I. Canaan enters the game for J. Sampson
0:22.0,D. Williams makes free throw 2 of 2,1,92-86,,
0:22.0,,,92-86,,Philadelphia full timeout
0:22.0,J. Evans enters the game for D. Nowitzki,,92-86,,
0:22.0,Z. Pachulia enters the game for J. Barea,,92-86,,
0:13.0,,,92-86,,H. Thompson misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by R. Felton,,92-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
