time,Oklahoma City,pts.away,score,pts.home,Chicago
1:53.0,S. Ibaka makes 2-pt shot from 12 ft (assist by R. Westbrook),2,96-98,,
1:40.0,,,96-100,2,D. Rose makes 2-pt shot from 17 ft
1:28.0,K. Durant misses 2-pt shot from 3 ft (block by J. Butler),,96-100,,
1:25.0,,,96-100,,Defensive rebound by T. Gibson
1:07.0,,,96-102,2,D. Rose makes 2-pt shot from 15 ft
1:04.0,Oklahoma City full timeout,,96-102,,
0:59.0,K. Durant makes 2-pt shot from 17 ft,2,98-102,,
0:38.0,,,98-104,2,P. Gasol makes 2-pt shot from 4 ft (assist by D. Rose)
0:33.0,R. Westbrook misses 2-pt shot from 2 ft (block by T. Gibson),,98-104,,
0:31.0,,,98-104,,Defensive rebound by E. Moore
0:10.0,,,98-104,,J. Butler misses 2-pt shot from 19 ft
0:09.0,Defensive rebound by R. Westbrook,,98-104,,
0:04.0,R. Westbrook misses 3-pt shot from 25 ft,,98-104,,
0:03.0,,,98-104,,Defensive rebound by E. Moore
0:00.0,End of 4th quarter,,,,End of 4th quarter
