time,Miami,pts.away,score,pts.home,Dallas
2:36.0,,,87-85,2,R. Felton makes 2-pt shot from 7 ft
2:18.0,D. Wade misses 2-pt shot from 6 ft (block by D. Nowitzki),,87-85,,
2:18.0,Offensive rebound by Team,,87-85,,
2:13.0,C. Bosh misses 2-pt shot from 20 ft,,87-85,,
2:12.0,,,87-85,,Defensive rebound by R. Felton
1:52.0,,,87-85,,D. Nowitzki misses 2-pt shot from 6 ft (block by L. Deng)
1:51.0,Defensive rebound by J. Winslow,,87-85,,
1:31.0,C. Bosh misses 2-pt shot from 19 ft,,87-85,,
1:31.0,Offensive rebound by Team,,87-85,,
1:31.0,,,87-85,,Loose ball foul by R. Felton (drawn by D. Wade)
1:31.0,D. Wade makes free throw 1 of 2,1,88-85,,
1:31.0,D. Wade makes free throw 2 of 2,1,89-85,,
1:22.0,Personal foul by C. Bosh (drawn by R. Felton),,89-85,,
1:22.0,,,89-86,1,R. Felton makes free throw 1 of 2
1:22.0,,,89-87,1,R. Felton makes free throw 2 of 2
1:04.0,L. Deng makes 3-pt shot from 23 ft (assist by C. Bosh),3,92-87,,
1:04.0,,,92-87,,Dallas full timeout
0:52.0,,,92-87,,J. Barea misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by L. Deng,,92-87,,
0:26.0,J. Winslow misses 2-pt shot from 16 ft,,92-87,,
0:25.0,,,92-87,,Defensive rebound by D. Nowitzki
0:18.0,,,92-90,3,D. Nowitzki makes 3-pt shot from 29 ft (assist by J. Barea)
0:18.0,Miami full timeout,,92-90,,
0:18.0,,,92-90,,C. Parsons enters the game for D. Nowitzki
0:18.0,,,92-90,,J. Anderson enters the game for Z. Pachulia
0:18.0,B. Udrih enters the game for J. Winslow,,92-90,,
0:16.0,,,92-90,,Personal take foul by C. Parsons (drawn by D. Wade)
0:16.0,D. Wade makes free throw 1 of 2,1,93-90,,
0:16.0,,,93-90,,D. Nowitzki enters the game for J. Anderson
0:16.0,J. Winslow enters the game for B. Udrih,,93-90,,
0:16.0,D. Wade misses free throw 2 of 2,,93-90,,
0:15.0,,,93-90,,Defensive rebound by R. Felton
0:02.0,,,93-90,,R. Felton misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by G. Dragic,,93-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
