time,Philadelphia,pts.away,score,pts.home,Golden State
1:47.0,,,101-117,,I. Clark enters the game for D. Green
1:47.0,,,101-117,,M. Speights enters the game for S. Curry
1:47.0,H. Thompson enters the game for I. Canaan,,101-117,,
1:23.0,,,101-117,,I. Clark misses 3-pt shot from 30 ft
1:22.0,,,101-117,,Offensive rebound by Team
1:16.0,,,101-117,,Turnover by L. Barbosa (lost ball)
1:04.0,R. Covington makes 2-pt shot from 2 ft (assist by E. Brand),2,103-117,,
0:45.0,,,103-117,,J. McAdoo misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by R. Covington,,103-117,,
0:28.0,Turnover by E. Brand (lost ball; steal by L. Barbosa),,103-117,,
0:16.0,,,103-117,,L. Barbosa misses 2-pt shot from 1 ft
0:16.0,Defensive rebound by I. Smith,,103-117,,
0:11.0,N. Stauskas makes 2-pt shot from 1 ft (assist by I. Smith),2,105-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
