time,Orlando,pts.away,score,pts.home,San Antonio
2:38.0,V. Oladipo misses 2-pt shot from 1 ft (block by L. Aldridge),,87-101,,
2:36.0,,,87-101,,Defensive rebound by D. Green
2:30.0,,,87-101,,San Antonio full timeout
2:30.0,S. Napier enters the game for T. Harris,,87-101,,
2:30.0,K. Appling enters the game for A. Gordon,,87-101,,
2:30.0,D. Dedmon enters the game for V. Oladipo,,87-101,,
2:30.0,A. Nicholson enters the game for C. Frye,,87-101,,
2:30.0,,,87-101,,B. Marjanovic enters the game for K. Leonard
2:30.0,,,87-101,,J. Simmons enters the game for L. Aldridge
2:30.0,,,87-101,,K. Anderson enters the game for D. Green
2:30.0,,,87-101,,R. Butler enters the game for T. Parker
2:30.0,,,87-101,,R. McCallum enters the game for D. West
2:10.0,,,87-101,,K. Anderson misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by S. Napier,,87-101,,
1:55.0,Turnover by M. Hezonja (step out of bounds),,87-101,,
1:45.0,,,87-101,,R. Butler misses 2-pt shot at rim (block by M. Hezonja)
1:44.0,Defensive rebound by M. Hezonja,,87-101,,
1:30.0,D. Dedmon misses 2-pt shot from 2 ft (block by B. Marjanovic),,87-101,,
1:28.0,,,87-101,,Defensive rebound by J. Simmons
1:26.0,,,87-103,2,J. Simmons makes 2-pt shot from 1 ft
1:16.0,S. Napier makes 3-pt shot from 24 ft (assist by M. Hezonja),3,90-103,,
1:06.0,,,90-105,2,J. Simmons makes 2-pt shot from 1 ft (assist by K. Anderson)
0:49.0,D. Dedmon makes 2-pt shot from 21 ft,2,92-105,,
0:33.0,,,92-105,,Shooting foul by D. Dedmon (drawn by B. Marjanovic)
0:33.0,,,92-106,1,B. Marjanovic makes free throw 1 of 2
0:33.0,,,92-107,1,B. Marjanovic makes free throw 2 of 2
0:15.0,M. Hezonja misses 2-pt shot from 19 ft,,92-107,,
0:13.0,,,92-107,,Defensive rebound by R. Butler
0:00.0,End of 4th quarter,,,,End of 4th quarter
