time,Sacramento,pts.away,score,pts.home,Toronto
2:53.0,O. Casspi misses 3-pt shot from 23 ft,,99-92,,
2:53.0,,,99-92,,Defensive rebound by J. Johnson
2:51.0,,,99-92,,Turnover by J. Johnson (lost ball; steal by D. Collison)
2:39.0,Shooting foul by T. Ross (drawn by D. Cousins),,99-92,,
2:39.0,,,99-92,,Toronto full timeout
2:39.0,,,99-92,,B. Biyombo enters the game for C. Joseph
2:39.0,D. Cousins misses free throw 1 of 2,,99-92,,
2:39.0,Offensive rebound by Team,,99-92,,
2:39.0,D. Cousins misses free throw 2 of 2,,99-92,,
2:39.0,,,99-92,,Defensive rebound by B. Biyombo
2:15.0,,,99-92,,D. DeRozan misses 2-pt shot from 19 ft
2:14.0,Defensive rebound by O. Casspi,,99-92,,
2:02.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo),3,102-92,,
1:48.0,,,102-92,,T. Ross misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by R. Gay,,102-92,,
1:24.0,R. Rondo misses 3-pt shot from 24 ft,,102-92,,
1:24.0,,,102-92,,Defensive rebound by J. Johnson
1:15.0,,,102-92,,D. DeRozan misses 2-pt shot from 5 ft (block by D. Cousins)
1:13.0,Defensive rebound by O. Casspi,,102-92,,
1:10.0,D. Collison makes 2-pt shot from 1 ft (assist by O. Casspi),2,104-92,,
1:10.0,,,104-92,,Toronto full timeout
1:01.0,,,104-92,,D. DeRozan misses 2-pt shot from 15 ft
1:00.0,Defensive rebound by O. Casspi,,104-92,,
0:42.0,R. Gay misses 3-pt shot from 25 ft,,104-92,,
0:42.0,,,104-92,,Defensive rebound by P. Patterson
0:36.0,,,104-92,,Turnover by T. Ross (bad pass)
0:12.0,D. Collison misses 3-pt shot from 23 ft (block by J. Johnson),,104-92,,
0:12.0,Offensive rebound by Team,,104-92,,
0:12.0,Turnover by Team (shot clock),,104-92,,
0:05.0,,,104-92,,D. DeRozan misses 2-pt shot at rim
0:05.0,,,104-92,,Offensive rebound by D. DeRozan
0:05.0,,,104-94,2,D. DeRozan makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
