time,Chicago,pts.away,score,pts.home,Oklahoma City
6:05.0,,,97-83,,E. Kanter misses 2-pt shot from 9 ft
6:04.0,Defensive rebound by D. McDermott,,97-83,,
5:45.0,P. Gasol misses 2-pt shot from 10 ft,,97-83,,
5:44.0,,,97-83,,Defensive rebound by S. Ibaka
5:37.0,,,97-83,,R. Westbrook misses 2-pt shot at rim
5:37.0,Defensive rebound by P. Gasol,,97-83,,
5:34.0,Turnover by P. Gasol (bad pass; steal by A. Morrow),,97-83,,
5:30.0,,,97-86,3,A. Morrow makes 3-pt shot from 24 ft
5:14.0,Turnover by J. Butler (bad pass; steal by S. Ibaka),,97-86,,
5:11.0,,,97-86,,Turnover by R. Westbrook (bad pass; steal by J. Butler)
5:07.0,J. Butler misses 3-pt shot from 24 ft,,97-86,,
5:05.0,Offensive rebound by D. McDermott,,97-86,,
5:04.0,D. McDermott misses 2-pt shot from 2 ft,,97-86,,
5:03.0,Offensive rebound by P. Gasol,,97-86,,
5:03.0,P. Gasol misses 2-pt shot from 2 ft,,97-86,,
5:00.0,,,97-86,,Defensive rebound by R. Westbrook
4:47.0,,,97-89,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:46.0,Chicago full timeout,,97-89,,
4:46.0,T. Gibson enters the game for B. Portis,,97-89,,
4:34.0,Shooting foul by K. Durant (drawn by J. Butler),,97-89,,
4:34.0,J. Butler makes free throw 1 of 2,1,98-89,,
4:34.0,J. Butler makes free throw 2 of 2,1,99-89,,
4:18.0,,,99-89,,R. Westbrook misses 3-pt shot from 25 ft
4:18.0,,,99-89,,Offensive rebound by E. Kanter
4:17.0,,,99-91,2,E. Kanter makes 2-pt shot from 1 ft
3:56.0,P. Gasol misses 2-pt shot at rim,,99-91,,
3:56.0,,,99-91,,Defensive rebound by R. Westbrook
3:42.0,,,99-93,2,R. Westbrook makes 2-pt shot from 13 ft
3:20.0,J. Butler misses 2-pt shot from 12 ft,,99-93,,
3:19.0,,,99-93,,Defensive rebound by Team
3:19.0,D. Rose enters the game for K. Hinrich,,99-93,,
3:02.0,,,99-93,,K. Durant misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by Team,,99-93,,
2:38.0,Shooting foul by S. Ibaka (drawn by J. Butler),,99-93,,
2:38.0,,,99-93,,Oklahoma City full timeout
2:38.0,J. Butler makes free throw 1 of 2,1,100-93,,
2:38.0,J. Butler makes free throw 2 of 2,1,101-93,,
2:28.0,,,101-93,,Offensive foul by S. Ibaka
2:28.0,,,101-93,,Turnover by S. Ibaka (offensive foul)
2:07.0,D. Rose misses 2-pt shot from 6 ft,,101-93,,
2:07.0,Offensive rebound by P. Gasol,,101-93,,
2:06.0,P. Gasol makes 2-pt shot at rim,2,103-93,,
1:54.0,,,103-93,,K. Durant misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by P. Gasol,,103-93,,
1:33.0,D. Rose misses 3-pt shot from 24 ft,,103-93,,
1:33.0,,,103-93,,Defensive rebound by E. Kanter
1:25.0,,,103-96,3,A. Morrow makes 3-pt shot from 22 ft (assist by K. Durant)
1:04.0,P. Gasol misses 2-pt shot from 18 ft,,103-96,,
1:04.0,,,103-96,,Defensive rebound by E. Kanter
0:57.0,,,103-96,,A. Morrow misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by D. McDermott,,103-96,,
0:38.0,Shooting foul by E. Kanter (drawn by D. Rose),,103-96,,
0:38.0,D. Rose makes free throw 1 of 2,1,104-96,,
0:38.0,D. Rose makes free throw 2 of 2,1,105-96,,
0:38.0,,,105-96,,Oklahoma City full timeout
0:38.0,,,105-96,,Technical foul by S. Ibaka
0:38.0,Technical foul by T. Gibson,,105-96,,
0:38.0,,,105-96,,N. Collison enters the game for S. Ibaka
0:30.0,,,105-96,,R. Westbrook misses 3-pt shot from 24 ft
0:30.0,,,105-96,,Offensive rebound by E. Kanter
0:26.0,Personal foul by D. Rose (drawn by R. Westbrook),,105-96,,
0:26.0,K. Hinrich enters the game for D. Rose,,105-96,,
0:14.0,,,105-96,,R. Westbrook misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by J. Butler,,105-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
