time,Memphis,pts.away,score,pts.home,Houston
1:36.0,A. Stepheson misses 2-pt shot from 4 ft (block by J. Harden),,34-57,,
1:35.0,,,34-57,,Defensive rebound by M. Beasley
1:30.0,,,34-60,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
1:18.0,,,34-60,,Personal foul by M. Beasley
1:18.0,J. Martin makes free throw 1 of 2,1,35-60,,
1:18.0,J. Martin misses free throw 2 of 2,,35-60,,
1:18.0,,,35-60,,Defensive rebound by J. Harden
1:05.0,,,35-63,3,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden)
0:54.0,,,35-63,,Personal foul by J. Terry
0:54.0,J. Martin makes free throw 1 of 2,1,36-63,,
0:54.0,J. Martin makes free throw 2 of 2,1,37-63,,
0:44.0,,,37-63,,Shooting foul by J. Martin (drawn by C. Capela)
0:44.0,,,37-64,1,C. Capela makes free throw 1 of 2
0:44.0,,,37-65,1,C. Capela makes free throw 2 of 2
0:32.0,M. Barnes misses 2-pt shot from 16 ft,,37-65,,
0:32.0,,,37-65,,Defensive rebound by J. Harden
0:21.0,,,37-65,,Turnover by J. Harden (lost ball; steal by T. Allen)
0:16.0,T. Allen makes 2-pt shot from 1 ft,2,39-65,,
0:06.0,,,39-65,,C. Capela misses 2-pt shot from 2 ft
0:05.0,Defensive rebound by J. Martin,,39-65,,
0:01.0,Shooting foul by M. Beasley (drawn by M. Barnes),,39-65,,
0:01.0,M. Barnes makes free throw 1 of 2,1,40-65,,
0:01.0,,,40-65,,C. Brewer enters the game for M. Beasley
0:01.0,M. Barnes makes free throw 2 of 2,1,41-65,,
0:00.0,,,41-65,,C. Capela misses 3-pt shot from 50 ft
0:00.0,,,41-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,41-65,,D. Motiejunas misses 2-pt shot from 9 ft
11:33.0,Defensive rebound by M. Barnes,,41-65,,
11:23.0,Turnover by B. Weber (lost ball; steal by D. Howard),,41-65,,
11:19.0,,,41-65,,Turnover by P. Beverley (lost ball; steal by B. Weber)
11:15.0,Shooting foul by D. Howard (drawn by R. Hollins),,41-65,,
11:15.0,R. Hollins makes free throw 1 of 2,1,42-65,,
11:15.0,R. Hollins misses free throw 2 of 2,,42-65,,
11:15.0,,,42-65,,Defensive rebound by D. Howard
11:02.0,,,42-65,,Shooting foul by T. Allen (drawn by J. Harden)
11:02.0,,,42-66,1,J. Harden makes free throw 1 of 3
11:02.0,,,42-67,1,J. Harden makes free throw 2 of 3
11:02.0,,,42-68,1,J. Harden makes free throw 3 of 3
10:44.0,J. Green misses 3-pt shot from 23 ft,,42-68,,
10:42.0,Offensive rebound by R. Hollins,,42-68,,
10:38.0,R. Hollins makes 2-pt shot from 3 ft,2,44-68,,
10:23.0,,,44-68,,P. Beverley misses 3-pt shot from 23 ft
10:22.0,,,44-68,,Offensive rebound by D. Howard
10:18.0,,,44-70,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by D. Howard)
9:47.0,B. Weber misses 2-pt shot from 14 ft,,44-70,,
9:46.0,,,44-70,,Defensive rebound by D. Howard
9:41.0,,,44-72,2,J. Harden makes 2-pt shot from 1 ft (assist by D. Howard)
9:27.0,M. Barnes misses 3-pt shot from 25 ft,,44-72,,
9:26.0,,,44-72,,Defensive rebound by J. Harden
9:16.0,,,44-72,,T. Ariza misses 3-pt shot from 25 ft
9:16.0,,,44-72,,Offensive rebound by D. Motiejunas
9:16.0,,,44-74,2,D. Motiejunas makes 2-pt shot from 1 ft
8:59.0,M. Barnes misses 3-pt shot from 23 ft,,44-74,,
8:59.0,,,44-74,,Defensive rebound by D. Motiejunas
8:47.0,,,44-77,3,J. Harden makes 3-pt shot from 25 ft (assist by D. Motiejunas)
8:40.0,Memphis full timeout,,44-77,,
8:22.0,R. Hollins misses 2-pt shot from 2 ft (block by D. Howard),,44-77,,
8:22.0,Offensive rebound by Team,,44-77,,
8:19.0,M. Barnes misses 2-pt shot from 19 ft,,44-77,,
8:19.0,Offensive rebound by R. Hollins,,44-77,,
8:07.0,T. Allen misses 3-pt shot from 23 ft,,44-77,,
8:06.0,,,44-77,,Defensive rebound by D. Howard
7:51.0,,,44-77,,D. Motiejunas misses 2-pt shot from 6 ft
7:50.0,Defensive rebound by T. Allen,,44-77,,
7:41.0,Shooting foul by D. Motiejunas (drawn by T. Allen),,44-77,,
7:41.0,T. Allen misses free throw 1 of 2,,44-77,,
7:41.0,Offensive rebound by Team,,44-77,,
7:41.0,T. Allen makes free throw 2 of 2,1,45-77,,
7:28.0,,,45-80,3,D. Motiejunas makes 3-pt shot from 23 ft (assist by P. Beverley)
7:16.0,B. Weber misses 2-pt shot from 20 ft,,45-80,,
7:15.0,,,45-80,,Defensive rebound by D. Motiejunas
7:01.0,,,45-80,,P. Beverley misses 2-pt shot from 9 ft
6:59.0,Defensive rebound by B. Weber,,45-80,,
6:53.0,M. Barnes makes 2-pt shot from 2 ft (assist by B. Weber),2,47-80,,
6:40.0,,,47-80,,Shooting foul by R. Hollins (drawn by D. Howard)
6:40.0,,,47-80,,D. Howard misses free throw 1 of 2
6:40.0,,,47-80,,Offensive rebound by Team
6:40.0,,,47-80,,C. Brewer enters the game for T. Ariza
6:40.0,,,47-81,1,D. Howard makes free throw 2 of 2
6:28.0,,,47-81,,Violation by D. Motiejunas (kicked ball)
6:18.0,T. Allen misses 2-pt shot from 20 ft,,47-81,,
6:18.0,,,47-81,,Defensive rebound by J. Harden
6:07.0,,,47-81,,D. Motiejunas misses 3-pt shot from 23 ft
6:07.0,Defensive rebound by M. Barnes,,47-81,,
6:04.0,Turnover by M. Barnes (lost ball; steal by J. Harden),,47-81,,
5:57.0,,,47-81,,C. Brewer misses 3-pt shot from 23 ft
5:56.0,,,47-81,,Offensive rebound by D. Howard
5:51.0,,,47-83,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by D. Howard)
5:41.0,T. Allen misses 2-pt shot from 2 ft (block by D. Howard),,47-83,,
5:39.0,,,47-83,,Defensive rebound by J. Harden
5:33.0,,,47-83,,P. Beverley misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by B. Weber,,47-83,,
5:26.0,M. Barnes misses 2-pt shot from 11 ft,,47-83,,
5:24.0,Offensive rebound by J. Green,,47-83,,
5:23.0,J. Green misses 2-pt shot from 1 ft (block by J. Harden),,47-83,,
5:22.0,Offensive rebound by J. Green,,47-83,,
5:22.0,J. Green makes 2-pt shot from 1 ft,2,49-83,,
5:00.0,,,49-85,2,D. Motiejunas makes 2-pt shot from 16 ft (assist by J. Harden)
4:48.0,Turnover by M. Barnes (lost ball; steal by P. Beverley),,49-85,,
4:46.0,Personal take foul by J. Green,,49-85,,
4:46.0,P. Hairston enters the game for M. Barnes,,49-85,,
4:46.0,R. McCallum enters the game for T. Allen,,49-85,,
4:46.0,,,49-85,,J. Terry enters the game for D. Motiejunas
4:46.0,,,49-85,,A. Goudelock enters the game for J. Harden
4:46.0,,,49-85,,M. Beasley enters the game for P. Beverley
4:33.0,,,49-87,2,D. Howard makes 2-pt shot from 1 ft
4:24.0,Turnover by B. Weber (bad pass),,49-87,,
4:08.0,,,49-87,,Shooting foul by R. McCallum (drawn by C. Brewer)
4:08.0,,,49-88,1,C. Brewer makes free throw 1 of 2
4:08.0,J. Martin enters the game for R. Hollins,,49-88,,
4:08.0,,,49-89,1,C. Brewer makes free throw 2 of 2
3:45.0,J. Green misses 2-pt shot from 5 ft,,49-89,,
3:44.0,,,49-89,,Defensive rebound by C. Brewer
3:35.0,,,49-89,,A. Goudelock misses 2-pt shot from 9 ft
3:34.0,,,49-89,,Offensive rebound by Team
3:34.0,Loose ball foul by J. Martin,,49-89,,
3:34.0,,,49-90,1,D. Howard makes free throw 1 of 2
3:34.0,A. Stepheson enters the game for B. Weber,,49-90,,
3:34.0,,,49-91,1,D. Howard makes free throw 2 of 2
3:10.0,R. McCallum misses 2-pt shot from 3 ft (block by D. Howard),,49-91,,
3:10.0,Offensive rebound by Team,,49-91,,
3:10.0,Turnover by Team (shot clock),,49-91,,
2:56.0,,,49-91,,Turnover by J. Terry (bad pass)
2:56.0,,,49-91,,Houston full timeout
2:56.0,B. Weber enters the game for J. Green,,49-91,,
2:43.0,J. Martin makes 2-pt shot from 19 ft (assist by R. McCallum),2,51-91,,
2:30.0,Violation by B. Weber (kicked ball),,51-91,,
2:23.0,,,51-91,,D. Howard misses 2-pt shot from 2 ft
2:22.0,Defensive rebound by B. Weber,,51-91,,
2:10.0,J. Martin misses 2-pt shot from 8 ft,,51-91,,
2:09.0,,,51-91,,Defensive rebound by Team
1:53.0,,,51-94,3,M. Beasley makes 3-pt shot from 23 ft (assist by J. Terry)
1:23.0,J. Martin misses 2-pt shot from 7 ft,,51-94,,
1:22.0,Offensive rebound by A. Stepheson,,51-94,,
1:19.0,A. Stepheson misses 2-pt shot from 8 ft (block by D. Howard),,51-94,,
1:17.0,Offensive rebound by A. Stepheson,,51-94,,
1:11.0,P. Hairston misses 3-pt shot from 26 ft,,51-94,,
1:11.0,,,51-94,,Defensive rebound by D. Howard
1:08.0,,,51-94,,Turnover by J. Terry (lost ball; steal by R. McCallum)
1:00.0,P. Hairston misses 2-pt shot from 1 ft,,51-94,,
0:59.0,Offensive rebound by A. Stepheson,,51-94,,
0:57.0,A. Stepheson misses 2-pt shot from 1 ft,,51-94,,
0:56.0,,,51-94,,Defensive rebound by D. Howard
0:51.0,,,51-97,3,J. Terry makes 3-pt shot from 25 ft (assist by A. Goudelock)
0:26.0,R. McCallum makes 3-pt shot from 24 ft (assist by J. Martin),3,54-97,,
0:07.0,Personal take foul by A. Stepheson,,54-97,,
0:07.0,,,54-97,,D. Howard misses free throw 1 of 2
0:07.0,,,54-97,,Offensive rebound by Team
0:07.0,,,54-97,,D. Howard misses free throw 2 of 2
0:07.0,Defensive rebound by J. Martin,,54-97,,
0:00.0,P. Hairston makes 2-pt shot from 8 ft (assist by R. McCallum),2,56-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Green misses 2-pt shot at rim,,56-97,,
11:43.0,,,56-97,,Defensive rebound by Team
11:29.0,,,56-100,3,K. McDaniels makes 3-pt shot from 25 ft
11:12.0,Turnover by P. Hairston (lost ball; steal by A. Goudelock),,56-100,,
11:07.0,,,56-102,2,K. McDaniels makes 2-pt shot at rim (assist by A. Goudelock)
10:34.0,J. Green misses 3-pt shot from 23 ft,,56-102,,
10:33.0,Offensive rebound by J. Martin,,56-102,,
10:32.0,J. Martin makes 2-pt shot from 2 ft,2,58-102,,
10:23.0,Personal take foul by P. Hairston,,58-102,,
10:23.0,B. Weber enters the game for P. Hairston,,58-102,,
10:13.0,,,58-105,3,A. Goudelock makes 3-pt shot from 24 ft
9:56.0,B. Weber misses 2-pt shot from 12 ft,,58-105,,
9:55.0,Offensive rebound by A. Stepheson,,58-105,,
9:55.0,A. Stepheson makes 2-pt shot from 1 ft,2,60-105,,
9:43.0,,,60-105,,A. Goudelock misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by J. Martin,,60-105,,
9:35.0,,,60-105,,Personal foul by K. McDaniels
9:19.0,A. Stepheson makes 2-pt shot from 11 ft (assist by B. Weber),2,62-105,,
8:58.0,,,62-105,,K. McDaniels misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by A. Stepheson,,62-105,,
