time,LA Clippers,pts.away,score,pts.home,Washington
3:56.0,,,106-80,,K. Oubre enters the game for M. Gortat
3:56.0,,,106-80,,R. Sessions enters the game for J. Wall
3:56.0,,,106-80,,D. Blair enters the game for O. Porter
3:56.0,L. Stephenson enters the game for A. Rivers,,106-80,,
3:46.0,C. Aldrich misses 2-pt shot at rim (block by D. Blair),,106-80,,
3:43.0,,,106-80,,Defensive rebound by K. Oubre
3:41.0,,,106-82,2,R. Sessions makes 2-pt shot at rim
3:41.0,,,106-82,,Shooting foul by W. Johnson (drawn by R. Sessions)
3:41.0,,,106-83,1,R. Sessions makes free throw 1 of 1
3:25.0,W. Johnson makes 2-pt shot at rim (assist by L. Stephenson),2,108-83,,
3:12.0,,,108-83,,Offensive foul by D. Blair
3:12.0,,,108-83,,Turnover by D. Blair (offensive foul)
3:12.0,B. Dawson enters the game for J. Crawford,,108-83,,
3:00.0,Turnover by W. Johnson (bad pass),,108-83,,
2:45.0,,,108-83,,R. Sessions misses 2-pt shot from 3 ft
2:44.0,Defensive rebound by C. Aldrich,,108-83,,
2:31.0,Turnover by P. Prigioni (bad pass; steal by R. Sessions),,108-83,,
2:27.0,,,108-83,,Shooting foul by W. Johnson (drawn by G. Temple)
2:27.0,,,108-83,,Washington full timeout
2:27.0,,,108-83,,G. Temple misses free throw 1 of 2
2:27.0,,,108-83,,Offensive rebound by Team
2:27.0,,,108-84,1,G. Temple makes free throw 2 of 2
2:14.0,L. Stephenson misses 2-pt shot from 20 ft,,108-84,,
2:13.0,,,108-84,,Defensive rebound by K. Oubre
1:57.0,,,108-84,,Shooting foul by B. Dawson (drawn by J. Eddie)
1:57.0,,,108-85,1,J. Eddie makes free throw 1 of 2
1:57.0,,,108-86,1,J. Eddie makes free throw 2 of 2
1:45.0,B. Dawson misses 2-pt shot from 1 ft (block by J. Eddie),,108-86,,
1:43.0,,,108-86,,Defensive rebound by D. Blair
1:37.0,,,108-88,2,G. Temple makes 2-pt shot from 1 ft (assist by R. Sessions)
1:16.0,C. Aldrich misses 2-pt shot from 3 ft,,108-88,,
1:15.0,,,108-88,,Defensive rebound by D. Blair
1:00.0,,,108-88,,Shooting foul by B. Dawson (drawn by G. Temple)
1:00.0,,,108-88,,G. Temple misses free throw 1 of 2
1:00.0,,,108-88,,Offensive rebound by Team
1:00.0,,,108-89,1,G. Temple makes free throw 2 of 2
0:42.0,C. Aldrich misses 2-pt shot from 3 ft,,108-89,,
0:41.0,,,108-89,,Defensive rebound by G. Temple
0:36.0,,,108-89,,K. Oubre misses 2-pt shot at rim (block by B. Dawson)
0:35.0,,,108-89,,Offensive rebound by K. Oubre
0:35.0,,,108-91,2,K. Oubre makes 2-pt shot at rim
0:15.0,Turnover by C. Aldrich (lost ball; steal by J. Eddie),,108-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
