time,Phoenix,pts.away,score,pts.home,Boston
7:41.0,,,90-106,,Defensive rebound by J. Jerebko
7:32.0,,,90-106,,A. Bradley misses 2-pt shot from 15 ft
7:31.0,Defensive rebound by Team,,90-106,,
7:31.0,D. Booker enters the game for T. Warren,,90-106,,
7:14.0,D. Booker misses 2-pt shot from 2 ft,,90-106,,
7:13.0,,,90-106,,Defensive rebound by M. Smart
7:05.0,,,90-106,,M. Smart misses 3-pt shot from 25 ft
7:04.0,,,90-106,,Offensive rebound by K. Olynyk
7:03.0,,,90-106,,K. Olynyk misses 2-pt shot from 2 ft (block by J. Leuer)
7:01.0,,,90-106,,Offensive rebound by K. Olynyk
7:01.0,,,90-106,,Shooting foul by J. Leuer (drawn by K. Olynyk)
7:01.0,,,90-106,,K. Olynyk misses free throw 1 of 2
7:01.0,,,90-106,,Offensive rebound by Team
7:01.0,M. Teletovic enters the game for J. Leuer,,90-106,,
7:01.0,,,90-107,1,K. Olynyk makes free throw 2 of 2
6:47.0,S. Weems misses 2-pt shot from 3 ft,,90-107,,
6:46.0,,,90-107,,Defensive rebound by A. Bradley
6:38.0,Personal foul by D. Booker (drawn by E. Turner),,90-107,,
6:28.0,,,90-110,3,J. Jerebko makes 3-pt shot from 24 ft (assist by A. Bradley)
6:26.0,Phoenix full timeout,,90-110,,
6:26.0,P. Tucker enters the game for S. Weems,,90-110,,
6:08.0,M. Teletovic makes 3-pt shot from 24 ft (assist by A. Goodwin),3,93-110,,
5:53.0,Personal foul by P. Tucker (drawn by K. Olynyk),,93-110,,
5:39.0,,,93-110,,A. Bradley misses 3-pt shot from 25 ft
5:38.0,,,93-110,,Offensive rebound by M. Smart
5:19.0,,,93-110,,A. Bradley misses 2-pt shot from 3 ft
5:17.0,,,93-110,,Offensive rebound by M. Smart
5:17.0,,,93-110,,M. Smart misses 2-pt shot at rim
5:16.0,,,93-110,,Offensive rebound by K. Olynyk
5:15.0,,,93-112,2,K. Olynyk makes 2-pt shot from 1 ft
5:00.0,A. Goodwin misses 2-pt shot from 3 ft (block by K. Olynyk),,93-112,,
4:59.0,,,93-112,,Defensive rebound by J. Jerebko
4:50.0,,,93-115,3,J. Jerebko makes 3-pt shot from 23 ft (assist by M. Smart)
4:35.0,P. Tucker makes 3-pt shot from 25 ft (assist by B. Knight),3,96-115,,
4:12.0,,,96-117,2,E. Turner makes 2-pt shot from 17 ft (assist by J. Jerebko)
4:00.0,,,96-117,,Personal foul by A. Bradley (drawn by M. Teletovic)
4:00.0,T. Warren enters the game for A. Goodwin,,96-117,,
3:49.0,M. Teletovic misses 2-pt shot from 13 ft,,96-117,,
3:48.0,,,96-117,,Defensive rebound by M. Smart
3:28.0,,,96-117,,M. Smart misses 2-pt shot from 18 ft
3:28.0,Defensive rebound by P. Tucker,,96-117,,
3:18.0,T. Warren makes 3-pt shot from 22 ft (assist by B. Knight),3,99-117,,
2:55.0,,,99-117,,J. Jerebko misses 2-pt shot from 5 ft
2:54.0,Defensive rebound by D. Booker,,99-117,,
2:51.0,Shooting foul by E. Turner (drawn by D. Booker),,99-117,,
2:51.0,Official timeout,,99-117,,
2:51.0,D. Booker makes free throw 1 of 2,1,100-117,,
2:51.0,D. Booker makes free throw 2 of 2,1,101-117,,
2:31.0,,,101-117,,Turnover by K. Olynyk (bad pass; steal by B. Knight)
2:09.0,M. Teletovic misses 3-pt shot from 26 ft,,101-117,,
2:08.0,,,101-117,,Defensive rebound by M. Smart
1:58.0,,,101-117,,A. Bradley misses 2-pt shot from 2 ft (block by T. Warren)
1:57.0,,,101-117,,Offensive rebound by Team
1:49.0,,,101-117,,J. Jerebko misses 2-pt shot from 4 ft
1:48.0,Defensive rebound by P. Tucker,,101-117,,
1:42.0,T. Warren misses 2-pt shot from 1 ft,,101-117,,
1:41.0,,,101-117,,Defensive rebound by A. Bradley
1:16.0,,,101-117,,K. Olynyk misses 2-pt shot from 5 ft
1:15.0,,,101-117,,Offensive rebound by M. Smart
1:11.0,Personal foul by T. Warren (drawn by K. Olynyk),,101-117,,
1:11.0,,,101-117,,R. Hunter enters the game for A. Bradley
1:11.0,,,101-117,,J. Young enters the game for E. Turner
1:11.0,A. Goodwin enters the game for B. Knight,,101-117,,
1:11.0,L. Brown enters the game for T. Warren,,101-117,,
1:00.0,,,101-117,,K. Olynyk misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by L. Brown,,101-117,,
0:56.0,,,101-117,,Personal foul by J. Young (drawn by M. Teletovic)
0:56.0,M. Teletovic makes free throw 1 of 2,1,102-117,,
0:56.0,M. Teletovic makes free throw 2 of 2,1,103-117,,
0:48.0,,,103-117,,Turnover by M. Smart (bad pass)
0:43.0,L. Brown misses 2-pt shot from 12 ft,,103-117,,
0:42.0,,,103-117,,Defensive rebound by K. Olynyk
0:36.0,,,103-117,,Turnover by K. Olynyk (lost ball; steal by P. Tucker)
0:31.0,P. Tucker misses 3-pt shot from 25 ft,,103-117,,
0:31.0,Offensive rebound by D. Booker,,103-117,,
0:28.0,D. Booker misses 3-pt shot from 23 ft,,103-117,,
0:26.0,,,103-117,,Defensive rebound by J. Jerebko
0:02.0,,,103-117,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
