time,New Orleans,pts.away,score,pts.home,Atlanta
3:03.0,,,91-100,,J. Teague misses 2-pt shot from 5 ft
3:01.0,,,91-100,,Offensive rebound by P. Millsap
3:00.0,,,91-100,,Atlanta full timeout
2:48.0,,,91-100,,Turnover by A. Horford (bad pass)
2:31.0,E. Gordon misses 2-pt shot from 1 ft,,91-100,,
2:29.0,,,91-100,,Defensive rebound by K. Korver
2:12.0,,,91-102,2,K. Bazemore makes 2-pt shot at rim (assist by A. Horford)
2:02.0,T. Douglas misses 2-pt shot from 1 ft,,91-102,,
2:00.0,Offensive rebound by R. Anderson,,91-102,,
2:00.0,R. Anderson misses 2-pt shot at rim,,91-102,,
1:59.0,,,91-102,,Defensive rebound by P. Millsap
1:40.0,,,91-104,2,P. Millsap makes 2-pt shot from 19 ft
1:40.0,,,91-104,,Shooting foul by A. Gee (drawn by P. Millsap)
1:40.0,,,91-104,,M. Muscala enters the game for A. Horford
1:40.0,,,91-105,1,P. Millsap makes free throw 1 of 1
1:40.0,New Orleans full timeout,,91-105,,
1:40.0,,,91-105,,D. Schroder enters the game for K. Korver
1:40.0,,,91-105,,T. Sefolosha enters the game for M. Muscala
1:29.0,E. Gordon makes 2-pt shot at rim,2,93-105,,
1:09.0,,,93-105,,J. Teague misses 2-pt shot from 1 ft
1:07.0,Defensive rebound by R. Anderson,,93-105,,
0:53.0,A. Gee makes 2-pt shot at rim (assist by I. Smith),2,95-105,,
0:29.0,,,95-105,,K. Bazemore misses 2-pt shot from 6 ft
0:26.0,,,95-105,,Offensive rebound by T. Sefolosha
0:06.0,,,95-105,,Shooting foul by E. Gordon (drawn by J. Teague)
0:06.0,,,95-105,,J. Teague misses free throw 1 of 2
0:06.0,,,95-105,,Offensive rebound by Team
0:06.0,,,95-105,,M. Muscala enters the game for P. Millsap
0:06.0,,,95-106,1,J. Teague makes free throw 2 of 2
0:00.0,T. Douglas makes 3-pt shot from 24 ft (assist by I. Smith),3,98-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
