time,Chicago,pts.away,score,pts.home,Philadelphia
7:28.0,,,93-71,,Offensive rebound by J. Okafor
7:24.0,,,93-71,,Shooting foul by T. Gibson (drawn by J. Okafor)
7:24.0,,,93-71,,J. Okafor misses free throw 1 of 2
7:24.0,,,93-71,,Offensive rebound by Team
7:24.0,D. McDermott enters the game for T. Snell,,93-71,,
7:24.0,,,93-71,,J. Okafor misses free throw 2 of 2
7:23.0,Defensive rebound by E. Moore,,93-71,,
7:05.0,P. Gasol misses 2-pt shot from 8 ft (block by J. Okafor),,93-71,,
7:03.0,Offensive rebound by P. Gasol,,93-71,,
7:02.0,Turnover by P. Gasol (bad pass),,93-71,,
6:45.0,,,93-71,,J. Grant misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by P. Gasol,,93-71,,
6:37.0,D. McDermott misses 2-pt shot from 18 ft,,93-71,,
6:36.0,,,93-71,,Defensive rebound by T. McConnell
6:24.0,,,93-71,,J. Grant misses 2-pt shot from 16 ft
6:22.0,Defensive rebound by A. Brooks,,93-71,,
6:14.0,E. Moore makes 2-pt shot from 5 ft (assist by T. Gibson),2,95-71,,
6:13.0,,,95-71,,Philadelphia full timeout
6:13.0,B. Portis enters the game for P. Gasol,,95-71,,
6:13.0,,,95-71,,R. Holmes enters the game for J. Okafor
6:13.0,,,95-71,,H. Thompson enters the game for J. Grant
5:52.0,,,95-73,2,H. Thompson makes 2-pt shot from 1 ft (assist by T. McConnell)
5:29.0,E. Moore misses 2-pt shot from 16 ft,,95-73,,
5:27.0,,,95-73,,Defensive rebound by N. Stauskas
5:22.0,,,95-75,2,T. McConnell makes 2-pt shot from 2 ft
4:57.0,A. Brooks misses 3-pt shot from 25 ft,,95-75,,
4:55.0,,,95-75,,Defensive rebound by Team
4:55.0,Official timeout,,95-75,,
4:42.0,,,95-75,,N. Stauskas misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by A. Brooks,,95-75,,
4:23.0,A. Brooks makes 2-pt shot from 19 ft (assist by B. Portis),2,97-75,,
4:14.0,,,97-75,,H. Thompson misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by A. Brooks,,97-75,,
4:10.0,,,97-75,,Clear path foul by H. Thompson
4:10.0,T. Gibson makes clear path free throw 1 of 2,1,98-75,,
4:10.0,T. Gibson misses clear path free throw 2 of 2,,98-75,,
4:10.0,Offensive rebound by Team,,98-75,,
4:10.0,C. Bairstow enters the game for T. Gibson,,98-75,,
4:10.0,,,98-75,,J. Sampson enters the game for I. Canaan
4:10.0,,,98-75,,C. Wood enters the game for T. McConnell
4:10.0,,,98-75,,P. Pressey enters the game for N. Stauskas
4:01.0,C. Bairstow misses 3-pt shot from 25 ft,,98-75,,
3:59.0,,,98-75,,Defensive rebound by C. Wood
3:55.0,,,98-75,,Shooting foul by A. Brooks (drawn by P. Pressey)
3:55.0,,,98-75,,P. Pressey misses free throw 1 of 2
3:55.0,,,98-75,,Offensive rebound by Team
3:55.0,,,98-76,1,P. Pressey makes free throw 2 of 2
3:48.0,B. Portis makes 2-pt shot at rim (assist by E. Moore),2,100-76,,
3:47.0,,,100-76,,Philadelphia full timeout
3:35.0,,,100-76,,P. Pressey misses 2-pt shot from 20 ft
3:34.0,,,100-76,,Offensive rebound by Team
3:34.0,Loose ball foul by C. Bairstow (drawn by R. Holmes),,100-76,,
3:23.0,,,100-78,2,C. Wood makes 2-pt shot at rim (assist by P. Pressey)
3:05.0,B. Portis misses 2-pt shot from 5 ft,,100-78,,
3:03.0,,,100-78,,Defensive rebound by J. Sampson
2:46.0,,,100-78,,H. Thompson misses 2-pt shot from 2 ft
2:45.0,,,100-78,,Offensive rebound by H. Thompson
2:45.0,,,100-78,,H. Thompson misses 2-pt shot from 2 ft
2:44.0,,,100-78,,Offensive rebound by J. Sampson
2:42.0,,,100-80,2,J. Sampson makes 2-pt shot at rim
2:34.0,A. Brooks misses 2-pt shot from 2 ft,,100-80,,
2:32.0,,,100-80,,Defensive rebound by H. Thompson
2:27.0,,,100-80,,Turnover by P. Pressey (bad pass)
2:08.0,E. Moore makes 2-pt shot from 16 ft,2,102-80,,
1:55.0,,,102-80,,P. Pressey misses 2-pt shot from 3 ft
1:52.0,,,102-80,,Offensive rebound by C. Wood
1:52.0,,,102-80,,C. Wood misses 2-pt shot from 3 ft (block by B. Portis)
1:50.0,Defensive rebound by A. Brooks,,102-80,,
1:48.0,Shooting foul by J. Sampson (drawn by A. Brooks),,102-80,,
1:48.0,A. Brooks makes free throw 1 of 2,1,103-80,,
1:48.0,A. Brooks makes free throw 2 of 2,1,104-80,,
1:41.0,,,104-80,,H. Thompson misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by C. Bairstow,,104-80,,
1:33.0,D. McDermott makes 2-pt shot from 1 ft (assist by E. Moore),2,106-80,,
1:23.0,,,106-82,2,R. Holmes makes 2-pt shot from 1 ft (assist by P. Pressey)
1:23.0,,,106-82,,Shooting foul by C. Bairstow (drawn by R. Holmes)
1:23.0,C. Felicio enters the game for A. Brooks,,106-82,,
1:23.0,,,106-83,1,R. Holmes makes free throw 1 of 1
1:08.0,D. McDermott makes 3-pt shot from 23 ft (assist by C. Felicio),3,109-83,,
1:01.0,,,109-86,3,P. Pressey makes 3-pt shot from 27 ft
0:50.0,D. McDermott misses 3-pt shot from 27 ft,,109-86,,
0:48.0,,,109-86,,Defensive rebound by J. Sampson
0:43.0,,,109-86,,Shooting foul by E. Moore (drawn by J. Sampson)
0:43.0,,,109-87,1,J. Sampson makes free throw 1 of 2
0:43.0,,,109-88,1,J. Sampson makes free throw 2 of 2
0:38.0,D. McDermott makes 2-pt shot from 5 ft,2,111-88,,
0:29.0,,,111-88,,R. Holmes misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by Team,,111-88,,
0:06.0,E. Moore misses 2-pt shot from 4 ft,,111-88,,
0:04.0,Offensive rebound by E. Moore,,111-88,,
0:02.0,E. Moore misses 2-pt shot from 3 ft,,111-88,,
0:01.0,Offensive rebound by C. Bairstow,,111-88,,
0:00.0,C. Bairstow misses 2-pt shot from 2 ft,,111-88,,
0:00.0,,,111-88,,Defensive rebound by J. Sampson
0:00.0,End of 4th quarter,,,,End of 4th quarter
