time,Houston,pts.away,score,pts.home,Milwaukee
8:33.0,D. Motiejunas misses 2-pt shot from 4 ft,,99-101,,
8:31.0,,,99-101,,Defensive rebound by J. Parker
8:12.0,,,99-101,,M. Plumlee misses 2-pt shot from 3 ft
8:10.0,Defensive rebound by J. Harden,,99-101,,
8:00.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Harden),3,102-101,,
7:47.0,,,102-101,,K. Middleton misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by D. Motiejunas,,102-101,,
7:38.0,J. Smith misses 3-pt shot from 23 ft,,102-101,,
7:37.0,,,102-101,,Defensive rebound by M. Plumlee
7:20.0,,,102-103,2,K. Middleton makes 2-pt shot from 9 ft
7:20.0,,,102-103,,Shooting foul by J. Harden (drawn by K. Middleton)
7:20.0,,,102-104,1,K. Middleton makes free throw 1 of 1
7:08.0,,,102-104,,Personal foul by K. Middleton (drawn by D. Motiejunas)
7:08.0,T. Ariza enters the game for J. Terry,,102-104,,
6:58.0,Turnover by P. Beverley (lost ball),,102-104,,
6:58.0,,,102-104,,G. Antetokounmpo enters the game for R. Vaughn
6:37.0,,,102-106,2,M. Plumlee makes 2-pt shot from 8 ft (assist by G. Antetokounmpo)
6:26.0,J. Harden makes 2-pt shot from 1 ft,2,104-106,,
6:10.0,,,104-109,3,J. Parker makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
5:59.0,Shooting foul by M. Plumlee (drawn by J. Harden),,104-109,,
5:59.0,,,104-109,,Milwaukee full timeout
5:59.0,D. Howard enters the game for D. Motiejunas,,104-109,,
5:59.0,J. Harden makes free throw 1 of 2,1,105-109,,
5:59.0,J. Harden makes free throw 2 of 2,1,106-109,,
5:39.0,,,106-109,,J. Parker misses 2-pt shot from 19 ft
5:39.0,Defensive rebound by Team,,106-109,,
5:39.0,,,106-109,,Loose ball foul by M. Plumlee (drawn by T. Ariza)
5:39.0,T. Ariza makes free throw 1 of 2,1,107-109,,
5:39.0,T. Ariza makes free throw 2 of 2,1,108-109,,
5:29.0,,,108-111,2,J. Parker makes 2-pt shot from 1 ft (assist by J. Bayless)
5:29.0,,,108-111,,Shooting foul by J. Smith (drawn by J. Parker)
5:29.0,,,108-112,1,J. Parker makes free throw 1 of 1
5:15.0,J. Smith makes 3-pt shot from 25 ft (assist by P. Beverley),3,111-112,,
4:55.0,,,111-114,2,K. Middleton makes 2-pt shot from 6 ft
4:31.0,J. Smith misses 2-pt shot from 4 ft,,111-114,,
4:30.0,,,111-114,,Defensive rebound by J. Parker
4:17.0,,,111-114,,J. Parker misses 2-pt shot from 10 ft
4:16.0,,,111-114,,Offensive rebound by M. Plumlee
4:13.0,,,111-117,3,J. Bayless makes 3-pt shot from 24 ft (assist by M. Plumlee)
4:10.0,Houston full timeout,,111-117,,
3:53.0,J. Smith misses 3-pt shot from 23 ft,,111-117,,
3:51.0,Offensive rebound by P. Beverley,,111-117,,
3:44.0,J. Harden misses 2-pt shot from 1 ft,,111-117,,
3:44.0,Offensive rebound by Team,,111-117,,
3:44.0,,,111-117,,Loose ball foul by J. Bayless (drawn by D. Howard)
3:44.0,D. Howard makes free throw 1 of 2,1,112-117,,
3:44.0,D. Howard misses free throw 2 of 2,,112-117,,
3:43.0,,,112-117,,Defensive rebound by G. Antetokounmpo
3:28.0,,,112-119,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
3:17.0,P. Beverley misses 3-pt shot from 22 ft,,112-119,,
3:15.0,Offensive rebound by T. Ariza,,112-119,,
3:08.0,Shooting foul by M. Plumlee (drawn by D. Howard),,112-119,,
3:08.0,D. Howard misses free throw 1 of 2,,112-119,,
3:08.0,Offensive rebound by Team,,112-119,,
3:08.0,C. Brewer enters the game for J. Smith,,112-119,,
3:08.0,D. Howard misses free throw 2 of 2,,112-119,,
3:04.0,,,112-119,,Defensive rebound by J. Bayless
2:46.0,,,112-122,3,J. Bayless makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
2:35.0,J. Harden misses 2-pt shot from 1 ft,,112-122,,
2:34.0,,,112-122,,Defensive rebound by G. Antetokounmpo
2:29.0,,,112-125,3,J. Bayless makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
2:27.0,Houston full timeout,,112-125,,
2:27.0,J. Terry enters the game for C. Brewer,,112-125,,
2:13.0,J. Terry makes 3-pt shot from 24 ft (assist by P. Beverley),3,115-125,,
1:57.0,,,115-125,,Turnover by M. Plumlee (bad pass; steal by J. Terry)
1:51.0,D. Howard makes 2-pt shot at rim,2,117-125,,
1:31.0,,,117-125,,Turnover by K. Middleton (lost ball; steal by P. Beverley)
1:27.0,,,117-125,,Personal foul by G. Antetokounmpo (drawn by J. Harden)
1:27.0,J. Harden makes free throw 1 of 2,1,118-125,,
1:27.0,J. Harden makes free throw 2 of 2,1,119-125,,
1:06.0,,,119-125,,G. Antetokounmpo misses 2-pt shot from 19 ft
1:04.0,,,119-125,,Offensive rebound by M. Plumlee
1:02.0,,,119-125,,K. Middleton misses 2-pt shot from 20 ft
1:02.0,,,119-125,,Offensive rebound by Team
1:02.0,,,119-125,,Turnover by Team (shot clock)
0:42.0,J. Harden misses 2-pt shot from 8 ft,,119-125,,
0:41.0,Offensive rebound by D. Howard,,119-125,,
0:41.0,D. Howard makes 2-pt shot at rim,2,121-125,,
0:20.0,,,121-125,,Turnover by K. Middleton (bad pass)
0:20.0,Houston full timeout,,121-125,,
0:20.0,Turnover by Team (5 sec inbounds),,121-125,,
0:20.0,,,121-125,,Milwaukee full timeout
0:20.0,C. Brewer enters the game for J. Terry,,121-125,,
0:20.0,,,121-125,,O. Mayo enters the game for M. Plumlee
0:20.0,Personal take foul by P. Beverley (drawn by J. Bayless),,121-125,,
0:20.0,,,121-126,1,J. Bayless makes free throw 1 of 2
0:20.0,,,121-126,,J. Bayless misses free throw 2 of 2
0:19.0,Defensive rebound by J. Harden,,121-126,,
0:18.0,Houston full timeout,,121-126,,
0:18.0,J. Terry enters the game for C. Brewer,,121-126,,
0:18.0,,,121-126,,M. Plumlee enters the game for O. Mayo
0:12.0,J. Harden misses 3-pt shot from 24 ft,,121-126,,
0:11.0,,,121-126,,Defensive rebound by Team
0:10.0,Personal take foul by J. Harden (drawn by K. Middleton),,121-126,,
0:10.0,,,121-127,1,K. Middleton makes free throw 1 of 2
0:10.0,,,121-128,1,K. Middleton makes free throw 2 of 2
0:06.0,P. Beverley misses 3-pt shot from 25 ft,,121-128,,
0:05.0,,,121-128,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 4th quarter,,,,End of 4th quarter
