time,Denver,pts.away,score,pts.home,New York
3:13.0,,,95-90,,Defensive rebound by A. Afflalo
3:08.0,,,95-90,,J. Calderon misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by W. Barton,,95-90,,
2:43.0,E. Mudiay makes 2-pt shot from 2 ft,2,97-90,,
2:42.0,,,97-90,,New York full timeout
2:42.0,,,97-90,,L. Galloway enters the game for S. Vujacic
2:22.0,,,97-90,,C. Anthony misses 2-pt shot from 4 ft (block by J. Lauvergne)
2:21.0,,,97-90,,Offensive rebound by K. Porzingis
2:18.0,,,97-92,2,C. Anthony makes 2-pt shot from 1 ft (assist by K. Porzingis)
1:54.0,W. Barton misses 2-pt shot from 5 ft,,97-92,,
1:52.0,Offensive rebound by J. Lauvergne,,97-92,,
1:49.0,Turnover by J. Lauvergne (lost ball),,97-92,,
1:38.0,,,97-92,,L. Galloway misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by W. Barton,,97-92,,
1:21.0,,,97-92,,Personal foul by A. Afflalo (drawn by J. Lauvergne)
1:12.0,D. Gallinari misses 3-pt shot from 23 ft,,97-92,,
1:10.0,Offensive rebound by Team,,97-92,,
1:10.0,Denver full timeout,,97-92,,
0:51.0,E. Mudiay misses 2-pt shot from 17 ft,,97-92,,
0:49.0,,,97-92,,Defensive rebound by J. Calderon
0:43.0,,,97-94,2,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony)
0:21.0,D. Gallinari misses 2-pt shot from 17 ft,,97-94,,
0:19.0,,,97-94,,Defensive rebound by K. Porzingis
0:12.0,,,97-94,,C. Anthony misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by W. Barton,,97-94,,
0:08.0,,,97-94,,Personal take foul by J. Calderon (drawn by W. Barton)
0:08.0,W. Barton makes free throw 1 of 2,1,98-94,,
0:08.0,W. Barton makes free throw 2 of 2,1,99-94,,
0:08.0,,,99-94,,New York full timeout
0:05.0,,,99-96,2,C. Anthony makes 2-pt shot from 1 ft
0:04.0,,,99-96,,Personal take foul by J. Calderon (drawn by W. Barton)
0:04.0,W. Barton makes free throw 1 of 2,1,100-96,,
0:04.0,W. Barton makes free throw 2 of 2,1,101-96,,
0:04.0,,,101-96,,New York full timeout
0:00.0,,,101-96,,Turnover by K. Porzingis (lost ball)
0:00.0,End of 4th quarter,,,,End of 4th quarter
