time,Golden State,pts.away,score,pts.home,Memphis
6:45.0,S. Curry misses 3-pt shot from 26 ft,,60-59,,
6:41.0,,,60-59,,Defensive rebound by M. Barnes
6:30.0,,,60-59,,V. Carter misses 2-pt shot from 17 ft
6:27.0,,,60-59,,Offensive rebound by M. Barnes
6:15.0,Personal foul by H. Barnes,,60-59,,
6:15.0,,,60-59,,X. Munford enters the game for J. Farmar
6:15.0,,,60-59,,P. Hairston enters the game for L. Stephenson
6:08.0,,,60-59,,Shooting foul by A. Iguodala (drawn by P. Hairston)
6:08.0,,,60-60,1,P. Hairston makes free throw 1 of 2
6:08.0,,,60-61,1,P. Hairston makes free throw 2 of 2
5:56.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,62-61,,
5:38.0,,,62-61,,P. Hairston misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by D. Green,,62-61,,
5:26.0,H. Barnes misses 2-pt shot from 7 ft,,62-61,,
5:25.0,,,62-61,,Defensive rebound by V. Carter
5:15.0,,,62-63,2,X. Munford makes 2-pt shot from 2 ft
4:59.0,K. Thompson misses 3-pt shot from 24 ft,,62-63,,
4:58.0,,,62-63,,Defensive rebound by X. Munford
4:47.0,,,62-63,,V. Carter misses 2-pt shot from 3 ft
4:43.0,Defensive rebound by A. Iguodala,,62-63,,
4:41.0,K. Thompson makes 2-pt shot from 2 ft (assist by H. Barnes),2,64-63,,
4:41.0,Shooting foul by M. Barnes (drawn by K. Thompson),,64-63,,
4:41.0,,,64-63,,J. Green enters the game for C. Andersen
4:41.0,B. Rush enters the game for H. Barnes,,64-63,,
4:41.0,,,64-63,,L. Stephenson enters the game for V. Carter
4:41.0,K. Thompson makes free throw 1 of 1,1,65-63,,
4:22.0,,,65-63,,J. Green misses 2-pt shot from 1 ft (block by D. Green)
4:22.0,,,65-63,,Offensive rebound by Team
4:22.0,L. Barbosa enters the game for K. Thompson,,65-63,,
