time,Philadelphia,pts.away,score,pts.home,New Orleans
4:05.0,I. Canaan enters the game for N. Stauskas,,102-111,,
4:05.0,,,102-112,1,N. Cole makes free throw 2 of 2
3:51.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith),3,105-112,,
3:38.0,,,105-112,,J. Holiday misses 2-pt shot at rim
3:37.0,Defensive rebound by R. Covington,,105-112,,
3:32.0,Shooting foul by N. Cole (drawn by I. Smith),,105-112,,
3:32.0,I. Smith misses free throw 1 of 2,,105-112,,
3:32.0,Offensive rebound by Team,,105-112,,
3:32.0,I. Smith makes free throw 2 of 2,1,106-112,,
3:14.0,,,106-114,2,R. Anderson makes 2-pt shot from 6 ft
2:54.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,108-114,,
2:35.0,Official timeout,,108-114,,
2:35.0,,,108-114,,T. Douglas enters the game for N. Cole
2:30.0,,,108-114,,A. Davis misses 2-pt shot from 16 ft
2:21.0,Jump ball: R. Anderson vs. R. Covington (A. Davis gains possession),,,,Jump ball: R. Anderson vs. R. Covington (A. Davis gains possession)
2:21.0,,,108-114,,Offensive rebound by Team
1:56.0,,,108-114,,J. Holiday misses 2-pt shot at rim
1:54.0,Defensive rebound by N. Noel,,108-114,,
1:47.0,I. Canaan misses 2-pt shot from 3 ft,,108-114,,
1:46.0,,,108-114,,Defensive rebound by J. Holiday
1:37.0,,,108-117,3,T. Douglas makes 3-pt shot from 23 ft (assist by R. Anderson)
1:37.0,Philadelphia full timeout,,108-117,,
1:37.0,H. Thompson enters the game for J. Grant,,108-117,,
1:37.0,,,108-117,,D. Cunningham enters the game for R. Anderson
1:30.0,H. Thompson misses 2-pt shot from 18 ft,,108-117,,
1:29.0,,,108-117,,Defensive rebound by A. Gee
1:08.0,,,108-117,,Turnover by J. Holiday (lost ball; steal by N. Noel)
1:00.0,Shooting foul by T. Douglas (drawn by R. Covington),,108-117,,
1:00.0,R. Covington makes free throw 1 of 3,1,109-117,,
1:00.0,R. Covington makes free throw 2 of 3,1,110-117,,
1:00.0,J. Grant enters the game for H. Thompson,,110-117,,
1:00.0,,,110-117,,R. Anderson enters the game for A. Gee
1:00.0,R. Covington makes free throw 3 of 3,1,111-117,,
1:00.0,,,111-117,,New Orleans full timeout
1:00.0,,,111-117,,N. Cole enters the game for T. Douglas
0:39.0,,,111-117,,Turnover by R. Anderson (lost ball; steal by I. Canaan)
0:32.0,I. Canaan misses 3-pt shot from 25 ft,,111-117,,
0:31.0,Offensive rebound by I. Canaan,,111-117,,
0:28.0,I. Canaan misses 2-pt shot from 1 ft,,111-117,,
0:27.0,,,111-117,,Defensive rebound by R. Anderson
0:24.0,Personal take foul by I. Smith,,111-117,,
0:24.0,,,111-118,1,J. Holiday makes free throw 1 of 2
0:24.0,,,111-118,,A. Gee enters the game for R. Anderson
0:24.0,,,111-119,1,J. Holiday makes free throw 2 of 2
0:24.0,Philadelphia full timeout,,111-119,,
0:24.0,H. Thompson enters the game for I. Smith,,111-119,,
0:24.0,N. Stauskas enters the game for J. Grant,,111-119,,
0:20.0,R. Covington makes 3-pt shot from 28 ft,3,114-119,,
0:11.0,,,114-119,,Turnover by D. Cunningham (lost ball; steal by H. Thompson)
0:09.0,,,114-119,,Violation by Team (jump ball)
0:07.0,R. Covington misses 2-pt shot from 19 ft,,114-119,,
0:05.0,,,114-119,,Defensive rebound by N. Cole
0:01.0,Personal take foul by N. Stauskas,,114-119,,
0:01.0,,,114-120,1,J. Holiday makes free throw 1 of 2
0:01.0,,,114-121,1,J. Holiday makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
