time,Philadelphia,pts.away,score,pts.home,Orlando
4:48.0,,,40-64,3,A. Gordon makes 3-pt shot from 25 ft (assist by C. Watson)
4:28.0,Shooting foul by N. Vucevic (drawn by I. Smith),,40-64,,
4:28.0,I. Smith misses free throw 1 of 2,,40-64,,
4:28.0,Offensive rebound by Team,,40-64,,
4:28.0,I. Smith makes free throw 2 of 2,1,41-64,,
4:15.0,,,41-66,2,E. Payton makes 2-pt shot from 7 ft
4:01.0,,,41-66,,Violation by N. Vucevic (kicked ball)
3:47.0,I. Smith misses 2-pt shot from 18 ft,,41-66,,
3:46.0,,,41-66,,Defensive rebound by C. Watson
3:29.0,,,41-66,,Turnover by N. Vucevic (traveling)
3:08.0,J. Grant misses 3-pt shot from 24 ft,,41-66,,
3:08.0,,,41-66,,Defensive rebound by N. Vucevic
2:59.0,,,41-68,2,A. Gordon makes 2-pt shot from 5 ft (assist by E. Payton)
2:48.0,Turnover by J. Okafor (bad pass; steal by E. Payton),,41-68,,
2:43.0,,,41-70,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
2:43.0,Philadelphia full timeout,,41-70,,
2:43.0,I. Canaan enters the game for J. Okafor,,41-70,,
2:32.0,,,41-70,,Personal foul by A. Gordon (drawn by J. Grant)
2:32.0,J. Grant makes free throw 1 of 2,1,42-70,,
2:32.0,J. Grant makes free throw 2 of 2,1,43-70,,
2:18.0,,,43-70,,Turnover by E. Payton (step out of bounds)
2:05.0,N. Noel makes 2-pt shot from 16 ft (assist by N. Stauskas),2,45-70,,
1:50.0,,,45-70,,V. Oladipo misses 2-pt shot at rim (block by J. Grant)
1:49.0,Defensive rebound by I. Smith,,45-70,,
1:44.0,I. Canaan makes 2-pt shot at rim (assist by I. Smith),2,47-70,,
1:32.0,,,47-70,,E. Payton misses 2-pt shot from 7 ft
1:30.0,,,47-70,,Offensive rebound by N. Vucevic
1:30.0,,,47-72,2,N. Vucevic makes 2-pt shot from 1 ft
1:10.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,49-72,,
0:56.0,R. Covington enters the game for J. Grant,,49-72,,
0:49.0,,,49-74,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
0:35.0,I. Canaan misses 3-pt shot from 23 ft,,49-74,,
0:34.0,Offensive rebound by N. Noel,,49-74,,
0:33.0,Shooting foul by N. Vucevic (drawn by N. Noel),,49-74,,
0:33.0,N. Noel makes free throw 1 of 2,1,50-74,,
0:33.0,J. Grant enters the game for R. Covington,,50-74,,
0:33.0,,,50-74,,J. Smith enters the game for N. Vucevic
0:33.0,N. Noel makes free throw 2 of 2,1,51-74,,
0:24.0,,,51-74,,Orlando full timeout
0:10.0,,,51-77,3,C. Watson makes 3-pt shot from 23 ft (assist by V. Oladipo)
0:00.0,J. Grant misses 3-pt shot from 24 ft,,51-77,,
0:00.0,Offensive rebound by Team,,51-77,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Shooting foul by N. Vucevic (drawn by J. Okafor),,51-77,,
11:45.0,J. Okafor makes free throw 1 of 2,1,52-77,,
11:45.0,J. Okafor misses free throw 2 of 2,,52-77,,
11:43.0,,,52-77,,Defensive rebound by A. Gordon
11:25.0,,,52-77,,M. Hezonja misses 2-pt shot from 2 ft
11:24.0,,,52-77,,Offensive rebound by N. Vucevic
11:24.0,,,52-79,2,N. Vucevic makes 2-pt shot from 1 ft
11:13.0,J. Okafor makes 2-pt shot from 2 ft,2,54-79,,
11:11.0,,,54-79,,Shooting foul by N. Stauskas (drawn by V. Oladipo)
11:11.0,,,54-80,1,V. Oladipo makes free throw 1 of 2
11:11.0,,,54-81,1,V. Oladipo makes free throw 2 of 2
10:56.0,I. Smith misses 2-pt shot from 1 ft (block by E. Payton),,54-81,,
10:54.0,,,54-81,,Defensive rebound by N. Vucevic
10:49.0,,,54-81,,M. Hezonja misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by R. Covington,,54-81,,
10:42.0,N. Stauskas misses 2-pt shot from 3 ft,,54-81,,
10:40.0,Offensive rebound by J. Okafor,,54-81,,
10:40.0,J. Okafor misses 2-pt shot from 2 ft,,54-81,,
10:37.0,Offensive rebound by J. Okafor,,54-81,,
10:37.0,J. Okafor makes 2-pt shot at rim,2,56-81,,
10:20.0,,,56-84,3,M. Hezonja makes 3-pt shot from 24 ft (assist by A. Gordon)
10:05.0,J. Okafor makes 2-pt shot from 8 ft,2,58-84,,
9:55.0,,,58-86,2,E. Payton makes 2-pt shot from 1 ft
9:55.0,Philadelphia full timeout,,58-86,,
9:55.0,J. Grant enters the game for N. Noel,,58-86,,
9:39.0,J. Okafor makes 2-pt shot at rim,2,60-86,,
9:17.0,,,60-86,,V. Oladipo misses 2-pt shot from 20 ft
9:16.0,Defensive rebound by N. Stauskas,,60-86,,
9:02.0,J. Grant makes 2-pt shot at rim (assist by R. Covington),2,62-86,,
8:55.0,,,62-86,,Orlando full timeout
8:55.0,,,62-86,,J. Smith enters the game for N. Vucevic
8:55.0,I. Canaan enters the game for N. Stauskas,,62-86,,
8:45.0,,,62-88,2,J. Smith makes 2-pt shot from 19 ft (assist by E. Payton)
8:33.0,J. Okafor makes 2-pt shot from 5 ft,2,64-88,,
8:20.0,,,64-88,,E. Payton misses 2-pt shot from 13 ft (block by J. Grant)
8:19.0,Defensive rebound by R. Covington,,64-88,,
8:12.0,R. Covington misses 3-pt shot from 25 ft,,64-88,,
8:11.0,,,64-88,,Defensive rebound by M. Hezonja
8:03.0,,,64-90,2,J. Smith makes 2-pt shot from 19 ft (assist by M. Hezonja)
7:46.0,I. Canaan makes 2-pt shot from 1 ft,2,66-90,,
7:39.0,,,66-90,,J. Smith misses 2-pt shot from 20 ft
7:38.0,Defensive rebound by I. Canaan,,66-90,,
7:15.0,J. Okafor misses 3-pt shot from 24 ft,,66-90,,
7:15.0,Offensive rebound by Team,,66-90,,
7:15.0,Turnover by Team (shot clock),,66-90,,
6:57.0,,,66-92,2,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja)
6:53.0,Offensive charge foul by J. Grant,,66-92,,
6:53.0,Turnover by J. Grant (offensive foul),,66-92,,
6:53.0,R. Holmes enters the game for J. Okafor,,66-92,,
6:39.0,,,66-92,,Shooting foul by J. Grant (drawn by V. Oladipo)
6:39.0,,,66-93,1,V. Oladipo makes free throw 1 of 2
6:39.0,,,66-93,,V. Oladipo misses free throw 2 of 2
6:37.0,Defensive rebound by R. Holmes,,66-93,,
6:28.0,Turnover by I. Smith (bad pass; steal by V. Oladipo),,66-93,,
6:25.0,,,66-95,2,V. Oladipo makes 2-pt shot at rim
6:25.0,Philadelphia full timeout,,66-95,,
6:10.0,I. Smith makes 3-pt shot from 24 ft (assist by I. Canaan),3,69-95,,
5:55.0,,,69-97,2,M. Hezonja makes 2-pt shot from 19 ft (assist by E. Payton)
5:44.0,I. Smith makes 2-pt shot from 2 ft,2,71-97,,
5:23.0,,,71-97,,J. Smith misses 2-pt shot from 19 ft
5:23.0,Defensive rebound by R. Holmes,,71-97,,
5:11.0,I. Smith misses 2-pt shot at rim (block by J. Smith),,71-97,,
5:10.0,,,71-97,,Defensive rebound by A. Gordon
4:55.0,,,71-97,,A. Gordon misses 2-pt shot from 8 ft
4:54.0,Defensive rebound by R. Holmes,,71-97,,
4:40.0,Shooting foul by J. Smith (drawn by J. Grant),,71-97,,
4:40.0,J. Grant makes free throw 1 of 2,1,72-97,,
4:40.0,T. McConnell enters the game for R. Covington,,72-97,,
4:40.0,J. Grant misses free throw 2 of 2,,72-97,,
4:38.0,,,72-97,,Defensive rebound by J. Smith
4:28.0,,,72-97,,Turnover by E. Payton (bad pass)
4:20.0,,,72-97,,Personal block foul by J. Smith (drawn by I. Canaan)
4:08.0,Shooting foul by E. Payton (drawn by I. Smith),,72-97,,
4:08.0,I. Smith makes free throw 1 of 2,1,73-97,,
4:08.0,I. Smith makes free throw 2 of 2,1,74-97,,
