time,Washington,pts.away,score,pts.home,Golden State
4:28.0,,,76-95,,Turnover by S. Curry (lost ball; steal by R. Sessions)
4:22.0,J. Dudley makes 2-pt shot from 2 ft (assist by R. Sessions),2,78-95,,
4:06.0,,,78-97,2,J. McAdoo makes 2-pt shot from 2 ft (assist by L. Barbosa)
3:49.0,J. Hickson makes 2-pt shot from 2 ft (assist by M. Thornton),2,80-97,,
3:49.0,Shooting foul by D. Green (drawn by J. Hickson),,80-97,,
3:49.0,J. Hickson makes free throw 1 of 1,1,81-97,,
3:33.0,,,81-99,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
3:21.0,K. Oubre makes 2-pt shot from 2 ft (assist by R. Sessions),2,83-99,,
3:21.0,Shooting foul by D. Green (drawn by K. Oubre),,83-99,,
3:21.0,K. Oubre makes free throw 1 of 1,1,84-99,,
3:08.0,,,84-99,,J. McAdoo misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by M. Thornton,,84-99,,
3:01.0,J. Hickson makes 2-pt shot at rim (assist by M. Thornton),2,86-99,,
3:01.0,,,86-99,,Golden State full timeout
2:47.0,Shooting block foul by K. Oubre (drawn by J. McAdoo),,86-99,,
2:47.0,,,86-100,1,J. McAdoo makes free throw 1 of 2
2:47.0,,,86-100,,J. McAdoo misses free throw 2 of 2
2:46.0,Defensive rebound by J. Hickson,,86-100,,
2:31.0,K. Oubre misses 3-pt shot from 26 ft,,86-100,,
2:30.0,Offensive rebound by J. Hickson,,86-100,,
2:26.0,J. Hickson misses 2-pt shot from 3 ft (block by J. McAdoo),,86-100,,
2:26.0,Offensive rebound by Team,,86-100,,
2:19.0,,,86-100,,Personal foul by S. Curry
2:19.0,R. Sessions makes free throw 1 of 2,1,87-100,,
2:19.0,,,87-100,,I. Clark enters the game for S. Curry
2:19.0,R. Sessions misses free throw 2 of 2,,87-100,,
2:17.0,,,87-100,,Defensive rebound by D. Green
2:02.0,,,87-100,,K. Thompson misses 3-pt shot from 23 ft
2:02.0,,,87-100,,Offensive rebound by L. Barbosa
1:57.0,,,87-100,,L. Barbosa misses 2-pt shot from 12 ft
1:56.0,Defensive rebound by J. Hickson,,87-100,,
1:49.0,J. Hickson makes 2-pt shot from 6 ft (assist by M. Thornton),2,89-100,,
1:49.0,Shooting foul by K. Thompson (drawn by J. Hickson),,89-100,,
1:49.0,J. Hickson misses free throw 1 of 1,,89-100,,
1:48.0,,,89-100,,Defensive rebound by K. Thompson
1:30.0,,,89-100,,I. Clark misses 2-pt shot from 19 ft
1:30.0,Defensive rebound by M. Thornton,,89-100,,
1:19.0,J. Hickson makes 2-pt shot at rim (assist by M. Thornton),2,91-100,,
0:53.0,,,91-100,,K. Thompson misses 2-pt shot from 18 ft
0:53.0,Defensive rebound by M. Thornton,,91-100,,
0:47.0,M. Thornton misses 3-pt shot from 26 ft (block by D. Green),,91-100,,
0:45.0,Offensive rebound by J. Hickson,,91-100,,
0:42.0,K. Oubre makes 2-pt shot at rim,2,93-100,,
0:42.0,Shooting foul by J. McAdoo (drawn by K. Oubre),,93-100,,
0:42.0,,,93-100,,S. Curry enters the game for L. Barbosa
0:42.0,,,93-100,,H. Barnes enters the game for J. McAdoo
0:42.0,K. Oubre makes free throw 1 of 1,1,94-100,,
0:21.0,,,94-100,,K. Thompson misses 2-pt shot from 3 ft
0:20.0,Defensive rebound by K. Oubre,,94-100,,
0:15.0,Turnover by R. Sessions (bad pass),,94-100,,
0:12.0,Personal foul by R. Sessions,,94-100,,
0:12.0,,,94-101,1,H. Barnes makes free throw 1 of 2
0:12.0,,,94-102,1,H. Barnes makes free throw 2 of 2
0:12.0,Washington full timeout,,94-102,,
0:11.0,M. Thornton misses 3-pt shot from 28 ft,,94-102,,
0:08.0,,,94-102,,Defensive rebound by S. Curry
0:00.0,End of 4th quarter,,,,End of 4th quarter
