time,Washington,pts.away,score,pts.home,Chicago
4:46.0,M. Morris enters the game for J. Dudley,,92-101,,
4:33.0,B. Beal misses 3-pt shot from 25 ft,,92-101,,
4:32.0,,,92-101,,Defensive rebound by P. Gasol
4:19.0,Personal foul by M. Gortat,,92-101,,
4:19.0,G. Temple enters the game for R. Sessions,,92-101,,
4:14.0,,,92-101,,Turnover by E. Moore (lost ball; steal by J. Wall)
4:10.0,J. Wall makes 2-pt shot from 1 ft,2,94-101,,
3:51.0,,,94-103,2,E. Moore makes 2-pt shot from 4 ft (assist by P. Gasol)
3:32.0,B. Beal makes 2-pt shot from 2 ft,2,96-103,,
3:14.0,,,96-105,2,E. Moore makes 2-pt shot from 11 ft
2:55.0,J. Wall misses 2-pt shot from 11 ft,,96-105,,
2:52.0,Offensive rebound by M. Gortat,,96-105,,
2:49.0,B. Beal misses 2-pt shot from 2 ft,,96-105,,
2:48.0,,,96-105,,Defensive rebound by P. Gasol
2:30.0,,,96-105,,E. Moore misses 2-pt shot from 9 ft
2:29.0,Defensive rebound by M. Morris,,96-105,,
2:23.0,B. Beal misses 3-pt shot from 24 ft,,96-105,,
2:22.0,,,96-105,,Defensive rebound by P. Gasol
2:01.0,,,96-107,2,D. McDermott makes 2-pt shot from 16 ft (assist by T. Gibson)
1:43.0,M. Gortat misses 2-pt shot from 11 ft,,96-107,,
1:42.0,Offensive rebound by Team,,96-107,,
1:30.0,G. Temple makes 3-pt shot from 22 ft (assist by B. Beal),3,99-107,,
1:30.0,Violation by Team (delay of game),,99-107,,
1:15.0,,,99-109,2,E. Moore makes 2-pt shot from 15 ft
1:12.0,Offensive charge foul by B. Beal,,99-109,,
1:12.0,Turnover by B. Beal (offensive foul),,99-109,,
0:59.0,,,99-109,,D. McDermott misses 2-pt shot from 17 ft
0:58.0,Defensive rebound by G. Temple,,99-109,,
0:55.0,,,99-109,,Personal foul by D. McDermott
0:55.0,G. Temple makes free throw 1 of 2,1,100-109,,
0:55.0,,,100-109,,A. Brooks enters the game for D. McDermott
0:55.0,G. Temple misses free throw 2 of 2,,100-109,,
0:54.0,,,100-109,,Defensive rebound by P. Gasol
0:34.0,,,100-109,,A. Brooks misses 3-pt shot from 22 ft
0:33.0,Defensive rebound by M. Morris,,100-109,,
0:31.0,Shooting foul by M. Dunleavy (drawn by B. Beal),,100-109,,
0:31.0,B. Beal makes free throw 1 of 2,1,101-109,,
0:31.0,B. Beal misses free throw 2 of 2,,101-109,,
0:30.0,,,101-109,,Defensive rebound by P. Gasol
0:09.0,,,101-109,,A. Brooks misses 2-pt shot from 21 ft
0:08.0,Defensive rebound by M. Gortat,,101-109,,
0:03.0,J. Wall makes 3-pt shot from 24 ft,3,104-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
