time,Brooklyn,pts.away,score,pts.home,LA Clippers
2:56.0,M. Brown makes 2-pt shot from 19 ft (assist by B. Lopez),2,88-97,,
2:56.0,Shooting foul by J. Redick (drawn by M. Brown),,88-97,,
2:56.0,,,88-97,,LA Clippers full timeout
2:56.0,M. Brown misses free throw 1 of 1,,88-97,,
2:55.0,,,88-97,,Defensive rebound by P. Pierce
2:39.0,,,88-97,,P. Pierce misses 3-pt shot from 23 ft
2:38.0,Defensive rebound by B. Bogdanovic,,88-97,,
2:26.0,M. Brown misses 2-pt shot from 19 ft,,88-97,,
2:25.0,,,88-97,,Defensive rebound by P. Pierce
2:09.0,,,88-99,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:54.0,Shooting foul by D. Jordan (drawn by B. Lopez),,88-99,,
1:54.0,B. Lopez makes free throw 1 of 2,1,89-99,,
1:54.0,S. Larkin enters the game for D. Sloan,,89-99,,
1:54.0,B. Lopez makes free throw 2 of 2,1,90-99,,
1:41.0,,,90-101,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:28.0,Shooting foul by J. Crawford (drawn by B. Bogdanovic),,90-101,,
1:28.0,B. Bogdanovic makes free throw 1 of 2,1,91-101,,
1:28.0,B. Bogdanovic makes free throw 2 of 2,1,92-101,,
1:14.0,,,92-103,2,C. Paul makes 2-pt shot from 2 ft
1:06.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Larkin),3,95-103,,
0:47.0,,,95-103,,J. Redick misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by T. Young,,95-103,,
0:36.0,T. Young misses 2-pt shot from 4 ft,,95-103,,
0:34.0,,,95-103,,Defensive rebound by C. Paul
0:34.0,Personal take foul by B. Lopez (drawn by C. Paul),,95-103,,
0:34.0,T. Robinson enters the game for B. Lopez,,95-103,,
0:34.0,W. Reed enters the game for T. Young,,95-103,,
0:34.0,S. Karasev enters the game for M. Brown,,95-103,,
0:17.0,,,95-105,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:00.0,End of 4th quarter,,,,End of 4th quarter
