time,Oklahoma City,pts.away,score,pts.home,Orlando
6:52.0,,,86-98,1,E. Fournier makes free throw 2 of 2
6:34.0,K. Durant makes 2-pt shot at rim (assist by D. Augustin),2,88-98,,
6:25.0,,,88-98,,Turnover by T. Harris (lost ball; steal by R. Westbrook)
6:21.0,R. Westbrook makes 2-pt shot at rim,2,90-98,,
6:21.0,,,90-98,,Orlando full timeout
6:21.0,,,90-98,,A. Gordon enters the game for E. Fournier
6:00.0,,,90-98,,T. Harris misses 2-pt shot at rim
5:59.0,,,90-98,,Offensive rebound by T. Harris
5:59.0,,,90-100,2,T. Harris makes 2-pt shot at rim
5:45.0,Turnover by R. Westbrook (bad pass; steal by V. Oladipo),,90-100,,
5:42.0,,,90-100,,Turnover by T. Harris (lost ball; steal by K. Durant)
5:40.0,Turnover by R. Westbrook (step out of bounds),,90-100,,
5:30.0,,,90-100,,Offensive foul by T. Harris
5:30.0,,,90-100,,Turnover by T. Harris (offensive foul)
5:14.0,D. Waiters makes 3-pt shot from 25 ft (assist by D. Augustin),3,93-100,,
4:58.0,,,93-100,,E. Payton misses 2-pt shot from 6 ft
4:56.0,,,93-100,,Offensive rebound by T. Harris
4:52.0,,,93-103,3,E. Payton makes 3-pt shot from 22 ft (assist by T. Harris)
4:37.0,K. Durant makes 3-pt shot from 24 ft (assist by D. Augustin),3,96-103,,
4:18.0,,,96-103,,Shooting foul by E. Kanter (drawn by N. Vucevic)
4:18.0,,,96-104,1,N. Vucevic makes free throw 1 of 2
4:18.0,,,96-104,,E. Fournier enters the game for V. Oladipo
4:18.0,,,96-104,,N. Vucevic misses free throw 2 of 2
4:17.0,,,96-104,,Offensive rebound by E. Payton
3:58.0,,,96-104,,E. Payton misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by D. Waiters,,96-104,,
3:54.0,Shooting foul by E. Payton (drawn by K. Durant),,96-104,,
3:54.0,K. Durant makes free throw 1 of 2,1,97-104,,
3:54.0,K. Durant makes free throw 2 of 2,1,98-104,,
3:40.0,,,98-106,2,A. Gordon makes 2-pt shot from 5 ft (assist by E. Payton)
3:21.0,Turnover by D. Waiters (lost ball),,98-106,,
3:21.0,,,98-106,,V. Oladipo enters the game for A. Gordon
3:11.0,,,98-106,,Shooting foul by D. Augustin (drawn by N. Vucevic)
3:11.0,,,98-107,1,N. Vucevic makes free throw 1 of 2
3:11.0,,,98-108,1,N. Vucevic makes free throw 2 of 2
2:59.0,R. Westbrook makes 2-pt shot from 2 ft,2,100-108,,
2:43.0,,,100-108,,T. Harris misses 2-pt shot from 7 ft
2:42.0,Defensive rebound by Team,,100-108,,
2:42.0,Official timeout,,100-108,,
2:29.0,D. Augustin makes 2-pt shot from 1 ft,2,102-108,,
2:06.0,,,102-108,,V. Oladipo misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by D. Waiters,,102-108,,
1:55.0,R. Westbrook makes 2-pt shot from 2 ft,2,104-108,,
1:55.0,Shooting foul by N. Vucevic (drawn by R. Westbrook),,104-108,,
1:55.0,R. Westbrook misses free throw 1 of 1,,104-108,,
1:54.0,,,104-108,,Defensive rebound by E. Payton
1:40.0,,,104-108,,N. Vucevic misses 2-pt shot from 7 ft (block by E. Kanter)
1:38.0,Defensive rebound by D. Waiters,,104-108,,
1:34.0,Shooting foul by N. Vucevic (drawn by R. Westbrook),,104-108,,
1:34.0,R. Westbrook makes free throw 1 of 2,1,105-108,,
1:34.0,R. Westbrook makes free throw 2 of 2,1,106-108,,
1:23.0,,,106-110,2,E. Payton makes 2-pt shot from 2 ft
1:09.0,D. Augustin makes 3-pt shot from 23 ft (assist by K. Durant),3,109-110,,
0:58.0,,,109-110,,E. Payton misses 2-pt shot from 2 ft (block by R. Westbrook)
0:56.0,Defensive rebound by E. Kanter,,109-110,,
0:43.0,D. Waiters misses 3-pt shot from 24 ft,,109-110,,
0:42.0,,,109-110,,Defensive rebound by V. Oladipo
0:21.0,,,109-110,,Shooting foul by E. Kanter (drawn by V. Oladipo)
0:21.0,S. Adams enters the game for E. Kanter,,109-110,,
0:21.0,,,109-111,1,V. Oladipo makes free throw 1 of 2
0:21.0,A. Roberson enters the game for D. Waiters,,109-111,,
0:21.0,,,109-112,1,V. Oladipo makes free throw 2 of 2
0:21.0,Oklahoma City full timeout,,109-112,,
0:21.0,,,109-112,,A. Gordon enters the game for E. Fournier
0:21.0,D. Waiters enters the game for A. Roberson,,109-112,,
0:17.0,R. Westbrook makes 2-pt shot from 1 ft,2,111-112,,
0:17.0,,,111-112,,Orlando full timeout
0:17.0,,,111-112,,E. Fournier enters the game for E. Payton
0:17.0,A. Roberson enters the game for D. Augustin,,111-112,,
0:16.0,Personal take foul by R. Westbrook (drawn by A. Gordon),,111-112,,
0:16.0,,,111-113,1,A. Gordon makes free throw 1 of 2
0:16.0,,,111-114,1,A. Gordon makes free throw 2 of 2
0:16.0,Oklahoma City full timeout,,111-114,,
0:16.0,D. Augustin enters the game for A. Roberson,,111-114,,
0:16.0,,,111-114,,E. Payton enters the game for E. Fournier
0:14.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Waiters),3,114-114,,
0:14.0,,,114-114,,Orlando full timeout
0:14.0,,,114-114,,E. Fournier enters the game for E. Payton
0:14.0,A. Roberson enters the game for D. Augustin,,114-114,,
0:14.0,S. Ibaka enters the game for D. Waiters,,114-114,,
0:04.0,,,114-117,3,V. Oladipo makes 3-pt shot from 25 ft
0:01.0,R. Westbrook makes 3-pt shot from 37 ft,3,117-117,,
0:01.0,,,117-117,,Orlando full timeout
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession)
4:45.0,R. Westbrook makes 2-pt shot from 16 ft,2,119-117,,
4:30.0,Personal foul by R. Westbrook (drawn by T. Harris),,119-117,,
4:23.0,,,119-117,,E. Payton misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by K. Durant,,119-117,,
4:14.0,R. Westbrook makes 2-pt shot from 12 ft,2,121-117,,
4:01.0,,,121-117,,V. Oladipo misses 2-pt shot from 2 ft (block by S. Adams)
4:01.0,,,121-117,,Offensive rebound by Team
3:53.0,,,121-117,,E. Fournier misses 2-pt shot from 21 ft
3:52.0,,,121-117,,Offensive rebound by E. Fournier
3:47.0,Personal foul by S. Adams (drawn by N. Vucevic),,121-117,,
3:40.0,,,121-117,,Shooting foul by S. Adams (drawn by N. Vucevic)
3:40.0,,,121-118,1,N. Vucevic makes free throw 1 of 2
3:40.0,,,121-119,1,N. Vucevic makes free throw 2 of 2
3:30.0,,,121-119,,Personal foul by V. Oladipo (drawn by R. Westbrook)
3:24.0,R. Westbrook makes 2-pt shot from 2 ft,2,123-119,,
3:24.0,Shooting foul by N. Vucevic (drawn by R. Westbrook),,123-119,,
3:24.0,R. Westbrook makes free throw 1 of 1,1,124-119,,
3:10.0,,,124-119,,N. Vucevic misses 2-pt shot from 5 ft
3:08.0,,,124-119,,Offensive rebound by T. Harris
3:08.0,,,124-119,,Turnover by T. Harris (lost ball)
2:55.0,K. Durant misses 3-pt shot from 25 ft,,124-119,,
2:54.0,,,124-119,,Defensive rebound by V. Oladipo
2:47.0,,,124-119,,Turnover by V. Oladipo (lost ball; steal by S. Adams)
2:44.0,Turnover by K. Durant (bad pass; steal by E. Payton),,124-119,,
2:30.0,,,124-119,,E. Payton misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by K. Durant,,124-119,,
2:21.0,Oklahoma City full timeout,,124-119,,
2:06.0,R. Westbrook misses 3-pt shot from 26 ft,,124-119,,
2:05.0,,,124-119,,Defensive rebound by V. Oladipo
1:58.0,,,124-119,,N. Vucevic misses 2-pt shot from 17 ft
1:56.0,Defensive rebound by K. Durant,,124-119,,
1:40.0,D. Waiters misses 2-pt shot from 19 ft,,124-119,,
1:39.0,,,124-119,,Defensive rebound by E. Payton
1:38.0,Personal foul by D. Augustin (drawn by E. Payton),,124-119,,
1:38.0,,,124-120,1,E. Payton makes free throw 1 of 2
1:38.0,,,124-121,1,E. Payton makes free throw 2 of 2
1:22.0,R. Westbrook misses 2-pt shot from 2 ft (block by N. Vucevic),,124-121,,
1:21.0,,,124-121,,Defensive rebound by E. Fournier
1:18.0,,,124-121,,Shooting foul by D. Augustin (drawn by T. Harris)
1:18.0,,,124-122,1,T. Harris makes free throw 1 of 2
1:18.0,,,124-123,1,T. Harris makes free throw 2 of 2
1:03.0,K. Durant misses 2-pt shot from 18 ft,,124-123,,
1:01.0,Offensive rebound by S. Adams,,124-123,,
1:01.0,S. Adams misses 2-pt shot from 1 ft,,124-123,,
1:00.0,Offensive rebound by R. Westbrook,,124-123,,
0:41.0,D. Augustin misses 3-pt shot from 22 ft,,124-123,,
0:40.0,,,124-123,,Defensive rebound by Team
0:39.0,,,124-123,,Orlando full timeout
0:39.0,S. Ibaka enters the game for D. Augustin,,124-123,,
0:39.0,A. Roberson enters the game for D. Waiters,,124-123,,
0:32.0,,,124-123,,E. Fournier misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by K. Durant,,124-123,,
0:20.0,Oklahoma City full timeout,,124-123,,
0:20.0,D. Waiters enters the game for S. Ibaka,,124-123,,
0:20.0,D. Augustin enters the game for A. Roberson,,124-123,,
0:08.0,R. Westbrook makes 2-pt shot from 17 ft,2,126-123,,
0:08.0,,,126-123,,Orlando full timeout
0:08.0,S. Ibaka enters the game for D. Augustin,,126-123,,
0:08.0,A. Roberson enters the game for D. Waiters,,126-123,,
0:00.0,,,126-126,3,V. Oladipo makes 3-pt shot from 24 ft
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession)
4:49.0,R. Westbrook misses 2-pt shot from 2 ft,,126-126,,
4:48.0,Offensive rebound by S. Adams,,126-126,,
4:45.0,K. Durant misses 3-pt shot from 24 ft,,126-126,,
4:45.0,,,126-126,,Defensive rebound by Team
4:35.0,,,126-126,,Shooting foul by D. Waiters (drawn by T. Harris)
4:35.0,,,126-126,,T. Harris misses free throw 1 of 2
4:35.0,,,126-126,,Offensive rebound by Team
4:35.0,,,126-126,,T. Harris misses free throw 2 of 2
4:34.0,Defensive rebound by D. Waiters,,126-126,,
4:19.0,K. Durant makes 2-pt shot from 19 ft,2,128-126,,
4:07.0,,,128-126,,Shooting foul by K. Durant (drawn by N. Vucevic)
4:07.0,,,128-126,,N. Vucevic misses free throw 1 of 2
4:07.0,,,128-126,,Offensive rebound by Team
4:07.0,,,128-127,1,N. Vucevic makes free throw 2 of 2
3:54.0,K. Durant misses 2-pt shot from 11 ft,,128-127,,
3:52.0,Offensive rebound by R. Westbrook,,128-127,,
3:52.0,R. Westbrook makes 2-pt shot from 1 ft,2,130-127,,
3:29.0,,,130-127,,E. Fournier misses 3-pt shot from 25 ft
3:28.0,,,130-127,,Offensive rebound by N. Vucevic
3:17.0,,,130-127,,T. Harris misses 2-pt shot from 15 ft
3:16.0,Defensive rebound by D. Waiters,,130-127,,
3:04.0,R. Westbrook makes 2-pt shot from 17 ft,2,132-127,,
3:03.0,,,132-127,,Orlando full timeout
2:55.0,,,132-127,,Shooting foul by K. Durant (drawn by T. Harris)
2:55.0,,,132-128,1,T. Harris makes free throw 1 of 2
2:55.0,,,132-128,,A. Gordon enters the game for E. Fournier
2:55.0,,,132-129,1,T. Harris makes free throw 2 of 2
2:38.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,134-129,,
2:19.0,,,134-129,,V. Oladipo misses 2-pt shot from 7 ft
2:17.0,Defensive rebound by R. Westbrook,,134-129,,
2:02.0,R. Westbrook misses 3-pt shot from 26 ft,,134-129,,
2:01.0,,,134-129,,Defensive rebound by A. Gordon
1:54.0,,,134-131,2,E. Payton makes 2-pt shot from 1 ft
1:35.0,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook),2,136-131,,
1:25.0,,,136-131,,Offensive foul by A. Gordon
1:25.0,,,136-131,,Turnover by A. Gordon (offensive foul)
1:09.0,S. Adams misses 2-pt shot from 7 ft,,136-131,,
1:08.0,,,136-131,,Defensive rebound by V. Oladipo
1:01.0,,,136-131,,V. Oladipo misses 2-pt shot from 2 ft (block by D. Waiters)
1:00.0,Defensive rebound by K. Durant,,136-131,,
0:43.0,K. Durant misses 2-pt shot from 2 ft (block by V. Oladipo),,136-131,,
0:41.0,,,136-131,,Defensive rebound by N. Vucevic
0:36.0,,,136-134,3,E. Payton makes 3-pt shot from 24 ft (assist by V. Oladipo)
0:29.0,Oklahoma City full timeout,,136-134,,
0:29.0,,,136-134,,D. Dedmon enters the game for N. Vucevic
0:16.0,R. Westbrook misses 2-pt shot from 1 ft,,136-134,,
0:13.0,Offensive rebound by R. Westbrook,,136-134,,
0:10.0,,,136-134,,Personal take foul by T. Harris (drawn by K. Durant)
0:09.0,,,136-134,,Personal foul by A. Gordon (drawn by S. Adams)
0:09.0,S. Adams makes free throw 1 of 2,1,137-134,,
0:09.0,,,137-134,,N. Vucevic enters the game for D. Dedmon
0:09.0,S. Adams makes free throw 2 of 2,1,138-134,,
0:09.0,,,138-134,,Orlando full timeout
0:09.0,,,138-134,,E. Fournier enters the game for A. Gordon
0:09.0,S. Ibaka enters the game for S. Adams,,138-134,,
0:09.0,A. Roberson enters the game for D. Augustin,,138-134,,
0:07.0,,,138-134,,Shooting foul by S. Ibaka (drawn by T. Harris)
0:07.0,,,138-135,1,T. Harris makes free throw 1 of 2
0:07.0,S. Adams enters the game for D. Waiters,,138-135,,
0:07.0,,,138-135,,A. Gordon enters the game for E. Fournier
0:07.0,,,138-136,1,T. Harris makes free throw 2 of 2
0:07.0,Oklahoma City full timeout,,138-136,,
0:07.0,D. Waiters enters the game for S. Adams,,138-136,,
0:07.0,D. Augustin enters the game for A. Roberson,,138-136,,
0:07.0,,,138-136,,E. Fournier enters the game for N. Vucevic
0:06.0,,,138-136,,Personal take foul by A. Gordon (drawn by R. Westbrook)
0:06.0,R. Westbrook misses free throw 1 of 2,,138-136,,
0:06.0,Offensive rebound by Team,,138-136,,
0:06.0,,,138-136,,N. Vucevic enters the game for E. Fournier
0:06.0,S. Adams enters the game for D. Waiters,,138-136,,
0:06.0,A. Roberson enters the game for D. Augustin,,138-136,,
0:06.0,R. Westbrook makes free throw 2 of 2,1,139-136,,
0:06.0,,,139-136,,Orlando full timeout
0:06.0,,,139-136,,E. Fournier enters the game for A. Gordon
0:03.0,,,139-136,,E. Fournier misses 3-pt shot from 23 ft (block by K. Durant)
0:03.0,,,139-136,,Offensive rebound by Team
0:02.0,,,139-136,,V. Oladipo misses 3-pt shot from 22 ft (block by K. Durant)
0:00.0,,,139-136,,Offensive rebound by Team
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
