time,LA Clippers,pts.away,score,pts.home,Boston
4:46.0,,,112-107,,Defensive rebound by J. Crowder
4:30.0,,,112-109,2,I. Thomas makes 2-pt shot at rim (assist by J. Crowder)
4:06.0,J. Crawford misses 3-pt shot from 26 ft,,112-109,,
4:05.0,Offensive rebound by L. Stephenson,,112-109,,
4:04.0,L. Stephenson makes 2-pt shot at rim,2,114-109,,
3:51.0,,,114-111,2,J. Sullinger makes 2-pt shot at rim (assist by I. Thomas)
3:29.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,116-111,,
3:21.0,Personal foul by J. Crawford (drawn by M. Smart),,116-111,,
3:20.0,,,116-111,,I. Thomas misses 2-pt shot from 2 ft
3:19.0,Defensive rebound by C. Paul,,116-111,,
3:18.0,,,116-111,,Personal foul by I. Thomas (drawn by C. Paul)
3:18.0,,,116-111,,Technical foul by I. Thomas (drawn by C. Paul)
3:18.0,J. Crawford makes technical free throw,1,117-111,,
3:05.0,J. Crawford misses 2-pt shot from 2 ft,,117-111,,
3:04.0,,,117-111,,Defensive rebound by J. Crowder
3:00.0,,,117-113,2,I. Thomas makes 2-pt shot at rim (assist by J. Crowder)
2:39.0,J. Crawford misses 3-pt shot from 24 ft,,117-113,,
2:37.0,,,117-113,,Defensive rebound by J. Crowder
2:25.0,,,117-113,,J. Crowder misses 3-pt shot from 24 ft
2:24.0,Defensive rebound by D. Jordan,,117-113,,
2:23.0,,,117-113,,Personal foul by J. Sullinger (drawn by D. Jordan)
2:23.0,LA Clippers full timeout,,117-113,,
2:23.0,,,117-113,,Inbound foul by J. Sullinger (drawn by D. Jordan)
2:23.0,D. Jordan misses free throw 1 of 2,,117-113,,
2:23.0,Offensive rebound by Team,,117-113,,
2:23.0,D. Jordan makes free throw 2 of 2,1,118-113,,
2:13.0,,,118-115,2,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas)
2:04.0,LA Clippers full timeout,,118-115,,
2:04.0,P. Pierce enters the game for D. Jordan,,118-115,,
2:04.0,,,118-115,,E. Turner enters the game for J. Sullinger
1:48.0,C. Paul misses 3-pt shot from 27 ft,,118-115,,
1:47.0,,,118-115,,Defensive rebound by M. Smart
1:43.0,Personal foul by J. Redick (drawn by I. Thomas),,118-115,,
1:43.0,,,118-115,,J. Jerebko enters the game for E. Turner
1:43.0,D. Jordan enters the game for P. Pierce,,118-115,,
1:33.0,,,118-115,,J. Jerebko misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by L. Stephenson,,118-115,,
1:16.0,Shooting foul by J. Crowder (drawn by D. Jordan),,118-115,,
1:16.0,D. Jordan makes free throw 1 of 2,1,119-115,,
1:16.0,,,119-115,,J. Sullinger enters the game for I. Thomas
1:16.0,D. Jordan makes free throw 2 of 2,1,120-115,,
1:16.0,,,120-115,,Boston full timeout
1:16.0,,,120-115,,I. Thomas enters the game for J. Jerebko
1:16.0,L. Mbah a Moute enters the game for J. Crawford,,120-115,,
1:05.0,,,120-115,,M. Smart misses 3-pt shot from 24 ft
1:03.0,,,120-115,,Offensive rebound by J. Crowder
1:00.0,,,120-115,,A. Bradley misses 3-pt shot from 23 ft
0:59.0,,,120-115,,Offensive rebound by J. Sullinger
0:56.0,,,120-117,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
0:56.0,,,120-117,,Shooting foul by D. Jordan (drawn by I. Thomas)
0:56.0,P. Pierce enters the game for L. Mbah a Moute,,120-117,,
0:56.0,,,120-117,,J. Jerebko enters the game for J. Sullinger
0:56.0,W. Johnson enters the game for D. Jordan,,120-117,,
0:56.0,,,120-117,,I. Thomas misses free throw 1 of 1
0:56.0,,,120-117,,Offensive rebound by M. Smart
0:55.0,,,120-117,,Shooting foul by W. Johnson (drawn by M. Smart)
0:55.0,,,120-118,1,M. Smart makes free throw 1 of 2
0:55.0,,,120-118,,M. Smart misses free throw 2 of 2
0:54.0,Defensive rebound by Team,,120-118,,
0:53.0,,,120-118,,Loose ball foul by M. Smart (drawn by J. Redick)
0:53.0,J. Redick makes free throw 1 of 2,1,121-118,,
0:53.0,L. Mbah a Moute enters the game for P. Pierce,,121-118,,
0:53.0,D. Jordan enters the game for W. Johnson,,121-118,,
0:53.0,J. Redick makes free throw 2 of 2,1,122-118,,
0:53.0,,,122-118,,Boston full timeout
0:53.0,,,122-118,,E. Turner enters the game for M. Smart
0:46.0,,,122-120,2,I. Thomas makes 2-pt shot from 11 ft
0:46.0,LA Clippers full timeout,,122-120,,
0:46.0,J. Crawford enters the game for L. Mbah a Moute,,122-120,,
0:46.0,P. Pierce enters the game for L. Stephenson,,122-120,,
0:25.0,C. Paul misses 3-pt shot from 25 ft,,122-120,,
0:24.0,Offensive rebound by Team,,122-120,,
0:23.0,,,122-120,,Loose ball foul by J. Crowder (drawn by D. Jordan)
0:23.0,D. Jordan misses free throw 1 of 2,,122-120,,
0:23.0,Offensive rebound by Team,,122-120,,
0:23.0,L. Stephenson enters the game for P. Pierce,,122-120,,
0:23.0,L. Mbah a Moute enters the game for J. Crawford,,122-120,,
0:23.0,D. Jordan misses free throw 2 of 2,,122-120,,
0:23.0,,,122-120,,Defensive rebound by E. Turner
0:06.0,,,122-122,2,I. Thomas makes 2-pt shot from 13 ft
0:06.0,LA Clippers full timeout,,122-122,,
0:06.0,J. Crawford enters the game for L. Mbah a Moute,,122-122,,
0:06.0,P. Pierce enters the game for L. Stephenson,,122-122,,
0:02.0,C. Paul misses 2-pt shot from 22 ft,,122-122,,
0:01.0,,,122-122,,Defensive rebound by I. Thomas
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:46.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,125-122,,
4:46.0,Shooting foul by A. Bradley (drawn by J. Redick),,125-122,,
4:46.0,J. Redick makes free throw 1 of 1,1,126-122,,
4:32.0,,,126-122,,J. Jerebko misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by J. Redick,,126-122,,
4:09.0,Shooting foul by A. Bradley (drawn by J. Redick),,126-122,,
4:09.0,J. Redick misses free throw 1 of 3,,126-122,,
4:09.0,Offensive rebound by Team,,126-122,,
4:09.0,J. Redick makes free throw 2 of 3,1,127-122,,
4:09.0,J. Redick makes free throw 3 of 3,1,128-122,,
3:59.0,Personal block foul by L. Stephenson (drawn by J. Crowder),,128-122,,
3:59.0,,,128-122,,J. Sullinger enters the game for J. Jerebko
3:51.0,,,128-122,,Shooting foul by D. Jordan (drawn by I. Thomas)
3:51.0,,,128-123,1,I. Thomas makes free throw 1 of 2
3:51.0,,,128-123,,J. Jerebko enters the game for J. Sullinger
3:51.0,,,128-124,1,I. Thomas makes free throw 2 of 2
3:37.0,Shooting foul by J. Crowder (drawn by J. Crawford),,128-124,,
3:37.0,,,128-124,,J. Sullinger enters the game for J. Crowder
3:37.0,J. Crawford misses free throw 1 of 2,,128-124,,
3:37.0,Offensive rebound by Team,,128-124,,
3:37.0,J. Crawford makes free throw 2 of 2,1,129-124,,
3:26.0,,,129-124,,E. Turner misses 2-pt shot from 2 ft
3:24.0,,,129-124,,Offensive rebound by J. Jerebko
3:20.0,,,129-127,3,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas)
3:03.0,,,129-127,,Personal foul by J. Sullinger (drawn by C. Paul)
3:03.0,C. Paul makes free throw 1 of 2,1,130-127,,
3:03.0,P. Pierce enters the game for L. Stephenson,,130-127,,
3:03.0,C. Paul misses free throw 2 of 2,,130-127,,
3:03.0,,,130-127,,Defensive rebound by E. Turner
2:46.0,,,130-127,,I. Thomas misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by C. Paul,,130-127,,
2:41.0,,,130-127,,Personal take foul by J. Jerebko (drawn by D. Jordan)
2:41.0,D. Jordan makes free throw 1 of 2,1,131-127,,
2:41.0,D. Jordan misses free throw 2 of 2,,131-127,,
2:41.0,,,131-127,,Defensive rebound by J. Jerebko
2:25.0,,,131-130,3,J. Sullinger makes 3-pt shot from 25 ft (assist by I. Thomas)
2:17.0,,,131-130,,Personal take foul by J. Jerebko (drawn by C. Paul)
2:17.0,C. Paul misses free throw 1 of 2,,131-130,,
2:17.0,Offensive rebound by Team,,131-130,,
2:17.0,C. Paul makes free throw 2 of 2,1,132-130,,
2:00.0,,,132-132,2,E. Turner makes 2-pt shot from 14 ft
1:41.0,Turnover by D. Jordan (offensive goaltending),,132-132,,
1:41.0,L. Mbah a Moute enters the game for P. Pierce,,132-132,,
1:33.0,,,132-134,2,E. Turner makes 2-pt shot at rim (assist by I. Thomas)
1:33.0,,,132-134,,Shooting foul by L. Mbah a Moute (drawn by E. Turner)
1:33.0,,,132-135,1,E. Turner makes free throw 1 of 1
1:33.0,LA Clippers full timeout,,132-135,,
1:33.0,P. Pierce enters the game for L. Mbah a Moute,,132-135,,
1:14.0,C. Paul makes 2-pt shot from 1 ft,2,134-135,,
0:58.0,,,134-137,2,E. Turner makes 2-pt shot from 9 ft
0:45.0,P. Pierce misses 3-pt shot from 27 ft,,134-137,,
0:44.0,,,134-137,,Defensive rebound by A. Bradley
0:27.0,,,134-137,,Boston full timeout
0:23.0,,,134-137,,E. Turner misses 2-pt shot from 1 ft (block by P. Pierce)
0:22.0,Defensive rebound by Team,,134-137,,
0:22.0,LA Clippers full timeout,,134-137,,
0:21.0,W. Johnson enters the game for P. Pierce,,134-137,,
0:10.0,J. Crawford misses 3-pt shot from 29 ft,,134-137,,
0:09.0,,,134-137,,Defensive rebound by J. Jerebko
0:09.0,Personal take foul by C. Paul (drawn by J. Jerebko),,134-137,,
0:09.0,,,134-138,1,J. Jerebko makes free throw 1 of 2
0:09.0,,,134-139,1,J. Jerebko makes free throw 2 of 2
0:09.0,LA Clippers full timeout,,134-139,,
0:09.0,P. Pierce enters the game for W. Johnson,,134-139,,
0:02.0,J. Redick misses 3-pt shot from 23 ft,,134-139,,
0:01.0,,,134-139,,Defensive rebound by E. Turner
0:00.0,End of 1st overtime,,,,End of 1st overtime
