time,Golden State,pts.away,score,pts.home,Brooklyn
4:36.0,,,106-89,,J. Johnson misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by D. Green,,106-89,,
4:22.0,D. Green makes 3-pt shot from 24 ft,3,109-89,,
4:09.0,,,109-89,,W. Reed enters the game for J. Johnson
4:09.0,,,109-89,,B. Bogdanovic enters the game for T. Young
4:09.0,,,109-89,,T. Robinson enters the game for B. Lopez
4:09.0,,,109-89,,W. Ellington enters the game for J. Jack
4:09.0,,,109-89,,D. Sloan enters the game for M. Brown
4:09.0,I. Clark enters the game for S. Livingston,,109-89,,
4:00.0,,,109-89,,Shooting foul by I. Clark (drawn by W. Reed)
4:00.0,,,109-89,,W. Reed misses free throw 1 of 2
4:00.0,,,109-89,,Offensive rebound by Team
4:00.0,,,109-89,,W. Reed misses free throw 2 of 2
3:59.0,Defensive rebound by D. Green,,109-89,,
3:48.0,M. Speights misses 2-pt shot from 4 ft,,109-89,,
3:46.0,,,109-89,,Defensive rebound by T. Robinson
3:27.0,,,109-92,3,W. Ellington makes 3-pt shot from 26 ft (assist by B. Bogdanovic)
3:11.0,Offensive foul by M. Speights,,109-92,,
3:11.0,Turnover by M. Speights (offensive foul),,109-92,,
3:01.0,,,109-92,,T. Robinson misses 2-pt shot from 18 ft
3:00.0,,,109-92,,Offensive rebound by Team
3:00.0,Loose ball foul by M. Speights (drawn by W. Reed),,109-92,,
3:00.0,B. Rush enters the game for S. Curry,,109-92,,
2:42.0,,,109-92,,B. Bogdanovic misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by B. Rush,,109-92,,
2:22.0,B. Rush makes 3-pt shot from 24 ft,3,112-92,,
2:11.0,,,112-94,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by D. Sloan)
2:11.0,Golden State full timeout,,112-94,,
2:11.0,J. McAdoo enters the game for K. Thompson,,112-94,,
2:11.0,J. Thompson enters the game for D. Green,,112-94,,
2:11.0,L. Barbosa enters the game for M. Speights,,112-94,,
1:49.0,I. Clark misses 2-pt shot from 6 ft (block by W. Reed),,112-94,,
1:48.0,,,112-94,,Defensive rebound by W. Reed
1:30.0,,,112-94,,W. Ellington misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by J. Thompson,,112-94,,
1:22.0,Turnover by I. Clark (lost ball; steal by B. Bogdanovic),,112-94,,
1:12.0,,,112-96,2,W. Reed makes 2-pt shot at rim (assist by D. Sloan)
0:53.0,J. McAdoo misses 2-pt shot from 7 ft,,112-96,,
0:51.0,,,112-96,,Defensive rebound by T. Robinson
0:41.0,,,112-96,,B. Bogdanovic misses 2-pt shot from 9 ft
0:40.0,Defensive rebound by L. Barbosa,,112-96,,
0:30.0,J. Thompson makes 2-pt shot from 8 ft,2,114-96,,
0:09.0,,,114-98,2,D. Sloan makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
