time,Brooklyn,pts.away,score,pts.home,Houston
4:49.0,,,93-91,,Defensive rebound by J. Harden
4:41.0,,,93-93,2,D. Howard makes 2-pt shot at rim (assist by T. Lawson)
4:21.0,J. Johnson misses 2-pt shot from 8 ft,,93-93,,
4:19.0,Offensive rebound by T. Robinson,,93-93,,
4:19.0,T. Robinson makes 2-pt shot from 1 ft,2,95-93,,
4:02.0,,,95-93,,T. Ariza misses 2-pt shot from 2 ft
4:01.0,Defensive rebound by J. Johnson,,95-93,,
3:55.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson),2,97-93,,
3:39.0,,,97-93,,J. Harden misses 2-pt shot from 2 ft
3:38.0,,,97-93,,Offensive rebound by T. Lawson
3:37.0,,,97-93,,Turnover by T. Lawson (lost ball; steal by T. Robinson)
3:33.0,T. Robinson makes 2-pt shot at rim,2,99-93,,
3:33.0,,,99-93,,Houston full timeout
3:33.0,B. Lopez enters the game for T. Robinson,,99-93,,
3:20.0,,,99-96,3,M. Thornton makes 3-pt shot from 22 ft (assist by T. Ariza)
2:56.0,J. Johnson misses 2-pt shot from 2 ft,,99-96,,
2:55.0,Offensive rebound by Team,,99-96,,
2:47.0,W. Ellington misses 2-pt shot from 6 ft,,99-96,,
2:47.0,,,99-96,,Defensive rebound by Team
2:36.0,,,99-96,,J. Harden misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by S. Larkin,,99-96,,
2:26.0,B. Lopez misses 2-pt shot from 11 ft,,99-96,,
2:25.0,,,99-96,,Defensive rebound by D. Howard
2:08.0,Personal foul by J. Johnson (drawn by J. Harden),,99-96,,
2:08.0,J. Jack enters the game for S. Larkin,,99-96,,
2:08.0,T. Young enters the game for W. Ellington,,99-96,,
2:00.0,,,99-96,,T. Lawson misses 2-pt shot from 3 ft (block by B. Lopez)
1:58.0,Defensive rebound by B. Lopez,,99-96,,
1:37.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson),3,102-96,,
1:37.0,,,102-96,,Houston full timeout
1:32.0,,,102-98,2,M. Thornton makes 2-pt shot at rim (assist by T. Lawson)
1:10.0,J. Jack makes 2-pt shot from 17 ft (assist by J. Johnson),2,104-98,,
1:00.0,,,104-98,,M. Thornton misses 3-pt shot from 25 ft
1:00.0,,,104-98,,Offensive rebound by T. Lawson
0:58.0,,,104-98,,T. Lawson misses 2-pt shot from 1 ft (block by T. Young)
0:58.0,,,104-98,,Offensive rebound by Team
0:54.0,,,104-98,,J. Harden misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by B. Lopez,,104-98,,
0:32.0,J. Jack misses 2-pt shot from 18 ft,,104-98,,
0:31.0,,,104-98,,Defensive rebound by T. Ariza
0:23.0,,,104-98,,T. Ariza misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by J. Jack,,104-98,,
0:19.0,,,104-98,,Personal take foul by T. Lawson (drawn by J. Jack)
0:19.0,S. Larkin enters the game for B. Bogdanovic,,104-98,,
0:18.0,,,104-98,,Personal take foul by T. Ariza (drawn by J. Johnson)
0:18.0,J. Johnson makes free throw 1 of 2,1,105-98,,
0:18.0,J. Johnson makes free throw 2 of 2,1,106-98,,
0:18.0,,,106-98,,Houston full timeout
0:15.0,,,106-98,,M. Thornton misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by S. Larkin,,106-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
