time,Minnesota,pts.away,score,pts.home,Portland
0:35.0,Turnover by K. Towns (lost ball; steal by D. Lillard),,73-70,,
0:31.0,,,73-72,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Lillard)
0:11.0,T. Jones misses 2-pt shot from 6 ft,,73-72,,
0:10.0,Offensive rebound by S. Muhammad,,73-72,,
0:08.0,S. Muhammad makes 2-pt shot from 1 ft,2,75-72,,
0:00.0,,,75-72,,D. Lillard misses 3-pt shot from 25 ft (block by K. Towns)
0:00.0,,,75-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,S. Muhammad misses 2-pt shot from 7 ft,,75-72,,
11:39.0,,,75-72,,Defensive rebound by E. Davis
11:32.0,Violation by T. Jones (kicked ball),,75-72,,
11:15.0,,,75-75,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Harkless)
10:59.0,N. Bjelica misses 3-pt shot from 29 ft,,75-75,,
10:59.0,,,75-75,,Defensive rebound by E. Davis
10:52.0,,,75-75,,C. McCollum misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by N. Bjelica,,75-75,,
10:47.0,Offensive foul by S. Muhammad,,75-75,,
10:47.0,Turnover by S. Muhammad (offensive foul),,75-75,,
10:31.0,,,75-77,2,E. Davis makes 2-pt shot from 3 ft (assist by C. McCollum)
10:18.0,,,75-77,,Personal foul by E. Davis
10:14.0,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica),2,77-77,,
9:58.0,,,77-79,2,E. Davis makes 2-pt shot at rim (assist by C. McCollum)
9:47.0,,,77-79,,Personal foul by C. McCollum
9:35.0,K. Towns misses 2-pt shot from 2 ft,,77-79,,
9:34.0,Offensive rebound by K. Towns,,77-79,,
9:33.0,K. Towns makes 2-pt shot from 1 ft,2,79-79,,
9:19.0,,,79-81,2,C. McCollum makes 2-pt shot from 2 ft
9:19.0,,,79-81,,Shooting foul by S. Muhammad (drawn by C. McCollum)
9:19.0,,,79-82,1,C. McCollum makes free throw 1 of 1
9:01.0,S. Muhammad makes 3-pt shot from 25 ft (assist by T. Jones),3,82-82,,
8:48.0,,,82-82,,Turnover by G. Henderson (lost ball; steal by T. Jones)
8:35.0,T. Jones makes 2-pt shot from 2 ft (assist by K. Towns),2,84-82,,
8:35.0,,,84-82,,Portland full timeout
8:35.0,,,84-82,,M. Plumlee enters the game for G. Henderson
8:35.0,,,84-82,,D. Lillard enters the game for E. Davis
8:19.0,,,84-82,,Turnover by A. Crabbe (bad pass)
8:07.0,K. Towns makes 2-pt shot from 19 ft (assist by N. Bjelica),2,86-82,,
7:45.0,Personal foul by N. Bjelica,,86-82,,
7:45.0,,,86-82,,A. Aminu enters the game for A. Crabbe
7:38.0,,,86-84,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
7:14.0,K. Towns makes 2-pt shot at rim (assist by N. Bjelica),2,88-84,,
7:02.0,,,88-84,,M. Plumlee misses 2-pt shot at rim
7:01.0,,,88-84,,Offensive rebound by M. Harkless
7:01.0,,,88-86,2,M. Harkless makes 2-pt shot at rim
6:44.0,S. Muhammad misses 3-pt shot from 27 ft,,88-86,,
6:44.0,Offensive rebound by Team,,88-86,,
6:44.0,,,88-86,,Personal foul by C. McCollum
6:44.0,A. Wiggins enters the game for T. Jones,,88-86,,
6:44.0,R. Rubio enters the game for S. Muhammad,,88-86,,
6:29.0,T. Prince makes 2-pt shot from 1 ft,2,90-86,,
