time,Orlando,pts.away,score,pts.home,Memphis
0:01.0,Orlando full timeout,,100-100,,
0:00.0,N. Vucevic misses 2-pt shot from 21 ft,,100-100,,
0:00.0,Offensive rebound by Team,,100-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:58.0,Jump ball: T. Allen vs. E. Payton (N. Vucevic gains possession),,,,Jump ball: T. Allen vs. E. Payton (N. Vucevic gains possession)
4:33.0,N. Vucevic misses 2-pt shot from 16 ft,,100-100,,
4:32.0,,,100-100,,Defensive rebound by M. Conley
4:13.0,,,100-100,,Turnover by J. Green (bad pass)
4:04.0,Turnover by E. Payton (bad pass; steal by T. Allen),,100-100,,
3:53.0,,,100-102,2,M. Conley makes 2-pt shot from 1 ft
3:30.0,E. Payton misses 3-pt shot from 23 ft,,100-102,,
3:29.0,,,100-102,,Defensive rebound by J. Green
3:21.0,,,100-102,,Shooting foul by V. Oladipo (drawn by M. Conley)
3:21.0,,,100-103,1,M. Conley makes free throw 1 of 2
3:21.0,,,100-103,,M. Conley misses free throw 2 of 2
3:21.0,Defensive rebound by Team,,100-103,,
3:07.0,E. Payton misses 2-pt shot from 4 ft (block by M. Conley),,100-103,,
3:05.0,,,100-103,,Defensive rebound by T. Allen
2:56.0,,,100-103,,M. Conley misses 2-pt shot from 2 ft
2:56.0,Defensive rebound by Team,,100-103,,
2:56.0,,,100-103,,Loose ball foul by T. Allen (drawn by N. Vucevic)
2:43.0,E. Fournier makes 2-pt shot from 7 ft,2,102-103,,
2:21.0,,,102-103,,M. Gasol misses 2-pt shot from 9 ft
2:19.0,,,102-103,,Offensive rebound by T. Allen
2:19.0,,,102-103,,T. Allen misses 2-pt shot at rim
2:16.0,Defensive rebound by N. Vucevic,,102-103,,
2:02.0,V. Oladipo misses 3-pt shot from 23 ft,,102-103,,
2:02.0,,,102-103,,Defensive rebound by M. Gasol
1:50.0,,,102-103,,J. Green misses 2-pt shot from 12 ft
1:49.0,Defensive rebound by N. Vucevic,,102-103,,
1:38.0,E. Fournier misses 3-pt shot from 26 ft,,102-103,,
1:38.0,,,102-103,,Defensive rebound by M. Gasol
1:37.0,Loose ball foul by E. Payton (drawn by M. Gasol),,102-103,,
1:37.0,,,102-103,,Memphis full timeout
1:37.0,,,102-103,,Z. Randolph enters the game for T. Allen
1:20.0,Personal foul by V. Oladipo (drawn by Z. Randolph),,102-103,,
1:20.0,,,102-104,1,Z. Randolph makes free throw 1 of 2
1:20.0,,,102-104,,Z. Randolph misses free throw 2 of 2
1:19.0,Defensive rebound by T. Harris,,102-104,,
1:00.0,E. Fournier misses 3-pt shot from 25 ft,,102-104,,
1:00.0,,,102-104,,Defensive rebound by Z. Randolph
0:44.0,,,102-104,,C. Lee misses 3-pt shot from 22 ft
0:42.0,,,102-104,,Offensive rebound by Z. Randolph
0:40.0,Loose ball foul by E. Payton (drawn by Z. Randolph),,102-104,,
0:40.0,,,102-105,1,Z. Randolph makes free throw 1 of 2
0:40.0,J. Smith enters the game for E. Fournier,,102-105,,
0:40.0,,,102-105,,Z. Randolph misses free throw 2 of 2
0:40.0,Defensive rebound by J. Smith,,102-105,,
0:39.0,Orlando full timeout,,102-105,,
0:39.0,E. Fournier enters the game for J. Smith,,102-105,,
0:39.0,,,102-105,,T. Allen enters the game for Z. Randolph
0:28.0,V. Oladipo misses 2-pt shot from 2 ft (block by M. Gasol),,102-105,,
0:26.0,,,102-105,,Defensive rebound by M. Gasol
0:23.0,Personal take foul by N. Vucevic (drawn by C. Lee),,102-105,,
0:23.0,,,102-105,,C. Lee misses free throw 1 of 2
0:23.0,,,102-105,,Offensive rebound by Team
0:23.0,J. Smith enters the game for V. Oladipo,,102-105,,
0:23.0,,,102-106,1,C. Lee makes free throw 2 of 2
0:23.0,Orlando full timeout,,102-106,,
0:23.0,V. Oladipo enters the game for J. Smith,,102-106,,
0:18.0,E. Fournier misses 3-pt shot from 24 ft (block by M. Gasol),,102-106,,
0:17.0,,,102-106,,Defensive rebound by T. Allen
0:17.0,,,102-106,,Memphis full timeout
0:17.0,A. Gordon enters the game for N. Vucevic,,102-106,,
0:17.0,,,102-106,,Z. Randolph enters the game for T. Allen
0:16.0,Personal take foul by E. Fournier (drawn by M. Conley),,102-106,,
0:16.0,,,102-107,1,M. Conley makes free throw 1 of 2
0:16.0,,,102-107,,T. Allen enters the game for Z. Randolph
0:16.0,,,102-108,1,M. Conley makes free throw 2 of 2
0:09.0,A. Gordon misses 3-pt shot from 24 ft,,102-108,,
0:08.0,,,102-108,,Defensive rebound by J. Green
0:00.0,End of 1st overtime,,,,End of 1st overtime
