time,Oklahoma City,pts.away,score,pts.home,Miami
1:03.0,,,95-93,,C. Bosh misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by K. Durant,,95-93,,
0:48.0,K. Durant misses 3-pt shot from 25 ft,,95-93,,
0:47.0,,,95-93,,Defensive rebound by C. Bosh
0:29.0,,,95-95,2,D. Wade makes 2-pt shot from 5 ft
0:29.0,Oklahoma City full timeout,,95-95,,
0:29.0,A. Morrow enters the game for A. Roberson,,95-95,,
0:09.0,K. Durant misses 3-pt shot from 25 ft,,95-95,,
0:08.0,,,95-95,,Defensive rebound by C. Bosh
0:08.0,,,95-95,,Miami full timeout
0:08.0,A. Roberson enters the game for A. Morrow,,95-95,,
0:02.0,,,95-95,,Shooting foul by S. Ibaka (drawn by D. Wade)
0:02.0,,,95-96,1,D. Wade makes free throw 1 of 2
0:02.0,,,95-97,1,D. Wade makes free throw 2 of 2
0:02.0,Oklahoma City full timeout,,95-97,,
0:02.0,A. Morrow enters the game for A. Roberson,,95-97,,
0:01.0,R. Westbrook misses 3-pt shot from 25 ft,,95-97,,
0:00.0,Offensive rebound by Team,,95-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
