time,Denver,pts.away,score,pts.home,Dallas
2:26.0,,,74-91,,J. Evans enters the game for Z. Pachulia
2:26.0,K. Papanikolaou enters the game for D. Gallinari,,74-91,,
2:14.0,,,74-91,,Shooting block foul by J. Evans (drawn by K. Papanikolaou)
2:14.0,K. Papanikolaou makes free throw 1 of 2,1,75-91,,
2:14.0,,,75-91,,C. Villanueva enters the game for R. Felton
2:14.0,K. Papanikolaou makes free throw 2 of 2,1,76-91,,
2:00.0,,,76-91,,C. Villanueva misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by K. Faried,,76-91,,
1:49.0,,,76-91,,Shooting block foul by J. Anderson (drawn by E. Mudiay)
1:49.0,E. Mudiay makes free throw 1 of 2,1,77-91,,
1:49.0,E. Mudiay misses free throw 2 of 2,,77-91,,
1:48.0,,,77-91,,Defensive rebound by D. Powell
1:34.0,,,77-91,,D. Powell misses 2-pt shot from 12 ft
1:33.0,Defensive rebound by W. Barton,,77-91,,
1:29.0,,,77-91,,Personal foul by D. Powell (drawn by K. Faried)
1:29.0,Technical foul by K. Faried,,77-91,,
1:29.0,,,77-92,1,J. Jenkins makes technical free throw
1:29.0,M. Miller enters the game for E. Mudiay,,77-92,,
1:29.0,K. Faried makes free throw 1 of 2,1,78-92,,
1:29.0,K. Faried makes free throw 2 of 2,1,79-92,,
1:08.0,,,79-92,,Turnover by J. Jenkins (traveling)
0:57.0,Turnover by K. Faried (lost ball; steal by D. Powell),,79-92,,
0:54.0,Personal take foul by R. Foye (drawn by J. Anderson),,79-92,,
0:39.0,,,79-92,,Turnover by J. Jenkins (bad pass; steal by K. Faried)
0:37.0,K. Faried makes 2-pt shot at rim,2,81-92,,
0:23.0,,,81-92,,J. Anderson misses 3-pt shot from 24 ft
0:21.0,,,81-92,,Offensive rebound by D. Powell
0:21.0,,,81-92,,D. Powell misses 2-pt shot from 1 ft
0:20.0,,,81-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
