time,Philadelphia,pts.away,score,pts.home,Portland
11:46.0,C. Landry makes 2-pt shot from 20 ft (assist by J. Grant),2,51-57,,
11:28.0,,,51-60,3,D. Lillard makes 3-pt shot from 24 ft
11:11.0,J. Grant misses 2-pt shot from 2 ft,,51-60,,
11:11.0,Offensive rebound by H. Thompson,,51-60,,
11:11.0,Turnover by H. Thompson (step out of bounds),,51-60,,
10:50.0,,,51-60,,M. Harkless misses 2-pt shot from 1 ft (block by H. Thompson)
10:49.0,Defensive rebound by H. Thompson,,51-60,,
10:35.0,J. Grant misses 2-pt shot from 2 ft,,51-60,,
10:34.0,Offensive rebound by J. Grant,,51-60,,
10:32.0,J. Grant misses 2-pt shot from 2 ft,,51-60,,
10:30.0,,,51-60,,Defensive rebound by M. Plumlee
10:22.0,,,51-60,,D. Lillard misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by I. Smith,,51-60,,
10:13.0,I. Smith misses 2-pt shot at rim,,51-60,,
10:12.0,Offensive rebound by I. Smith,,51-60,,
10:12.0,I. Smith makes 2-pt shot at rim,2,53-60,,
9:51.0,,,53-63,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
9:34.0,,,53-63,,Personal foul by C. McCollum
9:26.0,C. Landry misses 2-pt shot from 19 ft,,53-63,,
9:25.0,,,53-63,,Defensive rebound by D. Lillard
9:18.0,,,53-65,2,D. Lillard makes 2-pt shot from 19 ft
9:11.0,Philadelphia full timeout,,53-65,,
9:02.0,I. Canaan misses 2-pt shot from 2 ft (block by C. McCollum),,53-65,,
9:02.0,,,53-65,,Defensive rebound by M. Plumlee
8:53.0,,,53-67,2,M. Harkless makes 2-pt shot from 2 ft
8:41.0,C. Landry makes 2-pt shot from 21 ft (assist by I. Smith),2,55-67,,
8:23.0,,,55-69,2,C. McCollum makes 2-pt shot from 2 ft (assist by A. Aminu)
8:00.0,I. Canaan misses 3-pt shot from 22 ft,,55-69,,
7:59.0,,,55-69,,Defensive rebound by M. Harkless
7:48.0,,,55-71,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
7:38.0,I. Smith makes 2-pt shot at rim,2,57-71,,
7:23.0,,,57-71,,C. McCollum misses 2-pt shot from 6 ft (block by J. Grant)
7:23.0,,,57-71,,Offensive rebound by Team
7:15.0,,,57-71,,D. Lillard misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by C. Landry,,57-71,,
7:03.0,I. Canaan misses 3-pt shot from 24 ft,,57-71,,
7:01.0,,,57-71,,Defensive rebound by M. Harkless
6:54.0,Personal foul by H. Thompson,,57-71,,
6:54.0,R. Covington enters the game for C. Landry,,57-71,,
6:48.0,,,57-73,2,D. Lillard makes 2-pt shot from 1 ft
6:38.0,R. Covington misses 3-pt shot from 24 ft,,57-73,,
6:37.0,Offensive rebound by J. Grant,,57-73,,
6:34.0,J. Grant misses 2-pt shot from 17 ft,,57-73,,
6:33.0,,,57-73,,Defensive rebound by D. Lillard
6:28.0,Personal foul by J. Grant,,57-73,,
6:28.0,N. Stauskas enters the game for I. Canaan,,57-73,,
6:18.0,,,57-73,,A. Aminu misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by I. Smith,,57-73,,
6:14.0,,,57-73,,Personal foul by C. McCollum
5:59.0,J. Grant makes 2-pt shot at rim (assist by H. Thompson),2,59-73,,
5:54.0,,,59-73,,Turnover by D. Lillard (bad pass)
5:41.0,I. Smith makes 2-pt shot from 2 ft,2,61-73,,
5:21.0,,,61-73,,D. Lillard misses 2-pt shot from 2 ft (block by J. Grant)
5:21.0,Defensive rebound by R. Covington,,61-73,,
5:13.0,I. Smith misses 2-pt shot from 3 ft,,61-73,,
5:13.0,,,61-73,,Defensive rebound by D. Lillard
5:09.0,,,61-73,,Turnover by M. Harkless (lost ball; steal by R. Covington)
5:06.0,Turnover by R. Covington (lost ball; steal by M. Harkless),,61-73,,
5:03.0,,,61-75,2,M. Plumlee makes 2-pt shot at rim (assist by M. Harkless)
4:44.0,N. Stauskas makes 3-pt shot from 24 ft (assist by J. Grant),3,64-75,,
4:23.0,K. Marshall enters the game for H. Thompson,,64-75,,
4:23.0,T. McConnell enters the game for J. Grant,,64-75,,
4:23.0,E. Brand enters the game for I. Smith,,64-75,,
4:23.0,,,64-75,,E. Davis enters the game for A. Aminu
4:23.0,,,64-75,,G. Henderson enters the game for M. Plumlee
4:23.0,,,64-75,,A. Crabbe enters the game for C. McCollum
4:19.0,,,64-75,,E. Davis misses 2-pt shot from 4 ft
4:19.0,Defensive rebound by R. Covington,,64-75,,
4:10.0,T. McConnell misses 2-pt shot from 12 ft,,64-75,,
4:09.0,,,64-75,,Defensive rebound by E. Davis
4:00.0,,,64-75,,D. Lillard misses 2-pt shot from 19 ft
3:59.0,Defensive rebound by E. Brand,,64-75,,
3:49.0,N. Stauskas misses 2-pt shot from 1 ft,,64-75,,
3:49.0,,,64-75,,Defensive rebound by E. Davis
3:28.0,,,64-77,2,M. Harkless makes 2-pt shot at rim (assist by G. Henderson)
3:28.0,,,64-77,,Shooting foul by E. Brand (drawn by M. Harkless)
3:28.0,,,64-78,1,M. Harkless makes free throw 1 of 1
3:09.0,K. Marshall misses 3-pt shot from 24 ft,,64-78,,
3:08.0,,,64-78,,Defensive rebound by Team
2:54.0,,,64-80,2,D. Lillard makes 2-pt shot from 17 ft
2:36.0,R. Covington misses 2-pt shot from 2 ft,,64-80,,
2:35.0,Offensive rebound by R. Covington,,64-80,,
2:34.0,R. Covington makes 2-pt shot from 3 ft,2,66-80,,
2:34.0,Shooting foul by M. Harkless (drawn by R. Covington),,66-80,,
2:34.0,,,66-80,,Portland full timeout
2:34.0,R. Covington makes free throw 1 of 1,1,67-80,,
2:09.0,,,67-80,,D. Lillard misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by R. Covington,,67-80,,
1:59.0,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell),2,69-80,,
1:59.0,Shooting foul by D. Lillard (drawn by R. Covington),,69-80,,
1:59.0,,,69-80,,C. McCollum enters the game for D. Lillard
1:59.0,,,69-80,,A. Aminu enters the game for M. Harkless
1:59.0,R. Covington makes free throw 1 of 1,1,70-80,,
1:52.0,,,70-80,,Offensive foul by C. McCollum
1:52.0,,,70-80,,Turnover by C. McCollum (offensive foul)
1:42.0,R. Covington makes 2-pt shot from 1 ft,2,72-80,,
1:42.0,Shooting foul by A. Aminu (drawn by R. Covington),,72-80,,
1:42.0,R. Covington misses free throw 1 of 1,,72-80,,
1:41.0,,,72-80,,Defensive rebound by G. Henderson
1:21.0,,,72-80,,C. McCollum misses 2-pt shot from 19 ft
1:21.0,,,72-80,,Offensive rebound by A. Aminu
1:20.0,,,72-80,,Shooting foul by E. Brand (drawn by A. Aminu)
1:20.0,,,72-81,1,A. Aminu makes free throw 1 of 2
1:20.0,,,72-82,1,A. Aminu makes free throw 2 of 2
1:07.0,T. McConnell misses 2-pt shot from 10 ft,,72-82,,
1:06.0,,,72-82,,Defensive rebound by E. Davis
0:58.0,,,72-82,,C. McCollum misses 2-pt shot from 8 ft
0:57.0,,,72-82,,Offensive rebound by E. Davis
0:49.0,Personal foul by T. McConnell,,72-82,,
0:49.0,,,72-83,1,C. McCollum makes free throw 1 of 2
0:49.0,,,72-84,1,C. McCollum makes free throw 2 of 2
0:26.0,E. Brand makes 2-pt shot from 18 ft (assist by K. Marshall),2,74-84,,
0:05.0,,,74-86,2,C. McCollum makes 2-pt shot from 2 ft
0:00.0,N. Stauskas misses 3-pt shot from 25 ft,,74-86,,
0:00.0,,,74-86,,Defensive rebound by E. Davis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
